Desa/Kelurahan;Lahan Sawah;Lahan Bukan Sawah;Jumlah;Tahun
Mandiraja Wetan;58;8;66;2023
Mandiraja Kulon;78;3;81;2023
Banjengan;66,973;40,445;107,418;2023
Kebakalan;45,45;40,94;86,39;2023
Panggisari;62,69;196,31;259;2023
Kertayasa;185,681;158,059;343,74;2023
Candiwulan;59157;52797;111954;2023
Simbang;90025;44500;93025;2023
Blimbing;0,00;0,00;0;2023
Purwasaba;0;0;0;2023
Glempang;118,2;451,71;569,91;2023
Kebanaran;126;395,687;521,687;2023
Salamerta;75;395,64;470,64;2023
Somawangi;3652;1800;5452;2023
Jalatunda;142,66;742;884,66;2023
Kaliwungu;76,14;453,58;529,72;2023
Mandiraja Wetan;58;8;66;2024
Mandiraja Kulon;78;3;81;2024
Banjengan;66,973;40,445;107,418;2024
Kebakalan;45,45;40,94;86,39;2024
Panggisari;62,69;196,31;259;2024
Kertayasa;185,681;158,059;343,74;2024
Candiwulan;59157;52797;111954;2024
Simbang;90025;44500;93025;2024
Blimbing;63;34,56;97,56;2024
Purwasaba;118,8;163,355;282,155;2024
Glempang;118,2;451,71;569,91;2024
Kebanaran;126;395,687;521,687;2024
Salamerta;75,00;395,64;471;2024
Somawangi;3652;1800;5452;2024
Jalatunda;142,66;742;884,66;2024
Kaliwungu;76,14;453,58;529,72;2024
Mandiraja Wetan;58;8;66;2025
Mandiraja Kulon;80;3;83;2025
Banjengan;67;40.4;107.4;2025
Kebakalan;45,45;0;45,45;2025
Panggisari;150;109;259;2025
Kertayasa;185,681;158,059;343,74;2025
Candiwulan;59157;52797;111954;2025
Simbang;90025;3000;93025;2025
Blimbing;63373;34,1;97,558;2025
Purwasaba;118,8;113,36;232,16;2025
Glempang;118,2;451,7;569,9;2025
Kebanaran;126;395,687;521,687;2025
Salamerta;75;395,64;470,64;2025
Somawangi;3652;1800;5452;2025
Jalatunda;142,66;742;884,66;2025
Kaliwungu;76,14;453,58;529,72;2025
;;;;
