Desa/Kelurahan;Lahan Sawah;Lahan Bukan Sawah;Jumlah;Lahan sawah ;Tahun
Kalibenda;0;0;0;0;2023
Singamerta;0;0;0;0;2023
Sigaluh;65;81;146;97;2023
Wanacipta;9,476;7,734;17,21;5,992;2023
Karangmangu;8,433;171,13;179,563;333,827;2023
Kemiri;0;0;0;0;2023
Gembongan;19;93;112;167;2023
Prigi;83;274;357;465;2023
Bandingan;189,822;890,428;1080,25;1591,034;2023
Sawal;5,3;200;205,3;394,7;2023
Pringamba;0;114490;114490;228980;2023
Bojanegara;59,5;78;137,5;96,5;2023
Randegan;1800;90000;91800;178200;2023
Tunggoro;9;13;22;17;2023
Panawaren;0;0;0;0;2023
Kalibenda;23,78;115,42;139,2;0;2024
Singamerta;150;0;150;0;2024
Sigaluh;65;81;146;0;2024
Wanacipta;45;110;155;0;2024
Karangmangu;0;0;0;0;2024
Kemiri;0;0;0;0;2024
Gembongan;18;93;111;0;2024
Prigi;50;241;291;0;2024
Bandingan;18,9822;89,0428;108,025;0;2024
Sawal;5,3;271,32;276,62;0;2024
Pringamba;0;0;0;0;2024
Bojanegara;0;0;0;0;2024
Randegan;4,5;105,326;109,826;0;2024
Tunggoro;9;13;22;0;2024
Panawaren;0;0;0;0;2024
Kalibenda;23,78;115,42;139,2;0;2025
Singamerta;2,5;135,132;137,632;0;2025
Sigaluh;60;81;141;0;2025
Wanacipta;45000;110000;155000;0;2025
Karangmangu;0;0;0;0;2025
Kemiri;5;95;100;0;2025
Gembongan;18;93;111;0;2025
Prigi;50;241;291;0;2025
Bandingan;18,9822;89,0428;108,025;0;2025
Sawal;5,3;271,32;276,62;0;2025
Pringamba;0;2;2;0;2025
Bojanegara;44,09;175,97;220,06;0;2025
Randegan;4,5;105,326;109,826;0;2025
Tunggoro;9;13;22;0;2025
Panawaren;0;0;0;0;2025
