+-------------------------------+----------------------------+---------------------------------------------------------------------------------+
| TABLE_NAME                    | COLUMN_NAME                | COLUMN_TYPE                                                                     |
+-------------------------------+----------------------------+---------------------------------------------------------------------------------+
| dataset_sumber                | id                         | tinyint(3) unsigned                                                             |
| dataset_sumber                | folder                     | varchar(200)                                                                    |
| dataset_sumber                | mode                       | varchar(10)                                                                     |
| dataset_sumber                | tahun_min                  | smallint(6)                                                                     |
| dataset_sumber                | tahun_max                  | smallint(6)                                                                     |
| dataset_sumber                | row_count                  | int(11)                                                                         |
| dataset_sumber                | file_csv                   | varchar(255)                                                                    |
| desa                          | id                         | smallint(5) unsigned                                                            |
| desa                          | kecamatan_id               | tinyint(3) unsigned                                                             |
| desa                          | nama                       | varchar(80)                                                                     |
| desa                          | nama_norm                  | varchar(80)                                                                     |
| horti_luas                    | id                         | int(10) unsigned                                                                |
| horti_luas                    | kecamatan_id               | tinyint(3) unsigned                                                             |
| horti_luas                    | kelompok                   | enum('sayuran','tanaman_hias','biofarmaka')                                     |
| horti_luas                    | komoditas                  | varchar(60)                                                                     |
| horti_luas                    | tahun                      | smallint(5) unsigned                                                            |
| horti_luas                    | nilai                      | decimal(14,3)                                                                   |
| horti_luas                    | satuan                     | enum('ha','m2')                                                                 |
| horti_luas                    | sumber                     | enum('csv','ckan','manual')                                                     |
| horti_luas_kabupaten          | id                         | int(10) unsigned                                                                |
| horti_luas_kabupaten          | kelompok                   | enum('sayuran_buah_semusim','tanaman_hias','biofarmaka')                        |
| horti_luas_kabupaten          | komoditas                  | varchar(60)                                                                     |
| horti_luas_kabupaten          | tahun                      | smallint(5) unsigned                                                            |
| horti_luas_kabupaten          | nilai                      | decimal(14,3)                                                                   |
| horti_luas_kabupaten          | satuan                     | enum('ha','m2')                                                                 |
| horti_luas_kabupaten          | sumber                     | enum('csv','ckan','manual')                                                     |
| horti_produksi                | id                         | int(10) unsigned                                                                |
| horti_produksi                | kecamatan_id               | tinyint(3) unsigned                                                             |
| horti_produksi                | kelompok                   | enum('sayuran','buah_tahunan','tanaman_hias','biofarmaka')                      |
| horti_produksi                | komoditas                  | varchar(60)                                                                     |
| horti_produksi                | tahun                      | smallint(5) unsigned                                                            |
| horti_produksi                | nilai                      | decimal(14,3)                                                                   |
| horti_produksi                | satuan                     | enum('ton','tangkai')                                                           |
| horti_produksi                | sumber                     | enum('csv','ckan','manual')                                                     |
| horti_produksi_kabupaten      | id                         | int(10) unsigned                                                                |
| horti_produksi_kabupaten      | kelompok                   | enum('sayuran_buah_semusim','buah_sayuran_tahunan','tanaman_hias','biofarmaka') |
| horti_produksi_kabupaten      | komoditas                  | varchar(60)                                                                     |
| horti_produksi_kabupaten      | tahun                      | smallint(5) unsigned                                                            |
| horti_produksi_kabupaten      | nilai                      | decimal(14,3)                                                                   |
| horti_produksi_kabupaten      | satuan                     | enum('ton','tangkai')                                                           |
| horti_produksi_kabupaten      | sumber                     | enum('csv','ckan','manual')                                                     |
| ikan_benih                    | id                         | int(10) unsigned                                                                |
| ikan_benih                    | kecamatan_id               | tinyint(3) unsigned                                                             |
| ikan_benih                    | arah                       | enum('sendiri','lain_daerah')                                                   |
| ikan_benih                    | tahun                      | smallint(5) unsigned                                                            |
| ikan_benih                    | jumlah_ekor                | decimal(16,2)                                                                   |
| ikan_benih                    | sumber                     | enum('csv','ckan','manual')                                                     |
