Kecamatan,Arah (Masuk/Keluar),Jenis,Tahun,Jumlah (Ekor)
Banjarmangu,pemasukan,Sapi,2018,0
Banjarmangu,pemasukan,Sapi Perah,2018,0
Banjarmangu,pemasukan,Kerbau,2018,0
Banjarmangu,pemasukan,Kuda,2018,0
Banjarmangu,pemasukan,Kambing,2018,0
Banjarmangu,pengeluaran,Sapi,2018,0
Banjarmangu,pengeluaran,Kerbau,2018,0
Banjarmangu,pengeluaran,Kambing,2018,0
Banjarmangu,pengeluaran,Domba,2018,0
Banjarmangu,pemasukan,Sapi,2020,0
Banjarmangu,pemasukan,Sapi Perah,2020,0
Banjarmangu,pemasukan,Kerbau,2020,0
Banjarmangu,pemasukan,Kuda,2020,0
Banjarmangu,pemasukan,Kambing,2020,0
Banjarmangu,pengeluaran,Sapi,2020,0
Banjarmangu,pengeluaran,Kerbau,2020,0
Banjarmangu,pengeluaran,Kambing,2020,0
Banjarmangu,pemasukan,Sapi,2021,0
Banjarmangu,pemasukan,Sapi Perah,2021,0
Banjarmangu,pemasukan,Kerbau,2021,0
Banjarmangu,pemasukan,Kuda,2021,0
Banjarmangu,pemasukan,Kambing,2021,0
Banjarmangu,pengeluaran,Sapi,2021,0
Banjarmangu,pengeluaran,Kerbau,2021,0
Banjarmangu,pengeluaran,Kambing,2021,0
Banjarmangu,pengeluaran,Domba,2021,0
Banjarmangu,pemasukan,Sapi,2022,0
Banjarmangu,pemasukan,Sapi Perah,2022,0
Banjarmangu,pemasukan,Kerbau,2022,0
Banjarmangu,pemasukan,Kuda,2022,0
Banjarmangu,pemasukan,Kambing,2022,0
Banjarmangu,pengeluaran,Sapi,2022,0
Banjarmangu,pengeluaran,Kerbau,2022,0
Banjarmangu,pengeluaran,Kambing,2022,0
Banjarmangu,pengeluaran,Domba,2022,0
Banjarmangu,pemasukan,Sapi,2023,0
Banjarmangu,pemasukan,Sapi Perah,2023,0
Banjarmangu,pemasukan,Kerbau,2023,0
Banjarmangu,pemasukan,Kuda,2023,0
Banjarmangu,pemasukan,Kambing,2023,0
Banjarmangu,pemasukan,Domba,2023,0
Banjarmangu,pengeluaran,Sapi,2023,0
Banjarmangu,pengeluaran,Kerbau,2023,0
Banjarmangu,pengeluaran,Kambing,2023,0
Banjarmangu,pengeluaran,Domba,2023,0
Banjarmangu,pemasukan,Sapi,2024,0
Banjarmangu,pemasukan,Sapi Perah,2024,0
Banjarmangu,pemasukan,Kerbau,2024,0
Banjarmangu,pemasukan,Kuda,2024,0
Banjarmangu,pemasukan,Kambing,2024,0
Banjarmangu,pengeluaran,Sapi,2024,0
Banjarmangu,pengeluaran,Kerbau,2024,0
Banjarmangu,pengeluaran,Kambing,2024,0
Banjarnegara,pemasukan,Sapi,2018,0
Banjarnegara,pemasukan,Sapi Perah,2018,0
Banjarnegara,pemasukan,Kerbau,2018,0
Banjarnegara,pemasukan,Kuda,2018,0
Banjarnegara,pemasukan,Kambing,2018,0
Banjarnegara,pengeluaran,Sapi,2018,0
Banjarnegara,pengeluaran,Kerbau,2018,0
Banjarnegara,pengeluaran,Kambing,2018,0
Banjarnegara,pengeluaran,Domba,2018,0
Banjarnegara,pemasukan,Sapi,2020,0
Banjarnegara,pemasukan,Sapi Perah,2020,0
Banjarnegara,pemasukan,Kerbau,2020,0
Banjarnegara,pemasukan,Kuda,2020,0
Banjarnegara,pemasukan,Kambing,2020,0
Banjarnegara,pengeluaran,Sapi,2020,0
Banjarnegara,pengeluaran,Kerbau,2020,0
Banjarnegara,pengeluaran,Kambing,2020,0
Banjarnegara,pemasukan,Sapi,2021,0
Banjarnegara,pemasukan,Sapi Perah,2021,0
Banjarnegara,pemasukan,Kerbau,2021,0
Banjarnegara,pemasukan,Kuda,2021,0
Banjarnegara,pemasukan,Kambing,2021,0
Banjarnegara,pengeluaran,Sapi,2021,0
Banjarnegara,pengeluaran,Kerbau,2021,0
Banjarnegara,pengeluaran,Kambing,2021,0
Banjarnegara,pengeluaran,Domba,2021,0
Banjarnegara,pemasukan,Sapi,2022,0
Banjarnegara,pemasukan,Sapi Perah,2022,0
Banjarnegara,pemasukan,Kerbau,2022,0
Banjarnegara,pemasukan,Kuda,2022,0
Banjarnegara,pemasukan,Kambing,2022,0
Banjarnegara,pengeluaran,Sapi,2022,0
Banjarnegara,pengeluaran,Kerbau,2022,0
Banjarnegara,pengeluaran,Kambing,2022,0
Banjarnegara,pengeluaran,Domba,2022,0
Banjarnegara,pemasukan,Sapi,2023,0
Banjarnegara,pemasukan,Sapi Perah,2023,0
Banjarnegara,pemasukan,Kerbau,2023,0
Banjarnegara,pemasukan,Kuda,2023,0
Banjarnegara,pemasukan,Kambing,2023,0
Banjarnegara,pemasukan,Domba,2023,0
Banjarnegara,pengeluaran,Sapi,2023,0
Banjarnegara,pengeluaran,Kerbau,2023,0
Banjarnegara,pengeluaran,Kambing,2023,0
Banjarnegara,pengeluaran,Domba,2023,0
Banjarnegara,pemasukan,Sapi,2024,1479
Banjarnegara,pemasukan,Sapi Perah,2024,0
Banjarnegara,pemasukan,Kerbau,2024,0
Banjarnegara,pemasukan,Kuda,2024,0
Banjarnegara,pemasukan,Kambing,2024,0
Banjarnegara,pengeluaran,Sapi,2024,0
Banjarnegara,pengeluaran,Kerbau,2024,0
Banjarnegara,pengeluaran,Kambing,2024,0
Batur,pemasukan,Sapi,2018,0
Batur,pemasukan,Sapi Perah,2018,0
Batur,pemasukan,Kerbau,2018,0
Batur,pemasukan,Kuda,2018,0
Batur,pemasukan,Kambing,2018,0
Batur,pengeluaran,Sapi,2018,0
Batur,pengeluaran,Kerbau,2018,0
Batur,pengeluaran,Kambing,2018,0
Batur,pengeluaran,Domba,2018,0
Batur,pemasukan,Sapi,2020,0
Batur,pemasukan,Sapi Perah,2020,0
Batur,pemasukan,Kerbau,2020,0
Batur,pemasukan,Kuda,2020,0
Batur,pemasukan,Kambing,2020,0
Batur,pengeluaran,Sapi,2020,0
Batur,pengeluaran,Kerbau,2020,0
Batur,pengeluaran,Kambing,2020,0
Batur,pemasukan,Sapi,2021,0
Batur,pemasukan,Sapi Perah,2021,0
Batur,pemasukan,Kerbau,2021,0
Batur,pemasukan,Kuda,2021,0
Batur,pemasukan,Kambing,2021,0
Batur,pengeluaran,Sapi,2021,0
Batur,pengeluaran,Kerbau,2021,0
Batur,pengeluaran,Kambing,2021,0
Batur,pengeluaran,Domba,2021,0
Batur,pemasukan,Sapi,2022,0
Batur,pemasukan,Sapi Perah,2022,0
Batur,pemasukan,Kerbau,2022,0
Batur,pemasukan,Kuda,2022,0
Batur,pemasukan,Kambing,2022,0
Batur,pengeluaran,Sapi,2022,0
Batur,pengeluaran,Kerbau,2022,0
Batur,pengeluaran,Kambing,2022,0
Batur,pengeluaran,Domba,2022,0
Batur,pemasukan,Sapi,2023,0
Batur,pemasukan,Sapi Perah,2023,0
Batur,pemasukan,Kerbau,2023,0
Batur,pemasukan,Kuda,2023,0
Batur,pemasukan,Kambing,2023,0
Batur,pemasukan,Domba,2023,0
Batur,pengeluaran,Sapi,2023,0
Batur,pengeluaran,Kerbau,2023,0
Batur,pengeluaran,Kambing,2023,0
Batur,pengeluaran,Domba,2023,0
Batur,pemasukan,Sapi,2024,0
Batur,pemasukan,Sapi Perah,2024,0
Batur,pemasukan,Kerbau,2024,0
Batur,pemasukan,Kuda,2024,0
Batur,pemasukan,Kambing,2024,0
Batur,pengeluaran,Sapi,2024,0
Batur,pengeluaran,Kerbau,2024,0
Batur,pengeluaran,Kambing,2024,0
Bawang,pemasukan,Sapi,2018,0
Bawang,pemasukan,Sapi Perah,2018,0
Bawang,pemasukan,Kerbau,2018,0
Bawang,pemasukan,Kuda,2018,0
Bawang,pemasukan,Kambing,2018,0
Bawang,pengeluaran,Sapi,2018,0
Bawang,pengeluaran,Kerbau,2018,0
Bawang,pengeluaran,Kambing,2018,0
Bawang,pengeluaran,Domba,2018,0
Bawang,pemasukan,Sapi,2020,0
Bawang,pemasukan,Sapi Perah,2020,0
Bawang,pemasukan,Kerbau,2020,0
Bawang,pemasukan,Kuda,2020,0
Bawang,pemasukan,Kambing,2020,0
Bawang,pengeluaran,Sapi,2020,0
Bawang,pengeluaran,Kerbau,2020,0
Bawang,pengeluaran,Kambing,2020,0
Bawang,pemasukan,Sapi,2021,0
Bawang,pemasukan,Sapi Perah,2021,0
Bawang,pemasukan,Kerbau,2021,0
Bawang,pemasukan,Kuda,2021,0
Bawang,pemasukan,Kambing,2021,0
Bawang,pengeluaran,Sapi,2021,0
Bawang,pengeluaran,Kerbau,2021,0
Bawang,pengeluaran,Kambing,2021,0
Bawang,pengeluaran,Domba,2021,0
Bawang,pemasukan,Sapi,2022,0
Bawang,pemasukan,Sapi Perah,2022,0
Bawang,pemasukan,Kerbau,2022,0
Bawang,pemasukan,Kuda,2022,0
Bawang,pemasukan,Kambing,2022,0
Bawang,pengeluaran,Sapi,2022,0
Bawang,pengeluaran,Kerbau,2022,0
Bawang,pengeluaran,Kambing,2022,0
Bawang,pengeluaran,Domba,2022,0
Bawang,pemasukan,Sapi,2023,0
Bawang,pemasukan,Sapi Perah,2023,0
Bawang,pemasukan,Kerbau,2023,0
Bawang,pemasukan,Kuda,2023,0
Bawang,pemasukan,Kambing,2023,0
Bawang,pemasukan,Domba,2023,0
Bawang,pengeluaran,Sapi,2023,0
Bawang,pengeluaran,Kerbau,2023,0
Bawang,pengeluaran,Kambing,2023,0
Bawang,pengeluaran,Domba,2023,0
Bawang,pemasukan,Sapi,2024,0
Bawang,pemasukan,Sapi Perah,2024,0
Bawang,pemasukan,Kerbau,2024,0
Bawang,pemasukan,Kuda,2024,0
Bawang,pemasukan,Kambing,2024,0
Bawang,pengeluaran,Sapi,2024,0
Bawang,pengeluaran,Kerbau,2024,0
Bawang,pengeluaran,Kambing,2024,0
Kalibening,pemasukan,Sapi,2018,0
Kalibening,pemasukan,Sapi Perah,2018,0
Kalibening,pemasukan,Kerbau,2018,0
Kalibening,pemasukan,Kuda,2018,0
Kalibening,pemasukan,Kambing,2018,0
