Kecamatan,Tanaman,Tahun,Luas (Ha)
Banjarmangu,Kelapa Sawit,2017,0
Banjarmangu,Karet,2017,0
Banjarmangu,Kakao,2017,1
Banjarmangu,Tebu,2017,0
Banjarmangu,Teh,2017,0
Banjarmangu,Tembakau,2017,0
Banjarmangu,Kelapa Sawit,2018,0
Banjarmangu,Kelapa Dalam,2018,560.47
Banjarmangu,Karet,2018,0
Banjarmangu,Kopi Robusta,2018,95.55
Banjarmangu,Kakao,2018,1
Banjarmangu,Tebu,2018,0
Banjarmangu,Teh,2018,0
Banjarmangu,Tembakau,2018,0
Banjarmangu,Kelapa Sawit,2019,0
Banjarmangu,Kelapa Dalam,2019,560.47
Banjarmangu,Karet,2019,0
Banjarmangu,Kopi Robusta,2019,95.55
Banjarmangu,Kakao,2019,14
Banjarmangu,Tebu,2019,0
Banjarmangu,Teh,2019,0
Banjarmangu,Tembakau,2019,0
Banjarmangu,Kelapa Dalam,2020,560.47
Banjarmangu,Karet,2020,0
Banjarmangu,Kopi Robusta,2020,95.55
Banjarmangu,Kakao,2020,14
Banjarmangu,Tebu,2020,0
Banjarmangu,Teh,2020,0
Banjarmangu,Tembakau,2020,0
Banjarmangu,Kelapa Sawit,2021,0
Banjarmangu,Kelapa Dalam,2021,560.47
Banjarmangu,Karet,2021,0
Banjarmangu,Kopi Robusta,2021,95.55
Banjarmangu,Kakao,2021,14
Banjarmangu,Tebu,2021,0
Banjarmangu,Teh,2021,0
Banjarmangu,Tembakau,2021,0
Banjarmangu,Kopi Arabica,2021,0
Banjarmangu,Kelapa Sawit,2022,0
Banjarmangu,Kelapa Dalam,2022,560.47
Banjarmangu,Karet,2022,0
Banjarmangu,Kopi Robusta,2022,95.55
Banjarmangu,Kakao,2022,14
Banjarmangu,Tebu,2022,0
Banjarmangu,Teh,2022,0
Banjarmangu,Tembakau,2022,0
Banjarmangu,Kopi Arabica,2022,0
Banjarmangu,Kelapa Sawit,2023,0
Banjarmangu,Kelapa Dalam,2023,560.47
Banjarmangu,Karet,2023,0
Banjarmangu,Kopi Robusta,2023,95.55
Banjarmangu,Kakao,2023,14
Banjarmangu,Tebu,2023,0
Banjarmangu,Teh,2023,0
Banjarmangu,Tembakau,2023,0
Banjarmangu,Kopi Arabica,2023,0
Banjarmangu,Kelapa Sawit,2024,0
Banjarmangu,Kelapa Dalam,2024,560.47
Banjarmangu,Karet,2024,0
Banjarmangu,Kopi Robusta,2024,95.55
Banjarmangu,Kakao,2024,14
Banjarmangu,Tebu,2024,0
Banjarmangu,Teh,2024,0
Banjarmangu,Tembakau,2024,0
Banjarmangu,Kopi Arabica,2024,0
Banjarnegara,Kelapa Sawit,2017,0
Banjarnegara,Karet,2017,0
Banjarnegara,Kakao,2017,3.5
Banjarnegara,Tebu,2017,0
Banjarnegara,Teh,2017,0
Banjarnegara,Tembakau,2017,0
Banjarnegara,Kelapa Sawit,2018,0
Banjarnegara,Kelapa Dalam,2018,427.05
Banjarnegara,Karet,2018,0
Banjarnegara,Kopi Robusta,2018,121.5
Banjarnegara,Kakao,2018,3.5
Banjarnegara,Tebu,2018,0
