Kecamatan,Arah (Masuk/Keluar),Tahun,Jumlah (Ekor)
Banjarmangu,sendiri,2018,0
Banjarmangu,lain_daerah,2018,912317.75
Banjarmangu,sendiri,2019,572999
Banjarmangu,lain_daerah,2019,383881
Banjarmangu,sendiri,2020,516334.33
Banjarmangu,lain_daerah,2020,345918.05
Banjarmangu,sendiri,2021,563160.46
Banjarmangu,lain_daerah,2021,377289.21
Banjarmangu,sendiri,2022,603872.05
Banjarmangu,lain_daerah,2022,404563.93
Banjarmangu,sendiri,2023,607961.23
Banjarmangu,lain_daerah,2023,407303.48
Banjarmangu,sendiri,2024,603707.12
Banjarmangu,lain_daerah,2024,404453.43
Banjarnegara,sendiri,2018,0
Banjarnegara,lain_daerah,2018,1812263.36
Banjarnegara,sendiri,2019,1409175
Banjarnegara,lain_daerah,2019,491608
Banjarnegara,sendiri,2020,947543.45
Banjarnegara,lain_daerah,2020,330562.43
Banjarnegara,sendiri,2021,1033475.75
Banjarnegara,lain_daerah,2021,360540.99
Banjarnegara,sendiri,2022,1108187.04
Banjarnegara,lain_daerah,2022,386604.96
Banjarnegara,sendiri,2023,1115691.24
Banjarnegara,lain_daerah,2023,389222.9
Banjarnegara,sendiri,2024,1107884.37
Banjarnegara,lain_daerah,2024,386499.37
Batur,sendiri,2018,0
Batur,lain_daerah,2018,27086.95
Batur,sendiri,2019,28410
Batur,sendiri,2020,10036.34
Batur,lain_daerah,2020,0
Batur,sendiri,2021,10946.53
Batur,lain_daerah,2021,0
Batur,sendiri,2022,11737.87
Batur,lain_daerah,2022,0
Batur,sendiri,2023,11817.35
Batur,lain_daerah,2023,0
Batur,sendiri,2024,11734.66
Batur,lain_daerah,2024,0
Bawang,sendiri,2018,0
Bawang,lain_daerah,2018,5348025.4
Bawang,sendiri,2019,1512258
Bawang,lain_daerah,2019,4096993
Bawang,sendiri,2020,859033.68
Bawang,lain_daerah,2020,2327285.58
Bawang,sendiri,2021,936939.07
Bawang,lain_daerah,2021,2538346.1
Bawang,sendiri,2022,1004671.59
Bawang,lain_daerah,2022,2721846.38
Bawang,sendiri,2023,1011474.83
Bawang,lain_daerah,2023,2740277.66
Bawang,sendiri,2024,1004397.2
