Kecamatan,Jenis Budidaya,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Banjarmangu,Pembesaran,2019,956880.11,21326174.96
Banjarmangu,Karamba Jaring Apung,2019,0,0
Banjarmangu,Minapadi Tumpang Sari,2019,0,0
Banjarmangu,Pembesaran,2020,862252.38,19271551.47
Banjarmangu,Karamba Jaring Apung,2020,0,0
Banjarmangu,Minapadi Tumpang Sari,2020,0,0
Banjarmangu,Pembesaran,2021,940449.67,20047414.53
Banjarmangu,Karamba Jaring Apung,2021,0,0
Banjarmangu,Minapadi Tumpang Sari,2021,0,0
Banjarmangu,Pembesaran,2022,1008435.98,22811478.91
Banjarmangu,Pembesaran,2023,1015264.71,22318829.5
Banjarmangu,Karamba Jaring Apung,2023,0,0
Banjarmangu,Minapadi Tumpang Sari,2023,0,0
Banjarmangu,Pembesaran,2024,1008160.56,22325561.01
Banjarmangu,Karamba Jaring Apung,2024,0,0
Banjarmangu,Minapadi Tumpang Sari,2024,0,0
Banjarnegara,Pembesaran,2019,1900783.75,42363140.85
Banjarnegara,Karamba Jaring Apung,2019,0,0
Banjarnegara,Minapadi Tumpang Sari,2019,0,0
Banjarnegara,Pembesaran,2020,1278105.88,28565978.88
Banjarnegara,Karamba Jaring Apung,2020,0,0
Banjarnegara,Minapadi Tumpang Sari,2020,0,0
Banjarnegara,Pembesaran,2021,1394016.74,29716030.96
Banjarnegara,Karamba Jaring Apung,2021,0,0
Banjarnegara,Minapadi Tumpang Sari,2021,0,0
Banjarnegara,Pembesaran,2022,1494791.99,33813168.89
Banjarnegara,Pembesaran,2023,1504914.14,33082920.85
Banjarnegara,Karamba Jaring Apung,2023,0,0
Banjarnegara,Minapadi Tumpang Sari,2023,0,0
Banjarnegara,Pembesaran,2024,1494383.74,33092898.89
Banjarnegara,Karamba Jaring Apung,2024,0,0
Banjarnegara,Minapadi Tumpang Sari,2024,0,0
Batur,Pembesaran,2019,28410.02,633179.65
Batur,Karamba Jaring Apung,2019,0,0
Batur,Minapadi Tumpang Sari,2019,0,0
Batur,Pembesaran,2020,10036.34,224314.62
Batur,Karamba Jaring Apung,2020,0,0
Batur,Minapadi Tumpang Sari,2020,0,0
Batur,Pembesaran,2021,10946.53,233345.41
Batur,Karamba Jaring Apung,2021,0,0
Batur,Minapadi Tumpang Sari,2021,0,0
Batur,Pembesaran,2022,11737.87,265518.23
Batur,Pembesaran,2023,11817.35,259783.95
Batur,Karamba Jaring Apung,2023,0,0
Batur,Minapadi Tumpang Sari,2023,0,0
Batur,Pembesaran,2024,11734.66,259862.3
Batur,Karamba Jaring Apung,2024,0,0
Batur,Minapadi Tumpang Sari,2024,0,0
Bawang,Pembesaran,2019,5609250.86,125014475.73
Bawang,Karamba Jaring Apung,2019,79382.43,1669679.47
Bawang,Minapadi Tumpang Sari,2019,19600,456806
Bawang,Pembesaran,2020,3186319.26,71215014.59
Bawang,Karamba Jaring Apung,2020,45793.68,403958.74
Bawang,Minapadi Tumpang Sari,2020,14030,308660
