Kecamatan,Kelompok,Jenis,Tahun,Produksi (Kg)
Banjarmangu,ternak,Sapi,2018,52609.2
Banjarmangu,ternak,Kerbau,2018,0
Banjarmangu,ternak,Babi,2018,0
Banjarmangu,ternak,Kambing,2018,7506.52
Banjarmangu,ternak,Domba,2018,158.71
Banjarmangu,ternak,Sapi,2019,54300.21
Banjarmangu,ternak,Kambing,2019,3906.34
Banjarmangu,ternak,Domba,2019,138.42
Banjarmangu,unggas,Ayam Ras Layer,2019,5783
Banjarmangu,unggas,Ayam Kampung,2019,56470
Banjarmangu,ternak,Sapi,2020,57682.23
Banjarmangu,ternak,Kerbau,2020,0
Banjarmangu,ternak,Babi,2020,0
Banjarmangu,ternak,Kambing,2020,7189.68
Banjarmangu,ternak,Domba,2020,176.84
Banjarmangu,unggas,Ayam Ras Layer,2020,41265
Banjarmangu,unggas,Ayam Kampung,2020,274903
Banjarmangu,ternak,Sapi,2021,71232.18
Banjarmangu,ternak,Kerbau,2021,0
Banjarmangu,ternak,Babi,2021,0
Banjarmangu,ternak,Kambing,2021,7686.52
Banjarmangu,ternak,Domba,2021,171.9
Banjarmangu,unggas,Ayam Ras Layer,2021,46089
Banjarmangu,unggas,Ayam Kampung,2021,38114
Banjarmangu,ternak,Sapi,2022,68033.57
Banjarmangu,ternak,Kerbau,2022,0
Banjarmangu,ternak,Babi,2022,0
Banjarmangu,ternak,Kambing,2022,7753.07
Banjarmangu,ternak,Domba,2022,199.85
Banjarmangu,unggas,Ayam Ras Layer,2022,0
Banjarmangu,unggas,Ayam Kampung,2022,46612.06
Banjarmangu,ternak,Sapi,2023,68634.06
Banjarmangu,ternak,Kambing,2023,4558.78
Banjarmangu,ternak,Domba,2023,303.46
Banjarmangu,unggas,Ayam Ras Layer,2023,928975.46
Banjarmangu,unggas,Ayam Kampung,2023,387011.57
Banjarmangu,ternak,Sapi,2024,60975.2
Banjarmangu,ternak,Kerbau,2024,0
Banjarmangu,ternak,Babi,2024,0
Banjarmangu,ternak,Kambing,2024,1653.75
Banjarmangu,ternak,Domba,2024,782.25
Banjarmangu,unggas,Ayam Ras Layer,2024,75
Banjarmangu,unggas,Ayam Kampung,2024,6370.05
Banjarnegara,ternak,Sapi,2018,669639.96
Banjarnegara,ternak,Kerbau,2018,0
Banjarnegara,ternak,Babi,2018,0
Banjarnegara,ternak,Kambing,2018,3533.14
Banjarnegara,ternak,Domba,2018,1460.15
Banjarnegara,ternak,Sapi,2019,620037
Banjarnegara,ternak,Kambing,2019,3127.33
Banjarnegara,ternak,Domba,2019,1213.17
Banjarnegara,unggas,Ayam Ras Layer,2019,5429
Banjarnegara,unggas,Ayam Kampung,2019,38429
Banjarnegara,ternak,Sapi,2020,596362.86
Banjarnegara,ternak,Kerbau,2020,0
Banjarnegara,ternak,Babi,2020,0
Banjarnegara,ternak,Kambing,2020,4680.72
Banjarnegara,ternak,Domba,2020,648.41
Banjarnegara,unggas,Ayam Ras Layer,2020,27858
Banjarnegara,unggas,Ayam Kampung,2020,62286
Banjarnegara,ternak,Sapi,2021,736452.56
Banjarnegara,ternak,Kerbau,2021,0
Banjarnegara,ternak,Babi,2021,0
Banjarnegara,ternak,Kambing,2021,5004.18
Banjarnegara,ternak,Domba,2021,630.31
Banjarnegara,unggas,Ayam Ras Layer,2021,62842
Banjarnegara,unggas,Ayam Kampung,2021,25731
Banjarnegara,ternak,Sapi,2022,720459.49
Banjarnegara,ternak,Kerbau,2022,0
Banjarnegara,ternak,Babi,2022,0
Banjarnegara,ternak,Kambing,2022,5057.42
Banjarnegara,ternak,Domba,2022,648.94
Banjarnegara,unggas,Ayam Ras Layer,2022,2335.34
Banjarnegara,unggas,Ayam Kampung,2022,30054.34
Banjarnegara,ternak,Sapi,2023,726818.61
Banjarnegara,ternak,Kambing,2023,2973.74
Banjarnegara,ternak,Domba,2023,985.4
Banjarnegara,unggas,Ayam Ras Layer,2023,202755.91
Banjarnegara,unggas,Ayam Kampung,2023,255488.72
Banjarnegara,ternak,Sapi,2024,619418.8
Banjarnegara,ternak,Kerbau,2024,0
Banjarnegara,ternak,Babi,2024,0
Banjarnegara,ternak,Kambing,2024,4207.5
Banjarnegara,ternak,Domba,2024,2878.68
Banjarnegara,unggas,Ayam Ras Layer,2024,2649.74
Banjarnegara,unggas,Ayam Kampung,2024,29329.3
Batur,ternak,Sapi,2018,76659.12
Batur,ternak,Kerbau,2018,0
Batur,ternak,Babi,2018,0
Batur,ternak,Kambing,2018,0
Batur,ternak,Domba,2018,6634.16
Batur,ternak,Sapi,2019,77786.46
Batur,ternak,Kambing,2019,203.22
Batur,ternak,Domba,2019,5451.34
Batur,unggas,Ayam Ras Layer,2019,0
Batur,unggas,Ayam Kampung,2019,2221
Batur,ternak,Sapi,2020,84362.61
Batur,ternak,Kerbau,2020,0
Batur,ternak,Babi,2020,0
Batur,ternak,Kambing,2020,0
Batur,ternak,Domba,2020,5403.15
Batur,unggas,Ayam Ras Layer,2020,799
Batur,unggas,Ayam Kampung,2020,0
Batur,ternak,Sapi,2021,104179.96
Batur,ternak,Kerbau,2021,0
Batur,ternak,Babi,2021,0
Batur,ternak,Kambing,2021,0
Batur,ternak,Domba,2021,5252.33
Batur,unggas,Ayam Ras Layer,2021,0
Batur,unggas,Ayam Kampung,2021,738
Batur,ternak,Sapi,2022,95650.33
Batur,ternak,Kerbau,2022,0
Batur,ternak,Babi,2022,0
Batur,ternak,Kambing,2022,0
Batur,ternak,Domba,2022,5266.31
Batur,unggas,Ayam Ras Layer,2022,0
Batur,unggas,Ayam Kampung,2022,0
Batur,ternak,Sapi,2023,96494.58
Batur,ternak,Kambing,2023,0
Batur,ternak,Domba,2023,7996.81
Batur,unggas,Ayam Ras Layer,2023,0
Batur,unggas,Ayam Kampung,2023,6676.29
Batur,ternak,Sapi,2024,93321.8
Batur,ternak,Kerbau,2024,0
Batur,ternak,Babi,2024,0
Batur,ternak,Kambing,2024,450
Batur,ternak,Domba,2024,6393.59
Batur,unggas,Ayam Ras Layer,2024,0
Batur,unggas,Ayam Kampung,2024,97.03
Bawang,ternak,Sapi,2018,50542.41
Bawang,ternak,Kerbau,2018,0
Bawang,ternak,Babi,2018,0
Bawang,ternak,Kambing,2018,3837.92
Bawang,ternak,Domba,2018,1999.77
Bawang,ternak,Sapi,2019,50730.3
Bawang,ternak,Kambing,2019,3432.16
Bawang,ternak,Domba,2019,1150.13
Bawang,unggas,Ayam Ras Layer,2019,5116
Bawang,unggas,Ayam Kampung,2019,38409
Bawang,ternak,Sapi,2020,55803.33
Bawang,ternak,Kerbau,2020,0
Bawang,ternak,Babi,2020,0
Bawang,ternak,Kambing,2020,4431.68
Bawang,ternak,Domba,2020,545.6
Bawang,unggas,Ayam Ras Layer,2020,27811
Bawang,unggas,Ayam Kampung,2020,193040
Bawang,ternak,Sapi,2021,68911.91
Bawang,ternak,Kerbau,2021,0
Bawang,ternak,Babi,2021,0
Bawang,ternak,Kambing,2021,4737.93
Bawang,ternak,Domba,2021,530.37
Bawang,unggas,Ayam Ras Layer,2021,54882
Bawang,unggas,Ayam Kampung,2021,25688
Bawang,ternak,Sapi,2022,65713.3
Bawang,ternak,Kerbau,2022,0
Bawang,ternak,Babi,2022,0
Bawang,ternak,Kambing,2022,4804.48
Bawang,ternak,Domba,2022,549
Bawang,unggas,Ayam Ras Layer,2022,2977.06
Bawang,unggas,Ayam Kampung,2022,29219.5
Bawang,ternak,Sapi,2023,66293.32
Bawang,ternak,Kambing,2023,2825.02
Bawang,ternak,Domba,2023,833.65
Bawang,unggas,Ayam Ras Layer,2023,649821.08
Bawang,unggas,Ayam Kampung,2023,260332.58
Bawang,ternak,Sapi,2024,65065
Bawang,ternak,Kerbau,2024,0
Bawang,ternak,Babi,2024,0
Bawang,ternak,Kambing,2024,4387.5
Bawang,ternak,Domba,2024,1647.94
Bawang,unggas,Ayam Ras Layer,2024,4269.63
Bawang,unggas,Ayam Kampung,2024,17283.87
Kalibening,ternak,Sapi,2018,45845.16
Kalibening,ternak,Kerbau,2018,0
Kalibening,ternak,Babi,2018,0
Kalibening,ternak,Kambing,2018,5339.22
Kalibening,ternak,Domba,2018,5142.27
Kalibening,ternak,Sapi,2019,49790.85
Kalibening,ternak,Kambing,2019,9291.67
Kalibening,ternak,Domba,2019,754.26
Kalibening,unggas,Ayam Ras Layer,2019,85
Kalibening,unggas,Ayam Kampung,2019,52602
Kalibening,ternak,Sapi,2020,41147.91
Kalibening,ternak,Kerbau,2020,0
Kalibening,ternak,Babi,2020,0
Kalibening,ternak,Kambing,2020,3481.4
Kalibening,ternak,Domba,2020,6072.82
Kalibening,unggas,Ayam Ras Layer,2020,30321
Kalibening,unggas,Ayam Kampung,2020,262386
Kalibening,ternak,Sapi,2021,50813.83
Kalibening,ternak,Kerbau,2021,0
Kalibening,ternak,Babi,2021,0
Kalibening,ternak,Kambing,2021,3721.98
Kalibening,ternak,Domba,2021,5903.31
Kalibening,unggas,Ayam Ras Layer,2021,16761
Kalibening,unggas,Ayam Kampung,2021,28048
Kalibening,ternak,Sapi,2022,42284.2
Kalibening,ternak,Kerbau,2022,0
Kalibening,ternak,Babi,2022,0
Kalibening,ternak,Kambing,2022,3761.91
Kalibening,ternak,Domba,2022,5931.25
Kalibening,unggas,Ayam Ras Layer,2022,0
Kalibening,unggas,Ayam Kampung,2022,32906.72
Kalibening,ternak,Sapi,2023,42657.42
Kalibening,ternak,Kambing,2023,2211.99
Kalibening,ternak,Domba,2023,9006.53
Kalibening,unggas,Ayam Ras Layer,2023,890270.02
Kalibening,unggas,Ayam Kampung,2023,285134.27
Kalibening,ternak,Sapi,2024,61718.8
Kalibening,ternak,Kerbau,2024,0
Kalibening,ternak,Babi,2024,0
Kalibening,ternak,Kambing,2024,5805
Kalibening,ternak,Domba,2024,5141.99
