Kecamatan,Nama
Banjarmangu,Banjarkulon
Banjarmangu,Banjarmangu
Banjarmangu,Beji
Banjarmangu,Gripit
Banjarmangu,Jenggawur
Banjarmangu,Kalilunjar
Banjarmangu,Kendaga
Banjarmangu,Kesenet
Banjarmangu,Majatengah
Banjarmangu,Paseh
Banjarmangu,Pekandangan
Banjarmangu,Prendengan
Banjarmangu,Rejasari
Banjarmangu,Sigeblog
Banjarmangu,Sijenggung
Banjarmangu,Sijeruk
Banjarmangu,Sipedang
Banjarnegara,Ampelsari
Banjarnegara,Cendana
Banjarnegara,Kel. Argasoka
Banjarnegara,Kel.Karangtengah
Banjarnegara,Kel.Krandegan
Banjarnegara,Kel.Kutabanjarnegara
Banjarnegara,Kel.Parakancanggah
Banjarnegara,Kel.Semampir
Banjarnegara,Kel.Semarang
Banjarnegara,Kel.Sokanandi
Banjarnegara,Kel.Wangon
Banjarnegara,Sokayasa
Banjarnegara,Tlagawera
Batur,Bakal
Batur,Batur
Batur,Diengkulon
Batur,Karangtengah
Batur,Kepakisan
Batur,Pekasiran
Batur,Pesurenan
Batur,Sumberejo
Bawang,Bandingan
Bawang,Bawang
Bawang,Binorong
Bawang,Blambangan
Bawang,Depok
Bawang,Gemuruh
Bawang,Joho
Bawang,Kebondalem
Bawang,Kutayasa
Bawang,Majalengka
Bawang,Mantrianom
Bawang,Masaran
Bawang,Pucang
Bawang,Serang
Bawang,Wanadri
Bawang,Watuurip
Bawang,Winong
Bawang,Wiramastra
Kalibening,Asinan
Kalibening,Bedana
Kalibening,Gununglangit
Kalibening,Kalibening
Kalibening,Kalibombong
Kalibening,Kalisatkidul
Kalibening,Karanganyar.
Kalibening,Kasinoman
Kalibening,Kertosari
Kalibening,Majatengah
Kalibening,Plorengan
Kalibening,Sembawa
Kalibening,Sidakangen
Kalibening,Sikumpul
Kalibening,Sirukem
Kalibening,Sirukun
Karangkobar,Ambal
Karangkobar,Binangun
Karangkobar,Gumelar
Karangkobar,Jlegong
Karangkobar,Karanggondang
Karangkobar,Karangkobar
Karangkobar,Leksana
Karangkobar,Pagerpelah
Karangkobar,Pasuruhan
Karangkobar,Paweden
Karangkobar,Purwadadi
Karangkobar,Sampang
Karangkobar,Slatri
Madukara,Bantarwaru
Madukara,Blitar
Madukara,Clapar
Madukara,Dawuhan
Madukara,Gununggiana
Madukara,Kaliurip
Madukara,Karanganyar
Madukara,Kel.Kenteng
Madukara,Kel.Rejasa
Madukara,Kutayasa
Madukara,Limbangan
Madukara,Madukara
Madukara,Pagelak
Madukara,Pakelen
Madukara,Pekauman
Madukara,Penawangan
Madukara,Petambakan
Madukara,Rakitan
Madukara,Sered
Madukara,Talunamba
Mandiraja,Banjengan
Mandiraja,Blimbing
Mandiraja,Candiwulan
Mandiraja,Glempang
Mandiraja,Jalatunda
Mandiraja,Kaliwungu
Mandiraja,Kebakalan
Mandiraja,Kebanaran
Mandiraja,Kertayasa
Mandiraja,Mandirajakulon
Mandiraja,Mandirajawetan
Mandiraja,Panggisari
Mandiraja,Purwasaba
Mandiraja,Salamerta
Mandiraja,Simbang
Mandiraja,Somawangi
Pagedongan,Duren
Pagedongan,Gentansari
Pagedongan,Gunungjati
Pagedongan,Kebutuhduwur
Pagedongan,Kebutuhjurang
Pagedongan,Lebakwangi
Pagedongan,Pagedongan
Pagedongan,Pesangkalan
Pagedongan,Twelagiri
Pagentan,Aribaya
Pagentan,Babadan
Pagentan,Gumingsir
Pagentan,Kalitlaga
Pagentan,Karangnangka
Pagentan,Karekan
Pagentan,Kasmaran
Pagentan,Kayuares
Pagentan,Larangan
Pagentan,Majasari
Pagentan,Metawana
Pagentan,Nagasari
Pagentan,Pagentan
Pagentan,Plumbungan
Pagentan,Sokaraja
Pagentan,Tegaljeruk
Pandanarum,Beji
Pandanarum,Lawen
Pandanarum,Pandanarum
Pandanarum,Pasegeran
Pandanarum,Pingit Lor
Pandanarum,Pringamba
Pandanarum,Sinduaji
Pandanarum,Sirongge
Pejawaran,Beji
Pejawaran,Biting
Pejawaran,Condongcampur
Pejawaran,Darmayasa
Pejawaran,Gembol
Pejawaran,Giritirta
Pejawaran,Grogol
Pejawaran,Kalilunjar
Pejawaran,Karangsari
Pejawaran,Pagundungan
Pejawaran,Pejawaran
Pejawaran,Penusupan
