Wilayah,Tahun,Inflasi (%)
Banjarnegara,2018,0
Cilacap,2018,3.21
Purbalingga,2018,0
Banyumas,2018,2.98
Wonosobo,2018,0
Jawa Tengah,2018,2.82
Nasional,2018,3.13
Banjarnegara,2019,0
Cilacap,2019,2.19
Purbalingga,2019,0
Banyumas,2019,2.28
Wonosobo,2019,0
Jawa Tengah,2019,2.81
Nasional,2019,2.72
Banjarnegara,2020,0
Cilacap,2020,1.71
Purbalingga,2020,0
Banyumas,2020,1.9
Wonosobo,2020,0
Jawa Tengah,2020,1.56
Nasional,2020,1.68
Banjarnegara,2021,0
Cilacap,2021,1.88
Purbalingga,2021,0
Banyumas,2021,2.18
Wonosobo,2021,0
Jawa Tengah,2021,1.7
Nasional,2021,1.87
Banjarnegara,2022,0
Cilacap,2022,6.81
Purbalingga,2022,0
Banyumas,2022,6.49
Wonosobo,2022,0
Jawa Tengah,2022,5.63
Nasional,2022,5.51
Banjarnegara,2023,0
Cilacap,2023,2.69
Purbalingga,2023,0
Banyumas,2023,2.61
Wonosobo,2023,0
Jawa Tengah,2023,2.89
Nasional,2023,5.28
Banjarnegara,2024,0
Cilacap,2024,1.82
Purbalingga,2024,0
Banyumas,2024,1.51
Wonosobo,2024,1.52
Jawa Tengah,2024,1.67
Nasional,2024,1.57
