Kecamatan,Desa,Tahun,KTH,KTH Pemula,KTH Madya,KTH Utama
Banjarmangu,KENDAGA,2026,1,1,0,0
Banjarmangu,MAJATENGAH,2026,2,2,0,0
Banjarmangu,BEJI,2026,2,1,1,0
Banjarmangu,SIPEDANG,2026,1,0,1,0
Banjarmangu,PASEH,2026,1,1,0,0
Banjarmangu,PRENDENGAN,2026,1,0,1,0
Banjarmangu,SIJERUK,2026,1,1,0,0
Banjarmangu,GRIPIT,2026,2,0,2,0
Banjarmangu,REJASARI,2026,1,0,1,0
Banjarmangu,KESENET,2026,1,1,0,0
Banjarmangu,BANJARMANGU,2026,1,1,0,0
Banjarmangu,KALILUNJAR,2026,1,1,0,0
Banjarnegara,ARGASOKA,2026,1,1,0,0
Banjarnegara,TLAGAWERA,2026,4,4,0,0
Banjarnegara,AMPELSARI,2026,3,3,0,0
Banjarnegara,PARAKANCANGGAH,2026,1,1,0,0
Banjarnegara,CENDANA,2026,2,2,0,0
Banjarnegara,SOKAYASA,2026,1,1,0,0
Banjarnegara,SOKANANDI,2026,1,1,0,0
Batur,SUMBEREJO,2026,2,2,0,0
Batur,PEKASIRAN,2026,3,3,0,0
Batur,DIENG KULON,2026,1,1,0,0
Batur,BATUR,2026,5,5,0,0
Batur,PESURENAN,2026,1,1,0,0
Batur,KEPAKISAN,2026,1,1,0,0
Bawang,WANADRI,2026,5,5,0,0
Bawang,KEBONDALEM,2026,5,5,0,0
Bawang,MAJALENGKA,2026,4,2,2,0
Bawang,WATUURIP,2026,2,2,0,0
Bawang,MASARAN,2026,2,2,0,0
Bawang,WIRAMASTRA,2026,2,2,0,0
Bawang,DEPOK,2026,1,1,0,0
Bawang,SERANG,2026,1,1,0,0
Bawang,BLAMBANGAN,2026,1,1,0,0
Bawang,WINONG,2026,1,1,0,0
Kalibening,KALIBENING,2026,1,0,1,0
Kalibening,MAJATENGAH,2026,1,0,1,0
Kalibening,BEDANA,2026,2,0,2,0
Kalibening,GUNUNGLANGIT,2026,1,0,1,0
Kalibening,KARANGANYAR,2026,1,0,1,0
Kalibening,PLORENGAN,2026,1,1,0,0
Kalibening,SIDAKANGEN,2026,1,1,0,0
Kalibening,KERTOSARI,2026,1,0,1,0
Kalibening,KASINOMAN,2026,1,0,1,0
Kalibening,SIRUKEM,2026,1,1,0,0
Kalibening,KALISAT KIDUL,2026,1,0,1,0
Kalibening,ASINAN,2026,1,1,0,0
Kalibening,SIKUMPUL,2026,2,1,1,0
Kalibening,KALIBOMBONG,2026,1,0,1,0
Kalibening,SEMBAWA,2026,1,1,0,0
Kalibening,SIRUKUN,2026,1,1,0,0
Karangkobar,LEKSANA,2026,2,1,1,0
Karangkobar,PAWEDEN,2026,2,2,0,0
Karangkobar,BINANGUN,2026,1,1,0,0
Karangkobar,KARANGKOBAR,2026,1,1,0,0
Madukara,PAGELAK,2026,1,0,1,0
Madukara,CLAPAR,2026,1,1,0,0
Madukara,RAKITAN,2026,2,1,1,0
Madukara,SERED,2026,1,1,0,0
Madukara,LIMBANGAN,2026,1,1,0,0
Madukara,KARANGANYAR,2026,2,2,0,0
Madukara,TALUNAMBA,2026,2,2,0,0
Madukara,KENTENG RT 02 RW 02 KECAMATAN MADUKARA KABUPATEN BANJARNEGARA | KELURAHAN KENTEN,2026,1,1,0,0
Madukara,BLITAR,2026,1,0,1,0
Madukara,PAKELEN,2026,2,1,1,0
Madukara,MADUKARA,2026,1,0,1,0
Madukara,PEKAUMAN,2026,1,1,0,0
Madukara,PETAMBAKAN,2026,2,2,0,0
Madukara,GUNUNGGIANA,2026,1,1,0,0
Mandiraja,KEBANARAN,2026,2,1,1,0
Mandiraja,KALIWUNGU,2026,1,0,1,0
Mandiraja,JALATUNDA,2026,2,2,0,0
Mandiraja,SOMAWANGI,2026,3,3,0,0
Mandiraja,SALAMERTA,2026,2,1,1,0
Mandiraja,GLEMPANG,2026,4,4,0,0
Pagedongan,GENTANSARI,2026,3,3,0,0
Pagedongan,PAGEDONGAN,2026,3,3,0,0
Pagedongan,LEBAKWANGI,2026,7,6,0,1
Pagedongan,PESANGKALAN,2026,2,2,0,0
Pagedongan,DUREN,2026,4,3,1,0
Pagedongan,KEBUTUHDUWUR,2026,4,4,0,0
Pagedongan,KEBUTUHJURANG,2026,3,3,0,0
