Kecamatan,Tahun,Luas (Ha),Produksi (Kg),Luas Tambahan (Ha)
Banjarmangu,2018,0.44,0,0
Banjarmangu,2019,0.44,18210755
Banjarmangu,2020,0.44,0,0
Banjarmangu,2021,0.44,0,0
Banjarmangu,2022,0.44,0,0
Banjarmangu,2023,0.44,0,0
Banjarmangu,2024,0.44,0,0
Banjarnegara,2018,2.64,0,0
Banjarnegara,2019,2.64,132557353
Banjarnegara,2020,2.64,0,0
Banjarnegara,2021,2.64,0,0
Banjarnegara,2022,2.64,0,0
Banjarnegara,2023,2.64,0,0
Banjarnegara,2024,2.64,0,0
Batur,2018,0,0,0
Batur,2020,,0,0
Batur,2021,0,0,0
Batur,2022,0,0,0
Batur,2023,0,0,0
Batur,2024,0,0,0
Bawang,2018,6.98,5620000,2
Bawang,2019,6.98,6595000,2
Bawang,2020,6.98,7225000,2
Bawang,2021,6.98,6000000,1
Bawang,2022,6.98,7703000,1
Bawang,2023,6.98,0,1
Bawang,2024,6.98,6425000,1
Kalibening,2018,0.2,0,0
Kalibening,2019,0.2,635259
Kalibening,2020,0.2,0,0
Kalibening,2021,0.2,0,0
Kalibening,2022,0.2,0,0
Kalibening,2023,0.2,0,0
Kalibening,2024,0.2,0,0
Karangkobar,2018,0.2,0,0
Karangkobar,2019,0.2,1482271
Karangkobar,2020,0.2,0,0
Karangkobar,2021,0.2,0,0
Karangkobar,2022,0.2,0,0
Karangkobar,2023,0.2,0,0
Karangkobar,2024,0.2,0,0
Madukara,2018,0.6,0,0
Madukara,2019,0.6,16728484
Madukara,2020,0.6,0,0
Madukara,2021,0.6,0,0
Madukara,2022,0.6,0,0
Madukara,2023,0.6,0,0
Madukara,2024,0.6,0,0
Mandiraja,2018,5.84,0,0
Mandiraja,2019,5.84,391531223
Mandiraja,2020,5.84,0,0
Mandiraja,2021,5.84,0,0
Mandiraja,2022,5.84,0,0
Mandiraja,2023,5.84,0,0
Mandiraja,2024,5.84,0,0
Pagedongan,2018,1.98,0,0
Pagedongan,2019,1.98,66066924
Pagedongan,2020,1.98,0,0
Pagedongan,2021,1.98,0,0
Pagedongan,2022,1.98,0,0
Pagedongan,2023,1.98,0,0
Pagedongan,2024,1.98,0,0
Pagentan,2018,0.25,0,0
Pagentan,2019,0.25,1905777
Pagentan,2020,0.25,0,0
Pagentan,2021,0.25,0,0
Pagentan,2022,0.25,0,0
Pagentan,2023,0.25,0,0
Pagentan,2024,0.25,0,0
Pandanarum,2018,0,0,0
Pandanarum,2020,,0,0
Pandanarum,2021,0,0,0
Pandanarum,2022,0
Pandanarum,2023,0,0,0
Pandanarum,2024,0,0,0
Pejawaran,2018,0.53,0,0
Pejawaran,2019,0.53,1694024
Pejawaran,2020,0.53,0,0
Pejawaran,2021,0.53,0,0
Pejawaran,2022,0.53,0,0
Pejawaran,2023,0.53,0,0
Pejawaran,2024,0.53,0,0
Punggelan,2018,0.32,0,0
Punggelan,2019,0.32,2329283
Punggelan,2020,0.32,0,0
Punggelan,2021,0.32,0,0
Punggelan,2022,0.32,0,0
Punggelan,2023,0.32,0,0
Punggelan,2024,0.32,0,0
Purwanegara,2018,21.65,0,0
Purwanegara,2019,21.65,166861332
Purwanegara,2020,21.65,0,0
Purwanegara,2021,21.65,0,0
Purwanegara,2022,21.65,0,0
Purwanegara,2023,21.65,0,0
Purwanegara,2024,21.65,0,0
Purwareja Klampok,2018,0.23,0,0
Purwareja Klampok,2019,0.23,23716332
Purwareja Klampok,2020,0.23,0,0
Purwareja Klampok,2021,0.23,0,0
Purwareja Klampok,2022,0.23,0,0
Purwareja Klampok,2023,0.23,0,0
Purwareja Klampok,2024,0.23,0,0
Rakit,2018,19.6,0,0
Rakit,2019,19.6,785391729
Rakit,2020,19.6,0,0
Rakit,2021,19.6,0,0
Rakit,2022,19.6,0,0
Rakit,2023,19.6,0,0
Rakit,2024,19.6,0,0
Sigaluh,2018,1.18,0,0
Sigaluh,2019,1.18,13552189
Sigaluh,2020,1.18,0,0
Sigaluh,2021,1.18,0,0
Sigaluh,2022,1.18,0,0
Sigaluh,2023,1.18,0,0
Sigaluh,2024,1.18,0,0
Susukan,2018,1.66,0,0
Susukan,2019,1.66,21810555
Susukan,2020,1.66,0,0
Susukan,2021,1.66,0,0
Susukan,2022,1.66,0,0
Susukan,2023,1.66,0,0
Susukan,2024,1.66,0,0
Wanadadi,2018,4.43,0,0
Wanadadi,2019,4.43,72631265
Wanadadi,2020,4.43,0,0
Wanadadi,2021,4.43,0,0
Wanadadi,2022,4.43,0,0
Wanadadi,2023,4.43,0,0
Wanadadi,2024,4.43,0,0
Wanayasa,2018,0.2,0,0
Wanayasa,2019,0.2,423506
Wanayasa,2020,0.2,0,0
Wanayasa,2021,0.2,0,0
Wanayasa,2022,0.2,0,0
Wanayasa,2023,0.2,0,0
Wanayasa,2024,0.2,0,0
