Kelompok,Komoditas,Tahun,Nilai,Satuan
sayuran_buah_semusim,Bawang Daun,2016,987,ha
sayuran_buah_semusim,Bawang Merah,2016,0,ha
sayuran_buah_semusim,Bawang Putih,2016,0,ha
sayuran_buah_semusim,Bayam,2016,12,ha
sayuran_buah_semusim,Buncis,2016,279,ha
sayuran_buah_semusim,Cabai Besar,2016,1731,ha
sayuran_buah_semusim,Cabai Rawit,2016,2874,ha
sayuran_buah_semusim,Cabai,2016,0,ha
sayuran_buah_semusim,Jamur,2016,0,ha
sayuran_buah_semusim,Kacang Merah,2016,0,ha
sayuran_buah_semusim,Kacang Panjang,2016,63,ha
sayuran_buah_semusim,Kangkung,2016,32,ha
sayuran_buah_semusim,Kembang Kol,2016,0,ha
sayuran_buah_semusim,Kentang,2016,5701,ha
sayuran_buah_semusim,Ketimun,2016,22,ha
sayuran_buah_semusim,Kubis,2016,3386,ha
sayuran_buah_semusim,Labu Siam,2016,0,ha
sayuran_buah_semusim,Lobak,2016,0,ha
sayuran_buah_semusim,Petsai,2016,0,ha
sayuran_buah_semusim,Terung,2016,0,ha
sayuran_buah_semusim,Tomat,2016,154,ha
sayuran_buah_semusim,Wortel,2016,2884,ha
sayuran_buah_semusim,Sawi Putih,2016,282,ha
sayuran_buah_semusim,Blewah,2016,0,ha
sayuran_buah_semusim,Melon,2016,0,ha
sayuran_buah_semusim,Semangka,2016,0,ha
biofarmaka,Dringo,2016,0,m2
biofarmaka,Jahe,2016,0,m2
biofarmaka,Kapulaga,2016,608.75,m2
biofarmaka,Kencur,2016,0,m2
biofarmaka,Kunyit,2016,0,m2
biofarmaka,Laos,2016,0,m2
biofarmaka,Lempuyang,2016,0,m2
biofarmaka,Lidah Buaya,2016,0,m2
biofarmaka,Mengkudu,2016,0,m2
biofarmaka,Temuireng,2016,0,m2
biofarmaka,Temukunci,2016,0,m2
biofarmaka,Temulawak,2016,0,m2
biofarmaka,Sambiloto,2016,0,m2
sayuran_buah_semusim,Bawang Daun,2018,0,ha
sayuran_buah_semusim,Bawang Merah,2018,11,ha
sayuran_buah_semusim,Bawang Putih,2018,0,ha
sayuran_buah_semusim,Bayam,2018,13,ha
sayuran_buah_semusim,Buncis,2018,406,ha
sayuran_buah_semusim,Cabai Besar,2018,1565,ha
sayuran_buah_semusim,Cabai Rawit,2018,2168,ha
sayuran_buah_semusim,Cabai,2018,0,ha
sayuran_buah_semusim,Jamur,2018,18045,ha
sayuran_buah_semusim,Kacang Merah,2018,154,ha
sayuran_buah_semusim,Kacang Panjang,2018,373,ha
sayuran_buah_semusim,Kangkung,2018,53,ha
sayuran_buah_semusim,Kembang Kol,2018,0,ha
sayuran_buah_semusim,Kentang,2018,5862,ha
sayuran_buah_semusim,Ketimun,2018,34,ha
sayuran_buah_semusim,Kubis,2018,2708,ha
sayuran_buah_semusim,Labu Siam,2018,20,ha
sayuran_buah_semusim,Lobak,2018,0,ha
sayuran_buah_semusim,Petsai,2018,0,ha
sayuran_buah_semusim,Terung,2018,177,ha
sayuran_buah_semusim,Tomat,2018,345,ha
sayuran_buah_semusim,Wortel,2018,3160,ha
sayuran_buah_semusim,Sawi Putih,2018,270,ha
sayuran_buah_semusim,Blewah,2018,0,ha
sayuran_buah_semusim,Melon,2018,0,ha
sayuran_buah_semusim,Semangka,2018,0,ha
tanaman_hias,Agloenema,2018,0,m2
tanaman_hias,Anthurium Daun,2018,37,m2
tanaman_hias,Caladium,2018,0,m2
tanaman_hias,Pakis,2018,0,m2
tanaman_hias,Sansievera Pedang-Pedangan,2018,0,m2
tanaman_hias,Soka,2018,0,m2
tanaman_hias,Krisan,2018,0,m2
tanaman_hias,Mawar,2018,0,m2
tanaman_hias,Melati,2018,136,m2
tanaman_hias,Palem,2018,28,m2
tanaman_hias,Pisang-pisangan,2018,0,m2
tanaman_hias,Sedap Malam,2018,0,m2
biofarmaka,Dringo,2018,0,m2
biofarmaka,Jahe,2018,186365,m2
biofarmaka,Kapulaga,2018,27209,m2
biofarmaka,Kencur,2018,86229,m2
biofarmaka,Kunyit,2018,70776,m2
biofarmaka,Laos,2018,5800,m2
biofarmaka,Lempuyang,2018,10625,m2
biofarmaka,Lidah Buaya,2018,0,m2
biofarmaka,Mengkudu,2018,0,m2
biofarmaka,Temuireng,2018,0,m2
biofarmaka,Temukunci,2018,25,m2
biofarmaka,Temulawak,2018,1146,m2
biofarmaka,Sambiloto,2018,250,m2
sayuran_buah_semusim,Bawang Daun,2019,1129,ha
sayuran_buah_semusim,Bawang Merah,2019,16,ha
sayuran_buah_semusim,Bawang Putih,2019,131,ha
sayuran_buah_semusim,Bayam,2019,15,ha
sayuran_buah_semusim,Buncis,2019,383,ha
sayuran_buah_semusim,Cabai Besar,2019,1701,ha
sayuran_buah_semusim,Cabai Rawit,2019,2639,ha
sayuran_buah_semusim,Cabai,2019,0,ha
sayuran_buah_semusim,Jamur,2019,0,ha
sayuran_buah_semusim,Kacang Merah,2019,173,ha
sayuran_buah_semusim,Kacang Panjang,2019,278,ha
sayuran_buah_semusim,Kangkung,2019,36,ha
sayuran_buah_semusim,Kembang Kol,2019,0,ha
sayuran_buah_semusim,Kentang,2019,6075,ha
sayuran_buah_semusim,Ketimun,2019,47,ha
sayuran_buah_semusim,Kubis,2019,3006,ha
sayuran_buah_semusim,Labu Siam,2019,44,ha
sayuran_buah_semusim,Lobak,2019,0,ha
sayuran_buah_semusim,Petsai,2019,0,ha
sayuran_buah_semusim,Terung,2019,164,ha
sayuran_buah_semusim,Tomat,2019,334,ha
sayuran_buah_semusim,Wortel,2019,3672,ha
sayuran_buah_semusim,Sawi Putih,2019,337,ha
sayuran_buah_semusim,Blewah,2019,0,ha
sayuran_buah_semusim,Melon,2019,0,ha
sayuran_buah_semusim,Semangka,2019,0,ha
tanaman_hias,Agloenema,2019,0,m2
tanaman_hias,Anthurium Daun,2019,0,m2
tanaman_hias,Caladium,2019,0,m2
tanaman_hias,Pakis,2019,0,m2
tanaman_hias,Sansievera Pedang-Pedangan,2019,0,m2
tanaman_hias,Soka,2019,0,m2
tanaman_hias,Krisan,2019,0,m2
tanaman_hias,Mawar,2019,0,m2
tanaman_hias,Melati,2019,0,m2
tanaman_hias,Palem,2019,0,m2
tanaman_hias,Pisang-pisangan,2019,0,m2
tanaman_hias,Sedap Malam,2019,0,m2
biofarmaka,Dringo,2019,0,m2
biofarmaka,Jahe,2019,243935,m2
biofarmaka,Kapulaga,2019,46686,m2
biofarmaka,Kencur,2019,86155,m2
biofarmaka,Kunyit,2019,77051,m2
biofarmaka,Laos,2019,38204,m2
biofarmaka,Lempuyang,2019,1142,m2
biofarmaka,Lidah Buaya,2019,0,m2
biofarmaka,Mengkudu,2019,0,m2
biofarmaka,Temuireng,2019,1116,m2
biofarmaka,Temukunci,2019,0,m2
biofarmaka,Temulawak,2019,1915,m2
biofarmaka,Sambiloto,2019,2425,m2
sayuran_buah_semusim,Bawang Daun,2020,1235,ha
sayuran_buah_semusim,Bawang Merah,2020,28,ha
sayuran_buah_semusim,Bawang Putih,2020,165,ha
sayuran_buah_semusim,Bayam,2020,6,ha
sayuran_buah_semusim,Buncis,2020,351,ha
sayuran_buah_semusim,Cabai Besar,2020,1661,ha
sayuran_buah_semusim,Cabai Rawit,2020,2541,ha
sayuran_buah_semusim,Cabai,2020,0,ha
sayuran_buah_semusim,Jamur,2020,0,ha
sayuran_buah_semusim,Kacang Merah,2020,204,ha
sayuran_buah_semusim,Kacang Panjang,2020,167,ha
