Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Banjarmangu,sayuran,Bawang Merah,2017,0,ha
Banjarmangu,sayuran,Cabai Besar,2017,0,ha
Banjarmangu,sayuran,Kentang,2017,0,ha
Banjarmangu,sayuran,Kubis,2017,0,ha
Banjarmangu,sayuran,Petsai,2017,0,ha
Banjarmangu,sayuran,Tomat,2017,5,ha
Banjarmangu,sayuran,Bawang Putih,2017,0,ha
Banjarmangu,sayuran,Cabai Rawit,2017,0,ha
Banjarmangu,sayuran,Bawang Merah,2018,0,ha
Banjarmangu,sayuran,Cabai Besar,2018,7,ha
Banjarmangu,sayuran,Kentang,2018,0,ha
Banjarmangu,sayuran,Kubis,2018,0,ha
Banjarmangu,sayuran,Petsai,2018,0,ha
Banjarmangu,sayuran,Tomat,2018,2,ha
Banjarmangu,sayuran,Bawang Putih,2018,0,ha
Banjarmangu,sayuran,Cabai Rawit,2018,6,ha
Banjarmangu,sayuran,Bawang Merah,2019,0,ha
Banjarmangu,sayuran,Cabai Besar,2019,5,ha
Banjarmangu,sayuran,Kentang,2019,0,ha
Banjarmangu,sayuran,Kubis,2019,0,ha
Banjarmangu,sayuran,Petsai,2019,0,ha
Banjarmangu,sayuran,Tomat,2019,6,ha
Banjarmangu,sayuran,Bawang Putih,2019,0,ha
Banjarmangu,sayuran,Cabai Rawit,2019,5,ha
Banjarmangu,tanaman_hias,Agloenema,2019,0,m2
Banjarmangu,tanaman_hias,Krisan,2019,0,m2
Banjarmangu,tanaman_hias,Mawar,2019,0,m2
Banjarmangu,tanaman_hias,Soka,2019,0,m2
Banjarmangu,biofarmaka,Jahe,2019,9000,m2
Banjarmangu,biofarmaka,Laos,2019,0,m2
Banjarmangu,biofarmaka,Kencur,2019,0,m2
Banjarmangu,biofarmaka,Kunyit,2019,0,m2
Banjarmangu,sayuran,Bawang Merah,2020,0,ha
Banjarmangu,sayuran,Cabai Besar,2020,11,ha
Banjarmangu,sayuran,Kentang,2020,0,ha
Banjarmangu,sayuran,Kubis,2020,0,ha
Banjarmangu,sayuran,Petsai,2020,0,ha
Banjarmangu,sayuran,Tomat,2020,4,ha
Banjarmangu,sayuran,Bawang Putih,2020,0,ha
Banjarmangu,sayuran,Cabai Rawit,2020,4,ha
Banjarmangu,tanaman_hias,Agloenema,2020,0,m2
Banjarmangu,tanaman_hias,Krisan,2020,0,m2
Banjarmangu,tanaman_hias,Mawar,2020,0,m2
Banjarmangu,tanaman_hias,Soka,2020,0,m2
Banjarmangu,biofarmaka,Jahe,2020,0,m2
Banjarmangu,biofarmaka,Laos,2020,750,m2
Banjarmangu,biofarmaka,Kencur,2020,0,m2
Banjarmangu,biofarmaka,Kunyit,2020,0,m2
Banjarmangu,sayuran,Bawang Merah,2021,0,ha
Banjarmangu,sayuran,Cabai Besar,2021,0,ha
Banjarmangu,sayuran,Kentang,2021,0,ha
Banjarmangu,sayuran,Kubis,2021,0,ha
Banjarmangu,sayuran,Petsai,2021,0,ha
Banjarmangu,sayuran,Tomat,2021,0,ha
Banjarmangu,sayuran,Bawang Putih,2021,0,ha
Banjarmangu,sayuran,Cabai Rawit,2021,1,ha
Banjarmangu,tanaman_hias,Agloenema,2021,0,m2
Banjarmangu,tanaman_hias,Krisan,2021,0,m2
Banjarmangu,tanaman_hias,Mawar,2021,0,m2
Banjarmangu,tanaman_hias,Soka,2021,0,m2
Banjarmangu,biofarmaka,Jahe,2021,1500,m2
Banjarmangu,biofarmaka,Laos,2021,2600,m2
Banjarmangu,biofarmaka,Kencur,2021,0,m2
Banjarmangu,biofarmaka,Kunyit,2021,0,m2
Banjarmangu,sayuran,Bawang Merah,2022,0,ha
Banjarmangu,sayuran,Cabai Besar,2022,1,ha
Banjarmangu,sayuran,Kentang,2022,0,ha
Banjarmangu,sayuran,Kubis,2022,0,ha
Banjarmangu,sayuran,Petsai,2022,0,ha
Banjarmangu,sayuran,Tomat,2022,1,ha
Banjarmangu,sayuran,Bawang Putih,2022,0,ha
Banjarmangu,sayuran,Cabai Rawit,2022,1,ha
Banjarmangu,tanaman_hias,Agloenema,2022,0,m2
Banjarmangu,tanaman_hias,Krisan,2022,0,m2
Banjarmangu,tanaman_hias,Mawar,2022,0,m2
Banjarmangu,tanaman_hias,Soka,2022,0,m2
Banjarmangu,biofarmaka,Jahe,2022,0,m2
Banjarmangu,biofarmaka,Laos,2022,0,m2
Banjarmangu,biofarmaka,Kencur,2022,0,m2
Banjarmangu,biofarmaka,Kunyit,2022,300,m2
Banjarmangu,sayuran,Cabai Besar,2023,0,ha
Banjarmangu,sayuran,Kentang,2023,0,ha
Banjarmangu,sayuran,Tomat,2023,2,ha
Banjarmangu,sayuran,Bawang Putih,2023,0,ha
Banjarmangu,sayuran,Cabai Rawit,2023,2.5,ha
Banjarmangu,tanaman_hias,Agloenema,2023,0,m2
Banjarmangu,tanaman_hias,Krisan,2023,0,m2
