Kecamatan,Obyek,Arah (Masuk/Keluar),Tahun,Produksi (Kg)
Banjarmangu,Perairan Umum Sungai,total,2018,25618.52
Banjarmangu,Perairan Umum Sungai,sendiri,2018,0
Banjarmangu,Perairan Umum Sungai,lain_daerah,2018,0
Banjarmangu,Perairan Umum Waduk,total,2018,0
Banjarmangu,Perairan Umum Sungai,total,2019,28117.7
Banjarmangu,Perairan Umum Sungai,sendiri,2019,0
Banjarmangu,Perairan Umum Sungai,lain_daerah,2019,0
Banjarmangu,Perairan Umum Sungai,total,2020,31267
Banjarmangu,Perairan Umum Sungai,sendiri,2020,0
Banjarmangu,Perairan Umum Sungai,lain_daerah,2020,0
Banjarmangu,Perairan Umum Waduk,total,2020,0
Banjarmangu,Perairan Umum Sungai,total,2021,29488
Banjarmangu,Perairan Umum Sungai,sendiri,2021,0
Banjarmangu,Perairan Umum Sungai,lain_daerah,2021,0
Banjarmangu,Perairan Umum Waduk,total,2021,0
Banjarmangu,Perairan Umum Sungai,total,2022,17743
Banjarmangu,Perairan Umum Sungai,sendiri,2022,0
Banjarmangu,Perairan Umum Sungai,lain_daerah,2022,0
Banjarmangu,Perairan Umum Waduk,total,2022,0
Banjarmangu,Perairan Umum Sungai,total,2023,21507.8
Banjarmangu,Perairan Umum Sungai,sendiri,2023,0
Banjarmangu,Perairan Umum Sungai,lain_daerah,2023,0
Banjarmangu,Perairan Umum Waduk,total,2023,0
Banjarmangu,Perairan Umum Sungai,total,2024,0
Banjarmangu,Perairan Umum Sungai,sendiri,2024,0
Banjarmangu,Perairan Umum Sungai,lain_daerah,2024,0
Banjarmangu,Perairan Umum Waduk,total,2024,0
Banjarnegara,Perairan Umum Sungai,total,2018,30302.95
Banjarnegara,Perairan Umum Sungai,sendiri,2018,0
Banjarnegara,Perairan Umum Sungai,lain_daerah,2018,0
Banjarnegara,Perairan Umum Waduk,total,2018,0
Banjarnegara,Perairan Umum Sungai,total,2019,33259.1
Banjarnegara,Perairan Umum Sungai,sendiri,2019,0
Banjarnegara,Perairan Umum Sungai,lain_daerah,2019,0
Banjarnegara,Perairan Umum Sungai,total,2020,36987
Banjarnegara,Perairan Umum Sungai,sendiri,2020,0
Banjarnegara,Perairan Umum Sungai,lain_daerah,2020,0
Banjarnegara,Perairan Umum Waduk,total,2020,0
Banjarnegara,Perairan Umum Sungai,total,2021,34881
Banjarnegara,Perairan Umum Sungai,sendiri,2021,0
Banjarnegara,Perairan Umum Sungai,lain_daerah,2021,0
Banjarnegara,Perairan Umum Waduk,total,2021,0
Banjarnegara,Perairan Umum Sungai,total,2022,20988
Banjarnegara,Perairan Umum Sungai,sendiri,2022,0
Banjarnegara,Perairan Umum Sungai,lain_daerah,2022,0
Banjarnegara,Perairan Umum Waduk,total,2022,0
Banjarnegara,Perairan Umum Sungai,total,2023,25440.56
Banjarnegara,Perairan Umum Sungai,sendiri,2023,0
Banjarnegara,Perairan Umum Sungai,lain_daerah,2023,0
Banjarnegara,Perairan Umum Waduk,total,2023,0
Banjarnegara,Perairan Umum Sungai,total,2024,0
Banjarnegara,Perairan Umum Sungai,sendiri,2024,0
