Kecamatan,Tahun,Jenis,Luas Panen (Ha),Produksi (Ton),Rata-rata (Ku/Ha)
Banjarmangu,2018,sawah,1499,9186,61
Banjarmangu,2019,sawah,1590,9838,62
Banjarmangu,2020,sawah,1102,7769,70
Banjarmangu,2021,sawah,1235,7101,57
Banjarmangu,2022,sawah,1496,8929,60
Banjarmangu,2022,ladang,6,24,41
Banjarmangu,2023,sawah,972,5506,57
Banjarmangu,2024,sawah,1115,6678,60
Banjarnegara,2018,sawah,947,5753,61
Banjarnegara,2019,sawah,858,5292,62
Banjarnegara,2020,sawah,857,6170,72
Banjarnegara,2021,sawah,837,6026,72
Banjarnegara,2022,sawah,1023,6548,64
Banjarnegara,2023,sawah,886,5671,64
Banjarnegara,2024,sawah,697,4758,68
Bawang,2018,sawah,2107,13242,63
Bawang,2019,sawah,2229,14455,65
Bawang,2020,sawah,2016,15523,77
Bawang,2020,ladang,75,375,50
Bawang,2021,sawah,2542,17031,67
Bawang,2021,ladang,15,53,35
Bawang,2022,sawah,2083,13914,67
Bawang,2022,ladang,10,39,39
Bawang,2023,sawah,2009,13199,66
Bawang,2024,sawah,2202,14812,67
Bawang,2024,ladang,16,91,58
Kalibening,2018,sawah,1419,8028,57
Kalibening,2019,sawah,1288,7117,55
Kalibening,2020,sawah,1298,7788,60
Kalibening,2021,sawah,1403,7436,53
Kalibening,2022,sawah,1558,8607,55
Kalibening,2023,sawah,1602,10251,64
Kalibening,2024,sawah,1815,11498,63
Karangkobar,2018,sawah,891,4473,50
Karangkobar,2019,sawah,607,3414,56
Karangkobar,2020,sawah,494,3013,61
Karangkobar,2021,sawah,594,3623,61
Karangkobar,2022,sawah,331,1919,58
Karangkobar,2023,sawah,362,2044,56
Karangkobar,2024,sawah,668,4071,61
Madukara,2018,sawah,1067,6302,59
Madukara,2019,sawah,806,4941,61
Madukara,2020,sawah,1183,8636,73
Madukara,2021,sawah,1045,5539,53
Madukara,2022,sawah,1209,7858,65
Madukara,2023,sawah,398,2587,65
Madukara,2024,sawah,1016,6678,66
Mandiraja,2018,sawah,3170,21680,68
Mandiraja,2018,ladang,425,1398,33
Mandiraja,2019,sawah,3003,19976,67
Mandiraja,2019,ladang,399,1811,45
Mandiraja,2020,sawah,3186,25934,81
Mandiraja,2020,ladang,290,1450,50
Mandiraja,2021,sawah,3398,27660,81
Mandiraja,2021,ladang,200,700,35
Mandiraja,2022,sawah,3335,28238,85
Mandiraja,2022,ladang,50,202,40
Mandiraja,2023,sawah,2998,22920,76
Mandiraja,2024,sawah,3362,26543,79
Pagedongan,2018,sawah,325,1896,58
Pagedongan,2019,sawah,326,1958,60
Pagedongan,2020,sawah,295,2130,72
Pagedongan,2021,sawah,313,1941,62
Pagedongan,2022,sawah,275,1884,68
Pagedongan,2023,sawah,266,1696,64
Pagedongan,2024,sawah,340,2332,69
Pagentan,2018,sawah,822,4341,53
Pagentan,2019,sawah,535,3065,57
Pagentan,2020,sawah,493,2712,55
Pagentan,2021,sawah,484,2033,42
Pagentan,2022,sawah,582,2831,49
Pagentan,2023,sawah,424,2081,49
Pagentan,2024,sawah,730,3618,50
Pandanarum,2018,sawah,1029,5758,56
Pandanarum,2019,sawah,763,4254,56
Pandanarum,2020,sawah,948,4835,51
Pandanarum,2021,sawah,672,3427,51
Pandanarum,2022,sawah,1084,6070,56
Pandanarum,2023,sawah,833,4498,54
Pandanarum,2024,sawah,1451,8398,58
Pejawaran,2018,sawah,212,955,45
Pejawaran,2019,sawah,227,1203,53
Pejawaran,2020,sawah,219,1007,46
Pejawaran,2021,sawah,191,821,43
Pejawaran,2022,sawah,177,885,50
Pejawaran,2023,sawah,151,848,56
Pejawaran,2024,sawah,184,1045,57
Punggelan,2018,sawah,1590,8904,56
Punggelan,2018,ladang,1
Punggelan,2019,sawah,1590,9301,59
Punggelan,2020,sawah,1666,10662,64
Punggelan,2021,sawah,1726,10304,60
Punggelan,2022,sawah,1989,13724,69
Punggelan,2023,sawah,1606,9994,62
Punggelan,2024,sawah,1861,12678,68
Purwanegara,2018,sawah,2586,17033,66
Purwanegara,2018,ladang,5,17,34
Purwanegara,2019,sawah,2568,17089,67
Purwanegara,2019,ladang,124,539,43
Purwanegara,2020,sawah,2605,20580,79
Purwanegara,2020,ladang,130,650,50
Purwanegara,2021,sawah,2542,20082,79
Purwanegara,2021,ladang,157,628,40
Purwanegara,2022,sawah,2430,19342,80
Purwanegara,2022,ladang,25,102,41
Purwanegara,2023,sawah,2717,21112,78
Purwanegara,2024,sawah,2366,18452,78
Purwareja Klampok,2018,sawah,1502,9369,62
Purwareja Klampok,2018,ladang,15,47,32
Purwareja Klampok,2019,sawah,1469,9237,63
Purwareja Klampok,2019,ladang,12,50,40
Purwareja Klampok,2020,sawah,1543,11187,73
Purwareja Klampok,2020,ladang,35,175,50
Purwareja Klampok,2021,sawah,1559,11303,73
Purwareja Klampok,2021,ladang,50,225,45
Purwareja Klampok,2022,sawah,1548,10681,69
Purwareja Klampok,2022,ladang,10,41,41
Purwareja Klampok,2023,sawah,1528,10338,68
Purwareja Klampok,2023,ladang,10,41,41
Purwareja Klampok,2024,sawah,1568,11426,73
Rakit,2018,sawah,1464,9015,62
Rakit,2019,sawah,1469,9050,62
Rakit,2020,sawah,1628,10761,66
Rakit,2021,sawah,1578,10431,66
Rakit,2021,ladang,35,123,35
Rakit,2022,sawah,1561,10787,69
Rakit,2022,ladang,50,203,41
Rakit,2023,sawah,1073,7532,70
Rakit,2024,sawah,1528,10828,71
Rakit,2024,ladang,2,9,53
Sigaluh,2018,sawah,376,2245,60
Sigaluh,2019,sawah,303,1871,62
Sigaluh,2020,sawah,307,2395,78
Sigaluh,2021,sawah,347,2707,78
Sigaluh,2022,sawah,311,2327,75
Sigaluh,2023,sawah,305,2215,73
Sigaluh,2024,sawah,364,2716,75
Susukan,2018,sawah,2165,12971,60
Susukan,2018,ladang,100,323,32
Susukan,2019,sawah,2127,13530,64
