Kecamatan,Tahun,Komoditas,Luas Panen (Ha),Produksi (Ton),Rata-rata (Ku/Ha)
Banjarmangu,2018,Jagung,101,439,43
Banjarmangu,2018,Ubi Kayu,18,364,202
Banjarmangu,2019,Ubi Kayu,18,396,220
Banjarmangu,2020,Ubi Kayu,36,3132,870
Banjarmangu,2021,Ubi Kayu,17,247,145
Banjarmangu,2022,Jagung,20,105,53
Banjarmangu,2022,Ubi Kayu,5,105,210
Banjarmangu,2023,Jagung,14,75,53
Banjarmangu,2023,Ubi Kayu,20,407,204
Banjarmangu,2024,Jagung,34,191,56
Banjarmangu,2024,Ubi Kayu,3,64,212
Banjarnegara,2018,Jagung,96,570,59
Banjarnegara,2018,Ubi Kayu,10,226,226
Banjarnegara,2018,Kacang Tanah,41,46,11
Banjarnegara,2019,Jagung,94,588,62
Banjarnegara,2019,Ubi Kayu,26,643,252
Banjarnegara,2019,Kacang Tanah,73,83,11
Banjarnegara,2019,Ubi Jalar,11,336,295
Banjarnegara,2020,Jagung,86,645,75
Banjarnegara,2020,Ubi Kayu,20,580,290
Banjarnegara,2020,Kacang Tanah,32,118,37
Banjarnegara,2021,Jagung,101,758,75
Banjarnegara,2021,Ubi Kayu,10,220,220
Banjarnegara,2021,Kacang Tanah,87,139,16
Banjarnegara,2021,Ubi Jalar,27,760,281
Banjarnegara,2022,Jagung,155,1163,75
Banjarnegara,2022,Ubi Kayu,13,286,220
Banjarnegara,2022,Kacang Tanah,32,78,24
Banjarnegara,2022,Ubi Jalar,27,758,281
Banjarnegara,2023,Jagung,96,715,74
Banjarnegara,2023,Ubi Kayu,19,434,228
Banjarnegara,2023,Kacang Tanah,27,63,23
Banjarnegara,2023,Ubi Jalar,18,504,280
Banjarnegara,2024,Jagung,89,661,74
Banjarnegara,2024,Ubi Kayu,21,495,236
Banjarnegara,2024,Kacang Tanah,20,48,25
Banjarnegara,2024,Ubi Jalar,15,409,282
Batur,2018,Jagung,48,,38
Batur,2019,Jagung,49,185,38
Batur,2020,Jagung,57,222,39
Batur,2021,Jagung,45,140,31
Batur,2022,Jagung,43,170,39
Batur,2023,Jagung,53,209,39
Batur,2024,Jagung,48,193,40
Batur,2024,Ubi Kayu,5,55,110
Bawang,2018,Jagung,1349,9667,72
Bawang,2018,Ubi Kayu,684,15896,232
Bawang,2018,Kacang Tanah,82,97,12
Bawang,2018,Kedelai,159,180,11
Bawang,2019,Jagung,1471,9343,64
Bawang,2019,Ubi Kayu,761,21689,285
Bawang,2019,Kacang Tanah,5,6,12
Bawang,2019,Kedelai,122,138,11
Bawang,2020,Jagung,1595,13877,87
Bawang,2020,Ubi Kayu,766,21448,280
Bawang,2020,Kacang Tanah,83,324,39
Bawang,2020,Kedelai,21,29,14
Bawang,2020,Ubi Jalar,37,1036,280
Bawang,2021,Jagung,1289,10570,82
Bawang,2021,Ubi Kayu,655,18995,290
Bawang,2021,Kacang Tanah,47,89,19
Bawang,2021,Kedelai,7,8,12
Bawang,2021,Ubi Jalar,8,223,279
Bawang,2022,Jagung,855,5395,63
Bawang,2022,Ubi Kayu,685,17858,261
Bawang,2022,Kacang Tanah,74,170,23
Bawang,2022,Kedelai,3,4,13
Bawang,2022,Ubi Jalar,7,196,279
Bawang,2022,Kacang Hijau,2,2,9
Bawang,2023,Jagung,1232,7861,64
Bawang,2023,Ubi Kayu,733,19698,269
Bawang,2023,Kacang Tanah,113,252,22
Bawang,2023,Kedelai,13,19,14
Bawang,2024,Jagung,1608,10686,66
Bawang,2024,Ubi Kayu,509,14015,275
Bawang,2024,Kacang Tanah,70,173,25
Bawang,2024,Kedelai,3,4,13
Kalibening,2018,Jagung,1068,5948,56
Kalibening,2018,Ubi Kayu,4,75,188
Kalibening,2018,Kedelai,626,863,14
Kalibening,2018,Ubi Jalar,6,113,188
Kalibening,2019,Jagung,1073,5973,56
Kalibening,2019,Kedelai,179,205,11
Kalibening,2019,Ubi Jalar,3,56,188
Kalibening,2020,Jagung,635,3461,55
Kalibening,2020,Ubi Kayu,10,155,155
Kalibening,2020,Ubi Jalar,9,252,280
Kalibening,2021,Jagung,472,1558,33
Kalibening,2021,Ubi Jalar,9,254,282
Kalibening,2022,Jagung,475,2030,43
Kalibening,2022,Ubi Kayu,2,25,125
Kalibening,2022,Ubi Jalar,7,183,282
Kalibening,2023,Jagung,1243,5226,42
Kalibening,2023,Ubi Kayu,75,1800,240
Kalibening,2023,Kacang Tanah,2,4,21
Kalibening,2023,Ubi Jalar,28,762,272
Kalibening,2024,Jagung,437,1897,43
Kalibening,2024,Ubi Kayu,89,2146,241
Kalibening,2024,Ubi Jalar,27,764,283
Karangkobar,2018,Jagung,288,1278,44
