Jenis,Tahun,Jumlah Unit
Umum,2016,20
Hewan,2016,3
Buah,2016,1
Ikan,2016,1
Umum,2017,20
Hewan,2017,2
Buah,2017,1
Ikan,2017,0
Umum,2018,20
Hewan,2018,2
Buah,2018,1
Ikan,2018,0
Umum,2019,21
Hewan,2019,3
Buah,2019,1
Ikan,2019,0
Umum,2020,21
Hewan,2020,3
Buah,2020,1
Ikan,2020,0
Umum,2021,21
Hewan,2021,3
Buah,2021,1
Ikan,2021,0
Umum,2022,21
Hewan,2022,3
Buah,2022,1
Ikan,2022,0
Umum,2023,21
Hewan,2023,3
Buah,2023,1
Ikan,2023,0
Umum,2024,21
Hewan,2024,3
Buah,2024,1
Ikan,2024,0
Umum,2025,21
Hewan,2025,3
Buah,2025,1
Ikan,2025,0
