Kecamatan,Lokasi (RPH),Jenis,Tahun,Jumlah (Ekor)
Banjarmangu,luar_rph,Sapi,2018,280
Banjarmangu,luar_rph,Kerbau,2018,0
Banjarmangu,luar_rph,Babi,2018,0
Banjarmangu,luar_rph,Kambing,2018,126
Banjarmangu,luar_rph,Domba,2018,1
Banjarmangu,luar_rph,Sapi,2020,307
Banjarmangu,luar_rph,Kerbau,2020,0
Banjarmangu,luar_rph,Babi,2020,0
Banjarmangu,luar_rph,Kambing,2020,637
Banjarmangu,luar_rph,Domba,2020,17
Banjarmangu,luar_rph,Sapi,2021,368
Banjarmangu,luar_rph,Kerbau,2021,0
Banjarmangu,luar_rph,Babi,2021,0
Banjarmangu,luar_rph,Kambing,2021,177
Banjarmangu,luar_rph,Domba,2021,0
Banjarmangu,luar_rph,Sapi,2023,341
Banjarmangu,luar_rph,Kerbau,2023,1
Banjarmangu,luar_rph,Babi,2023,0
Banjarmangu,luar_rph,Kambing,2023,149
Banjarmangu,luar_rph,Domba,2023,12
Banjarmangu,luar_rph,Sapi,2024,328
Banjarmangu,luar_rph,Kerbau,2024,0
Banjarmangu,luar_rph,Babi,2024,0
Banjarmangu,luar_rph,Kambing,2024,188
Banjarmangu,luar_rph,Domba,2024,66
Banjarnegara,rph_pemerintah,Sapi,2018,3231
Banjarnegara,rph_pemerintah,Kambing,2018,0
Banjarnegara,rph_pemerintah,Domba,2018,0
Banjarnegara,luar_rph,Sapi,2018,333
Banjarnegara,luar_rph,Kerbau,2018,0
Banjarnegara,luar_rph,Babi,2018,0
Banjarnegara,luar_rph,Kambing,2018,177
Banjarnegara,luar_rph,Domba,2018,125
Banjarnegara,rph_pemerintah,Sapi,2019,2928
Banjarnegara,rph_pemerintah,Kambing,2019,0
Banjarnegara,rph_pemerintah,Domba,2019,0
Banjarnegara,rph_pemerintah,Sapi,2020,2810
Banjarnegara,rph_pemerintah,Kerbau,2020,0
Banjarnegara,rph_pemerintah,Kuda,2020,0
Banjarnegara,rph_pemerintah,Babi,2020,0
Banjarnegara,rph_pemerintah,Kambing,2020,0
Banjarnegara,rph_pemerintah,Domba,2020,0
Banjarnegara,luar_rph,Sapi,2020,364
Banjarnegara,luar_rph,Kerbau,2020,0
Banjarnegara,luar_rph,Babi,2020,0
Banjarnegara,luar_rph,Kambing,2020,415
Banjarnegara,luar_rph,Domba,2020,61
Banjarnegara,rph_pemerintah,Sapi,2021,2944
Banjarnegara,rph_pemerintah,Kerbau,2021,0
Banjarnegara,rph_pemerintah,Kuda,2021,0
Banjarnegara,rph_pemerintah,Babi,2021,0
Banjarnegara,rph_pemerintah,Kambing,2021,0
Banjarnegara,rph_pemerintah,Domba,2021,0
Banjarnegara,luar_rph,Sapi,2021,467
Banjarnegara,luar_rph,Kerbau,2021,0
Banjarnegara,luar_rph,Babi,2021,0
Banjarnegara,luar_rph,Kambing,2021,268
Banjarnegara,luar_rph,Domba,2021,36
Banjarnegara,rph_pemerintah,Sapi,2022,3144
Banjarnegara,rph_pemerintah,Kerbau,2022,0
Banjarnegara,rph_pemerintah,Kuda,2022,0
Banjarnegara,rph_pemerintah,Babi,2022,0
Banjarnegara,rph_pemerintah,Kambing,2022,0
Banjarnegara,rph_pemerintah,Domba,2022,0
Banjarnegara,rph_pemerintah,Sapi,2023,3097
Banjarnegara,rph_pemerintah,Kerbau,2023,0
Banjarnegara,rph_pemerintah,Kuda,2023,0
Banjarnegara,rph_pemerintah,Babi,2023,0
Banjarnegara,rph_pemerintah,Kambing,2023,0
Banjarnegara,rph_pemerintah,Domba,2023,0
Banjarnegara,luar_rph,Sapi,2023,355
Banjarnegara,luar_rph,Kerbau,2023,0
Banjarnegara,luar_rph,Babi,2023,0
Banjarnegara,luar_rph,Kambing,2023,187
Banjarnegara,luar_rph,Domba,2023,43
Banjarnegara,rph_pemerintah,Sapi,2024,2922
Banjarnegara,rph_pemerintah,Kerbau,2024,0
Banjarnegara,rph_pemerintah,Kuda,2024,0
Banjarnegara,rph_pemerintah,Babi,2024,0
Banjarnegara,rph_pemerintah,Kambing,2024,0
Banjarnegara,rph_pemerintah,Domba,2024,0
Banjarnegara,luar_rph,Sapi,2024,410
Banjarnegara,luar_rph,Kerbau,2024,0
Banjarnegara,luar_rph,Babi,2024,0
Banjarnegara,luar_rph,Kambing,2024,496
Banjarnegara,luar_rph,Domba,2024,185
Batur,luar_rph,Sapi,2018,408
Batur,luar_rph,Kerbau,2018,0
Batur,luar_rph,Babi,2018,0
Batur,luar_rph,Kambing,2018,0
Batur,luar_rph,Domba,2018,463
Batur,luar_rph,Sapi,2020,449
Batur,luar_rph,Kerbau,2020,0
Batur,luar_rph,Babi,2020,0
Batur,luar_rph,Kambing,2020,0
Batur,luar_rph,Domba,2020,511
Batur,luar_rph,Sapi,2021,498
Batur,luar_rph,Kerbau,2021,0
Batur,luar_rph,Babi,2021,0
Batur,luar_rph,Kambing,2021,0
Batur,luar_rph,Domba,2021,425
Batur,luar_rph,Sapi,2023,500
Batur,luar_rph,Kerbau,2023,0
Batur,luar_rph,Babi,2023,0
Batur,luar_rph,Kambing,2023,0
Batur,luar_rph,Domba,2023,537
Batur,luar_rph,Sapi,2024,502
Batur,luar_rph,Kerbau,2024,0
Batur,luar_rph,Babi,2024,0
Batur,luar_rph,Kambing,2024,0
Batur,luar_rph,Domba,2024,663
Bawang,luar_rph,Sapi,2018,268
Bawang,luar_rph,Kerbau,2018,0
Bawang,luar_rph,Babi,2018,0
Bawang,luar_rph,Kambing,2018,205
Bawang,luar_rph,Domba,2018,172
Bawang,luar_rph,Sapi,2020,297
Bawang,luar_rph,Kerbau,2020,0
Bawang,luar_rph,Babi,2020,0
Bawang,luar_rph,Kambing,2020,393
Bawang,luar_rph,Domba,2020,52
Bawang,luar_rph,Sapi,2021,347
Bawang,luar_rph,Kerbau,2021,0
Bawang,luar_rph,Babi,2021,0
Bawang,luar_rph,Kambing,2021,354
Bawang,luar_rph,Domba,2021,66
Bawang,luar_rph,Sapi,2023,363
Bawang,luar_rph,Kerbau,2023,0
Bawang,luar_rph,Babi,2023,0
Bawang,luar_rph,Kambing,2023,146
Bawang,luar_rph,Domba,2023,216
Bawang,luar_rph,Sapi,2024,350
Bawang,luar_rph,Kerbau,2024,0
Bawang,luar_rph,Babi,2024,0
Bawang,luar_rph,Kambing,2024,381
Bawang,luar_rph,Domba,2024,153
Kalibening,luar_rph,Sapi,2018,243
Kalibening,luar_rph,Kerbau,2018,0
Kalibening,luar_rph,Babi,2018,0
Kalibening,luar_rph,Kambing,2018,308
Kalibening,luar_rph,Domba,2018,377
