Kategori,Tahun,Luas (Ha)
I. Lahan sawah,2014,14807
a. Lahan irigasi,2014,10966
b. Lahan tadah hujan,2014,3565
c. Lahan pasang surut,2014,276
II. Bukan lahan sawah,2014,71954
a. Tegal/kebun,2014,46034
b. Perkebunan,2014,2317
c. Hutan rakyat,2014,7175
d. lainnya,2014,16368
e. Lahan yang tidak diusahakan,2014,60
III. Lahan bukan pertanian lainnya,2014,20210
I. Lahan sawah,2015,14807
a. Lahan irigasi,2015,10966
b. Lahan tadah hujan,2015,3565
c. Lahan pasang surut,2015,276
II. Bukan lahan sawah,2015,71954
a. Tegal/kebun,2015,46034
b. Perkebunan,2015,2317
c. Hutan rakyat,2015,7175
d. lainnya,2015,16368
e. Lahan yang tidak diusahakan,2015,60
III. Lahan bukan pertanian lainnya,2015,20210
I. Lahan sawah,2016,14807
a. Lahan irigasi,2016,10966
b. Lahan tadah hujan,2016,3565
c. Lahan pasang surut,2016,276
II. Bukan lahan sawah,2016,71954
a. Tegal/kebun,2016,46034
b. Perkebunan,2016,2317
c. Hutan rakyat,2016,7175
d. lainnya,2016,16368
e. Lahan yang tidak diusahakan,2016,60
III. Lahan bukan pertanian lainnya,2016,20210
I. Lahan sawah,2017,14127.8
a. Lahan irigasi,2017,11134.9
b. Lahan tadah hujan,2017,2939.2
c. Lahan pasang surut,2017,53.7
II. Bukan lahan sawah,2017,73765.2
a. Tegal/kebun,2017,44538.4
b. Perkebunan,2017,3193.7
c. Hutan rakyat,2017,7400.8
d. lainnya,2017,18621.3
e. Lahan yang tidak diusahakan,2017,11
III. Lahan bukan pertanian lainnya,2017,19078.7
I. Lahan sawah,2018,14127.8
a. Lahan irigasi,2018,11134.9
b. Lahan tadah hujan,2018,2939.2
c. Lahan pasang surut,2018,53.7
II. Bukan lahan sawah,2018,73765.2
a. Tegal/kebun,2018,44538.4
b. Perkebunan,2018,3193.7
c. Hutan rakyat,2018,7400.8
d. lainnya,2018,18621.3
e. Lahan yang tidak diusahakan,2018,11
III. Lahan bukan pertanian lainnya,2018,19078.7
I. Lahan sawah,2019,14054.1
a. Lahan irigasi,2019,11046.1
b. Lahan tadah hujan,2019,2942.3
c. Lahan pasang surut,2019,65.7
II. Bukan lahan sawah,2019,74507.8
a. Tegal/kebun,2019,45899.2
b. Perkebunan,2019,2798.9
c. Hutan rakyat,2019,6609.6
d. lainnya,2019,19189.1
e. Lahan yang tidak diusahakan,2019,11
III. Lahan bukan pertanian lainnya,2019,18409.8
I. Lahan sawah,2020,14049.07
a. Lahan irigasi,2020,11101.11
b. Lahan tadah hujan,2020,2882.76
c. Lahan pasang surut,2020,65.2
II. Bukan lahan sawah,2020,72140.12
a. Tegal/kebun,2020,42820.13
b. Perkebunan,2020,3088.92
c. Hutan rakyat,2020,7362.85
d. lainnya,2020,18857.22
e. Lahan yang tidak diusahakan,2020,11
III. Lahan bukan pertanian lainnya,2020,20782.51
I. Lahan sawah,2021,13291.58
a. Lahan irigasi,2021,10981.69
b. Lahan tadah hujan,2021,2244.69
c. Lahan pasang surut,2021,65.2
II. Bukan lahan sawah,2021,75615.92
a. Tegal/kebun,2021,46296.13
b. Perkebunan,2021,3088.92
c. Hutan rakyat,2021,7362.85
d. lainnya,2021,18857.02
e. Lahan yang tidak diusahakan,2021,11
III. Lahan bukan pertanian lainnya,2021,18064.2
I. Lahan sawah,2022,12939.63
a. Lahan irigasi,2022,10639.07
b. Lahan tadah hujan,2022,2238.87
c. Lahan pasang surut,2022,61.7
II. Bukan lahan sawah,2022,74520.92
a. Tegal/kebun,2022,46175.03
b. Perkebunan,2022,3088.92
c. Hutan rakyat,2022,6066.55
d. lainnya,2022,19179.42
e. Lahan yang tidak diusahakan,2022,11
III. Lahan bukan pertanian lainnya,2022,19511.15
I. Lahan sawah,2023,12645.53
a. Lahan irigasi,2023,10502.89
b. Lahan tadah hujan,2023,2088.94
c. Lahan pasang surut,2023,53.7
II. Bukan lahan sawah,2023,71702.63
a. Tegal/kebun,2023,43144.89
b. Perkebunan,2023,3083.42
c. Hutan rakyat,2023,6062.25
d. lainnya,2023,19401.07
e. Lahan yang tidak diusahakan,2023,11
III. Lahan bukan pertanian lainnya,2023,22623.54
I. Lahan sawah,2024,12057.34
a. Lahan irigasi,2024,9912.34
b. Lahan tadah hujan,2024,2091.3
c. Lahan pasang surut,2024,53.7
II. Bukan lahan sawah,2024,75466.38
a. Tegal/kebun,2024,45800.23
b. Perkebunan,2024,2601.29
c. Hutan rakyat,2024,6502.92
d. lainnya,2024,19914.54
e. Lahan yang tidak diusahakan,2024,647.4
III. Lahan bukan pertanian lainnya,2024,19447.98
