Tanaman,Tahun,Produksi (Ton)
Kelapa Sawit,2017,0
Karet,2017,8.88
Kopi Robusta,2017,0
Kakao,2017,0
Tebu,2017,3090.77
Teh,2017,2074.85
Tembakau,2017,177.57
Kelapa Sawit,2018,0
Karet,2018,0.46
Kopi Robusta,2018,988.1
Kakao,2018,32.27
Tebu,2018,2131.27
Teh,2018,2074.85
Tembakau,2018,126
Kelapa Dalam,2018,10476.48
Kelapa Sawit,2019,0
Karet,2019,0.63
Kopi Robusta,2019,999.85
Kakao,2019,25.15
Tebu,2019,53.25
Teh,2019,2546.87
Tembakau,2019,201.3
Kelapa Dalam,2019,11184.2
Kelapa Sawit,2020,0
Karet,2020,0.61
Kopi Robusta,2020,1675.5
Kakao,2020,24.2
Tebu,2020,0.45
Teh,2020,2614.04
Tembakau,2020,293.9
Kelapa Dalam,2020,12135.64
Kelapa Sawit,2021,0
Karet,2021,0.66
Kopi Robusta,2021,1485.39
Kakao,2021,22.87
Tebu,2021,0.43
Teh,2021,2630.23
Tembakau,2021,269.03
Kelapa Dalam,2021,13195.58
