Kecamatan,Tanaman,Tahun,Produksi (Ton)
Banjarmangu,Kelapa Sawit,2017,0
Banjarmangu,Karet,2017,0
Banjarmangu,Tebu,2017,0
Banjarmangu,Teh,2017,0
Banjarmangu,Tembakau,2017,0
Banjarmangu,Kelapa Sawit,2018,0
Banjarmangu,Kelapa Dalam,2018,1345.38
Banjarmangu,Karet,2018,0
Banjarmangu,Kopi Robusta,2018,23.62
Banjarmangu,Kakao,2018,0.7
Banjarmangu,Tebu,2018,0
Banjarmangu,Teh,2018,0
Banjarmangu,Tembakau,2018,0
Banjarmangu,Kelapa Sawit,2019,0
Banjarmangu,Kelapa Dalam,2019,1468.31
Banjarmangu,Karet,2019,0
Banjarmangu,Kopi Robusta,2019,27.33
Banjarmangu,Kakao,2019,0
Banjarmangu,Tebu,2019,0
Banjarmangu,Teh,2019,0
Banjarmangu,Tembakau,2019,0
Banjarmangu,Kelapa Sawit,2020,0
Banjarmangu,Kelapa Dalam,2020,1576.53
Banjarmangu,Karet,2020,0
Banjarmangu,Kopi Robusta,2020,63.26
Banjarmangu,Kakao,2020,0
Banjarmangu,Tebu,2020,0
Banjarmangu,Teh,2020,0
Banjarmangu,Tembakau,2020,0
Banjarmangu,Kelapa Sawit,2021,0
Banjarmangu,Kelapa Dalam,2021,1576.53
Banjarmangu,Karet,2021,0
Banjarmangu,Kopi Robusta,2021,65.16
Banjarmangu,Kakao,2021,0
Banjarmangu,Tebu,2021,0
Banjarmangu,Teh,2021,0
Banjarmangu,Tembakau,2021,0
Banjarmangu,Kelapa Sawit,2022,0
Banjarmangu,Kelapa Dalam,2022,1671.96
Banjarmangu,Karet,2022,0
Banjarmangu,Kopi Robusta,2022,89.55
Banjarmangu,Kakao,2022,0.57
Banjarmangu,Tebu,2022,0
Banjarmangu,Teh,2022,0
Banjarmangu,Tembakau,2022,0
Banjarmangu,Kelapa Sawit,2023,0
Banjarmangu,Kelapa Dalam,2023,358.13
Banjarmangu,Karet,2023,0
Banjarmangu,Kopi Robusta,2023,39.83
Banjarmangu,Kakao,2023,0.57
Banjarmangu,Tebu,2023,0
Banjarmangu,Teh,2023,0
Banjarmangu,Tembakau,2023,0
Banjarmangu,Kelapa Sawit,2024,0
Banjarmangu,Kelapa Dalam,2024,769.99
Banjarmangu,Karet,2024,0
Banjarmangu,Kopi Robusta,2024,83.94
Banjarmangu,Kakao,2024,4.02
Banjarmangu,Tebu,2024,0
Banjarmangu,Teh,2024,0
Banjarmangu,Tembakau,2024,0
Banjarnegara,Kelapa Sawit,2017,0
Banjarnegara,Karet,2017,0
Banjarnegara,Tebu,2017,0
Banjarnegara,Teh,2017,0
Banjarnegara,Tembakau,2017,0
Banjarnegara,Kelapa Sawit,2018,0
Banjarnegara,Kelapa Dalam,2018,388.65
Banjarnegara,Karet,2018,0
Banjarnegara,Kopi Robusta,2018,63.42
Banjarnegara,Kakao,2018,2.05
Banjarnegara,Tebu,2018,0
Banjarnegara,Teh,2018,0
Banjarnegara,Tembakau,2018,0
Banjarnegara,Kelapa Sawit,2019,0
Banjarnegara,Kelapa Dalam,2019,392.19
