Kecamatan,Kelompok,Jenis,Tahun,Jumlah (Ekor)
Banjarmangu,besar,Sapi Perah,2018,0
Banjarmangu,besar,Sapi,2018,242
Banjarmangu,besar,Kerbau,2018,114
Banjarmangu,besar,Kuda,2018,0
Banjarmangu,kecil,Kambing,2018,19357
Banjarmangu,kecil,Domba,2018,683
Banjarmangu,kecil,Babi,2018,0
Banjarmangu,kecil,Kelinci,2018,1068
Banjarmangu,unggas,Ayam Kampung,2018,20624
Banjarmangu,unggas,Ayam Ras Layer,2018,5500
Banjarmangu,unggas,Ayam Broiler,2018,329000
Banjarmangu,unggas,Itik Biasa,2018,510
Banjarmangu,unggas,Itik Manila,2018,818
Banjarmangu,besar,Sapi,2019,223
Banjarmangu,besar,Kerbau,2019,85
Banjarmangu,kecil,Kambing,2019,17735
Banjarmangu,kecil,Domba,2019,526
Banjarmangu,kecil,Kelinci,2019,943
Banjarmangu,unggas,Ayam Kampung,2019,22088
Banjarmangu,unggas,Ayam Ras Layer,2019,3500
Banjarmangu,unggas,Ayam Broiler,2019,80800
Banjarmangu,unggas,Itik Biasa,2019,550
Banjarmangu,unggas,Itik Manila,2019,1128
Banjarmangu,besar,Sapi Perah,2020,0
Banjarmangu,besar,Sapi,2020,246
Banjarmangu,besar,Kerbau,2020,99
Banjarmangu,besar,Kuda,2020,0
Banjarmangu,kecil,Kambing,2020,17245
Banjarmangu,kecil,Domba,2020,583
Banjarmangu,kecil,Babi,2020,0
Banjarmangu,kecil,Kelinci,2020,1041
Banjarmangu,unggas,Ayam Kampung,2020,25577
Banjarmangu,unggas,Ayam Ras Layer,2020,5500
Banjarmangu,unggas,Ayam Broiler,2020,70000
Banjarmangu,unggas,Itik Biasa,2020,675
Banjarmangu,unggas,Itik Manila,2020,1024
Banjarmangu,besar,Sapi Perah,2021,0
Banjarmangu,besar,Sapi,2021,262
Banjarmangu,besar,Kerbau,2021,99
Banjarmangu,besar,Kuda,2021,0
Banjarmangu,kecil,Kambing,2021,18304
Banjarmangu,kecil,Domba,2021,597.59
Banjarmangu,kecil,Babi,2021,0
Banjarmangu,kecil,Kelinci,2021,1049
Banjarmangu,unggas,Ayam Kampung,2021,28114
Banjarmangu,unggas,Ayam Ras Layer,2021,5530
Banjarmangu,unggas,Ayam Broiler,2021,310200
Banjarmangu,unggas,Itik Biasa,2021,684
Banjarmangu,unggas,Itik Manila,2021,1025
Banjarmangu,besar,Sapi Perah,2022,0
Banjarmangu,besar,Sapi,2022,235
Banjarmangu,besar,Kerbau,2022,97
Banjarmangu,besar,Kuda,2022,0
Banjarmangu,kecil,Kambing,2022,18397
Banjarmangu,kecil,Domba,2022,620
