Kelompok,Komoditas,Tahun,Nilai,Satuan
sayuran_buah_semusim,Bawang Daun,2016,9340.1,ton
sayuran_buah_semusim,Bawang Merah,2016,0,ton
sayuran_buah_semusim,Bawang Putih,2016,0,ton
sayuran_buah_semusim,Bayam,2016,38.5,ton
sayuran_buah_semusim,Buncis,2016,3288.5,ton
sayuran_buah_semusim,Cabai Besar,2016,12424.8,ton
sayuran_buah_semusim,Cabai Rawit,2016,9019,ton
sayuran_buah_semusim,Cabai,2016,0,ton
sayuran_buah_semusim,Jamur,2016,0,ton
sayuran_buah_semusim,Kacang Merah,2016,0,ton
sayuran_buah_semusim,Kacang Panjang,2016,740.5,ton
sayuran_buah_semusim,Kangkung,2016,433.3,ton
sayuran_buah_semusim,Kembang Kol,2016,0,ton
sayuran_buah_semusim,Kentang,2016,97466.7,ton
sayuran_buah_semusim,Ketimun,2016,146.4,ton
sayuran_buah_semusim,Kubis,2016,79454.5,ton
sayuran_buah_semusim,Labu Siam,2016,0,ton
sayuran_buah_semusim,Lobak,2016,0,ton
sayuran_buah_semusim,Petsai,2016,0,ton
sayuran_buah_semusim,Terung,2016,0,ton
sayuran_buah_semusim,Tomat,2016,3303.2,ton
sayuran_buah_semusim,Wortel,2016,48897.9,ton
sayuran_buah_semusim,Sawi,2016,2746.6,ton
sayuran_buah_semusim,Blewah,2016,0,ton
sayuran_buah_semusim,Melon,2016,0,ton
sayuran_buah_semusim,Semangka,2016,0,ton
biofarmaka,Dringo,2016,0,tangkai
biofarmaka,Jahe,2016,0,tangkai
biofarmaka,Kapulaga,2016,461.8,tangkai
biofarmaka,Kencur,2016,0,tangkai
biofarmaka,Kunyit,2016,0,tangkai
biofarmaka,Laos,2016,0,tangkai
biofarmaka,Lempuyang,2016,0,tangkai
biofarmaka,Lidah Buaya,2016,0,tangkai
biofarmaka,Mengkudu,2016,0,tangkai
biofarmaka,Temuireng,2016,0,tangkai
biofarmaka,Temukunci,2016,0,tangkai
biofarmaka,Temulawak,2016,0,tangkai
biofarmaka,Sambiloto,2016,0,tangkai
sayuran_buah_semusim,Bawang Daun,2018,0,ton
sayuran_buah_semusim,Bawang Merah,2018,64.4,ton
sayuran_buah_semusim,Bawang Putih,2018,0,ton
sayuran_buah_semusim,Bayam,2018,94.8,ton
sayuran_buah_semusim,Buncis,2018,6973.9,ton
sayuran_buah_semusim,Cabai Besar,2018,15092.4,ton
sayuran_buah_semusim,Cabai Rawit,2018,9770.9,ton
sayuran_buah_semusim,Cabai,2018,0,ton
sayuran_buah_semusim,Jamur,2018,10395.9,ton
sayuran_buah_semusim,Kacang Merah,2018,308,ton
sayuran_buah_semusim,Kacang Panjang,2018,11964.5,ton
sayuran_buah_semusim,Kangkung,2018,667.1,ton
sayuran_buah_semusim,Kembang Kol,2018,0,ton
sayuran_buah_semusim,Kentang,2018,120096.8,ton
sayuran_buah_semusim,Ketimun,2018,352,ton
sayuran_buah_semusim,Kubis,2018,72762.9,ton
sayuran_buah_semusim,Labu Siam,2018,2523.7,ton
