Kecamatan,Kelompok,Komoditas,Tahun,Nilai,Satuan
Banjarmangu,sayuran,Bawang Merah,2017,0,ton
Banjarmangu,sayuran,Cabai Besar,2017,0,ton
Banjarmangu,sayuran,Kentang,2017,0,ton
Banjarmangu,sayuran,Kubis,2017,0,ton
Banjarmangu,sayuran,Petsai,2017,0,ton
Banjarmangu,sayuran,Tomat,2017,39.7,ton
Banjarmangu,sayuran,Bawang Putih,2017,0,ton
Banjarmangu,sayuran,Cabai Rawit,2017,0,ton
Banjarmangu,buah_tahunan,Mangga,2017,189.2,ton
Banjarmangu,buah_tahunan,Durian,2017,1567.8,ton
Banjarmangu,buah_tahunan,Pisang,2017,3238.8,ton
Banjarmangu,buah_tahunan,Pepaya,2017,295.2,ton
Banjarmangu,buah_tahunan,Salak,2017,123192.2,ton
Banjarmangu,sayuran,Bawang Merah,2018,0,ton
Banjarmangu,sayuran,Cabai Besar,2018,26.9,ton
Banjarmangu,sayuran,Kentang,2018,0,ton
Banjarmangu,sayuran,Kubis,2018,0,ton
Banjarmangu,sayuran,Petsai,2018,0,ton
Banjarmangu,sayuran,Tomat,2018,2.4,ton
Banjarmangu,sayuran,Bawang Putih,2018,0,ton
Banjarmangu,sayuran,Cabai Rawit,2018,6,ton
Banjarmangu,buah_tahunan,Mangga,2018,303.3,ton
Banjarmangu,buah_tahunan,Durian,2018,1267.9,ton
Banjarmangu,buah_tahunan,Jeruk Besar,2018,19,ton
Banjarmangu,buah_tahunan,Pisang,2018,3228.9,ton
Banjarmangu,buah_tahunan,Pepaya,2018,398.4,ton
Banjarmangu,buah_tahunan,Salak,2018,129704.2,ton
Banjarmangu,buah_tahunan,Jeruk Siam,2018,105.3,ton
Banjarmangu,sayuran,Bawang Merah,2019,0,ton
Banjarmangu,sayuran,Cabai Besar,2019,14.3,ton
Banjarmangu,sayuran,Kentang,2019,0,ton
Banjarmangu,sayuran,Kubis,2019,0,ton
Banjarmangu,sayuran,Petsai,2019,0,ton
Banjarmangu,sayuran,Tomat,2019,13.7,ton
Banjarmangu,sayuran,Bawang Putih,2019,0,ton
Banjarmangu,sayuran,Cabai Rawit,2019,8.9,ton
Banjarmangu,buah_tahunan,Mangga,2019,333.5,ton
Banjarmangu,buah_tahunan,Durian,2019,991,ton
Banjarmangu,buah_tahunan,Jeruk Besar,2019,22.5,ton
Banjarmangu,buah_tahunan,Pisang,2019,2804.6,ton
Banjarmangu,buah_tahunan,Pepaya,2019,228,ton
Banjarmangu,buah_tahunan,Salak,2019,122291.5,ton
Banjarmangu,buah_tahunan,Jeruk Siam,2019,111.4,ton
Banjarmangu,tanaman_hias,Agloenema,2019,0,tangkai
Banjarmangu,tanaman_hias,Krisan,2019,0,tangkai
Banjarmangu,tanaman_hias,Mawar,2019,0,tangkai
Banjarmangu,tanaman_hias,Soka,2019,0,tangkai
Banjarmangu,biofarmaka,Jahe,2019,15133,tangkai
Banjarmangu,biofarmaka,Laos,2019,0,tangkai
Banjarmangu,biofarmaka,Kencur,2019,0,tangkai
Banjarmangu,biofarmaka,Kunyit,2019,0,tangkai
Banjarmangu,sayuran,Bawang Merah,2020,0,ton
Banjarmangu,sayuran,Cabai Besar,2020,21,ton
Banjarmangu,sayuran,Kentang,2020,0,ton
Banjarmangu,sayuran,Kubis,2020,0,ton
Banjarmangu,sayuran,Petsai,2020,0,ton
Banjarmangu,sayuran,Tomat,2020,5.3,ton
Banjarmangu,sayuran,Bawang Putih,2020,0,ton
Banjarmangu,sayuran,Cabai Rawit,2020,11.2,ton
Banjarmangu,buah_tahunan,Mangga,2020,429.9,ton
Banjarmangu,buah_tahunan,Durian,2020,4476.7,ton
Banjarmangu,buah_tahunan,Jeruk Besar,2020,21.6,ton
Banjarmangu,buah_tahunan,Pisang,2020,1785.8,ton
Banjarmangu,buah_tahunan,Pepaya,2020,303.8,ton
Banjarmangu,buah_tahunan,Salak,2020,95868,ton
Banjarmangu,buah_tahunan,Jeruk Siam,2020,129.9,ton
Banjarmangu,tanaman_hias,Agloenema,2020,0,tangkai
Banjarmangu,tanaman_hias,Krisan,2020,0,tangkai
Banjarmangu,tanaman_hias,Mawar,2020,0,tangkai
Banjarmangu,tanaman_hias,Soka,2020,0,tangkai
Banjarmangu,biofarmaka,Jahe,2020,0,tangkai
Banjarmangu,biofarmaka,Laos,2020,2250,tangkai
Banjarmangu,biofarmaka,Kencur,2020,0,tangkai
Banjarmangu,biofarmaka,Kunyit,2020,0,tangkai
Banjarmangu,sayuran,Bawang Merah,2021,0,ton
Banjarmangu,sayuran,Cabai Besar,2021,0,ton
Banjarmangu,sayuran,Kentang,2021,0,ton
Banjarmangu,sayuran,Kubis,2021,0,ton
Banjarmangu,sayuran,Petsai,2021,0,ton
Banjarmangu,sayuran,Tomat,2021,0,ton
Banjarmangu,sayuran,Bawang Putih,2021,0,ton
Banjarmangu,sayuran,Cabai Rawit,2021,19.1,ton
Banjarmangu,buah_tahunan,Mangga,2021,131.8,ton
Banjarmangu,buah_tahunan,Durian,2021,2534.6,ton
Banjarmangu,buah_tahunan,Jeruk Besar,2021,0,ton
Banjarmangu,buah_tahunan,Pisang,2021,2375.7,ton
Banjarmangu,buah_tahunan,Pepaya,2021,317.6,ton
Banjarmangu,buah_tahunan,Salak,2021,169838.8,ton
Banjarmangu,buah_tahunan,Jeruk Siam,2021,97.6,ton
Banjarmangu,tanaman_hias,Agloenema,2021,0,tangkai
Banjarmangu,tanaman_hias,Krisan,2021,0,tangkai
Banjarmangu,tanaman_hias,Mawar,2021,0,tangkai
Banjarmangu,tanaman_hias,Soka,2021,0,tangkai
Banjarmangu,biofarmaka,Jahe,2021,3000,tangkai
Banjarmangu,biofarmaka,Laos,2021,4620,tangkai
Banjarmangu,biofarmaka,Kencur,2021,0,tangkai
Banjarmangu,biofarmaka,Kunyit,2021,0,tangkai
Banjarmangu,sayuran,Bawang Merah,2022,0,ton
Banjarmangu,sayuran,Cabai Besar,2022,0.6,ton
Banjarmangu,sayuran,Kentang,2022,0,ton
Banjarmangu,sayuran,Kubis,2022,0,ton
Banjarmangu,sayuran,Petsai,2022,0,ton
Banjarmangu,sayuran,Tomat,2022,15.1,ton
Banjarmangu,sayuran,Bawang Putih,2022,0,ton
Banjarmangu,sayuran,Cabai Rawit,2022,0.9,ton
Banjarmangu,buah_tahunan,Mangga,2022,232.9,ton
Banjarmangu,buah_tahunan,Durian,2022,1488,ton
Banjarmangu,buah_tahunan,Jeruk Besar,2022,0,ton
Banjarmangu,buah_tahunan,Pisang,2022,4618,ton
Banjarmangu,buah_tahunan,Pepaya,2022,404,ton
Banjarmangu,buah_tahunan,Salak,2022,96282,ton
Banjarmangu,buah_tahunan,Jeruk Siam,2022,58.3,ton
Banjarmangu,tanaman_hias,Agloenema,2022,0,tangkai
Banjarmangu,tanaman_hias,Krisan,2022,0,tangkai
Banjarmangu,tanaman_hias,Mawar,2022,0,tangkai
Banjarmangu,tanaman_hias,Soka,2022,0,tangkai
Banjarmangu,biofarmaka,Jahe,2022,0,tangkai
