Kecamatan,Jenis,Tahun,Nilai,Catatan
Banjarmangu,Sapi/Kerbau,2018,280,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Kambing/Domba,2018,680,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Sapi/Kerbau,2020,307,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Kambing/Domba,2020,654,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Sapi/Kerbau,2021,352,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Kambing/Domba,2021,686,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Sapi/Kerbau,2022,321,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Kambing/Domba,2022,699,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Sapi/Kerbau,2023,328,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Kambing/Domba,2023,665,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Sapi/Kerbau,2024,147,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarmangu,Kambing/Domba,2024,274,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Sapi/Kerbau,2018,3564,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Kambing/Domba,2018,451,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Sapi/Kerbau,2020,3174,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Kambing/Domba,2020,476,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Sapi/Kerbau,2021,3636,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Kambing/Domba,2021,499,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Sapi/Kerbau,2022,3605,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Kambing/Domba,2022,514,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Sapi/Kerbau,2023,3682,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Kambing/Domba,2023,489,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Sapi/Kerbau,2024,1654,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Banjarnegara,Kambing/Domba,2024,202,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Sapi/Kerbau,2018,408,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Kambing/Domba,2018,627,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Sapi/Kerbau,2020,449,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Kambing/Domba,2020,511,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Sapi/Kerbau,2021,514,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Kambing/Domba,2021,536,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Sapi/Kerbau,2022,501,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Kambing/Domba,2022,551,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Sapi/Kerbau,2023,512,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Kambing/Domba,2023,524,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Sapi/Kerbau,2024,228,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Batur,Kambing/Domba,2024,216,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Sapi/Kerbau,2018,269,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Kambing/Domba,2018,529,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Sapi/Kerbau,2020,297,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Kambing/Domba,2020,444,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Sapi/Kerbau,2021,340,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Kambing/Domba,2021,466,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Sapi/Kerbau,2022,323,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Kambing/Domba,2022,476,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Sapi/Kerbau,2023,330,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Kambing/Domba,2023,453,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Sapi/Kerbau,2024,149,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Bawang,Kambing/Domba,2024,188,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Kalibening,Sapi/Kerbau,2018,244,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Kalibening,Kambing/Domba,2018,959,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Kalibening,Sapi/Kerbau,2020,219,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Kalibening,Kambing/Domba,2020,882,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Kalibening,Sapi/Kerbau,2021,251,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Kalibening,Kambing/Domba,2021,925,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
Kalibening,Sapi/Kerbau,2022,234,Sumber tidak memisahkan kulit (lembar) vs susu (liter)
