Kecamatan,Jenis Alat,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Banjarmangu,Jala Tebar,2019,7053.38,133016.16
Banjarmangu,Pancing,2019,13583.28,248177.84
Banjarmangu,Jaring Ingsang,2019,1728.89,30694.56
Banjarmangu,Lainnya,2019,5752.11,85905.63
Banjarmangu,Jala Tebar,2020,8385,170857.7
Banjarmangu,Pancing,2020,15387,306449
Banjarmangu,Jaring Ingsang,2020,1887,39858.8
Banjarmangu,Lainnya,2020,5609,117469.6
Banjarmangu,Jala Tebar,2021,9791,191641.1
Banjarmangu,Pancing,2021,14334,273250.6
Banjarmangu,Jaring Ingsang,2021,0,0
Banjarmangu,Lainnya,2021,5363,111341.5
Banjarmangu,Jala Tebar,2022,7356,142960.4
Banjarmangu,Pancing,2022,7206,135763.2
Banjarmangu,Lainnya,2022,3181,65953.4
Banjarmangu,Jala Tebar,2023,8372.91,163823.69
Banjarmangu,Pancing,2023,6636.71,129853.33
Banjarmangu,Jaring Ingsang,2023,0,0
Banjarmangu,Lainnya,2023,6498.17,127142.72
Banjarmangu,Jala Tebar,2024,0,0
Banjarmangu,Pancing,2024,0,0
Banjarmangu,Jaring Ingsang,2024,0,0
Banjarmangu,Lainnya,2024,0,0
Banjarnegara,Jala Tebar,2019,8343.11,157338.57
Banjarnegara,Pancing,2019,16067.02,293557.91
Banjarnegara,Jaring Ingsang,2019,2045.03,36307.15
Banjarnegara,Lainnya,2019,6803.9,101613.73
Banjarnegara,Jala Tebar,2020,9918,202099.5
Banjarnegara,Pancing,2020,18202,362484.1
Banjarnegara,Jaring Ingsang,2020,2232,47147.1
Banjarnegara,Lainnya,2020,6635,138949.2
Banjarnegara,Jala Tebar,2021,11581,226683.3
Banjarnegara,Pancing,2021,16956,323215.3
Banjarnegara,Jaring Ingsang,2021,0,0
Banjarnegara,Lainnya,2021,6344,131700.7
Banjarnegara,Jala Tebar,2022,8701,169101.1
Banjarnegara,Pancing,2022,8524,160587.9
Banjarnegara,Lainnya,2022,3763,78013.2
Banjarnegara,Jala Tebar,2023,9785.64,191464.99
Banjarnegara,Pancing,2023,7968.54,155911.77
Banjarnegara,Jaring Ingsang,2023,0,0
Banjarnegara,Lainnya,2023,7686.39,150391.15
Banjarnegara,Jala Tebar,2024,0,0
Banjarnegara,Pancing,2024,0,0
Banjarnegara,Jaring Ingsang,2024,0,0
Banjarnegara,Lainnya,2024,0,0
Batur,Jala Tebar,2019,623,11748.8
Batur,Pancing,2019,3317,60604.29
Batur,Jaring Ingsang,2019,152.71,2711.13
Batur,Lainnya,2019,508.06,7587.71
Batur,Jala Tebar,2020,741,15091.2
Batur,Pancing,2020,3935,78399.8
Batur,Jaring Ingsang,2020,167,3520.6
Batur,Lainnya,2020,495,10375.6
Batur,Jala Tebar,2021,1030,20111.9
Batur,Pancing,2021,3982,78047.3
Batur,Jaring Ingsang,2021,0,0
Batur,Lainnya,2021,474,9834.4
Batur,Jala Tebar,2022,771,15025.7
Batur,Pancing,2022,2772,53326.5
Batur,Lainnya,2022,281,5825.4
Batur,Jala Tebar,2023,895.65,17660.56
Batur,Pancing,2023,3311.09,65288.44
Batur,Jaring Ingsang,2023,0,0
Batur,Lainnya,2023,573.96,11317.38
Batur,Jala Tebar,2024,1011,21816
Batur,Pancing,2024,2944,65043
Batur,Jaring Ingsang,2024,0,0
Batur,Lainnya,2024,0,0
Bawang,Jala Tebar,2019,4413.15,83225.42
Bawang,Pancing,2019,8498.77,155279.67
Bawang,Jaring Ingsang,2019,155986.61,2769367.1
Bawang,Lainnya,2019,79066.16,1180823.76
Bawang,Jala Tebar,2020,5246,106902
Bawang,Pancing,2020,9627,191738.7
