Kecamatan,Tahun,Produksi (Kg),Nilai (Ribu Rp)
Banjarmangu,2019,0,0
Banjarmangu,2020,0,0
Banjarmangu,2021,0,0
Banjarmangu,2022,0,0
Banjarmangu,2023,0,0
Banjarmangu,2024,0,0
Banjarnegara,2019,0,0
Banjarnegara,2020,0,0
Banjarnegara,2021,0,0
Banjarnegara,2022,0,0
Banjarnegara,2023,0,0
Banjarnegara,2024,0,0
Batur,2019,2117.24,42588.89
Batur,2020,2576,51332.3
Batur,2021,0,0
Batur,2022,0,0
Batur,2023,0,0
Batur,2024,0,0
Bawang,2019,0,0
Bawang,2020,0,0
Bawang,2021,0,0
Bawang,2022,0,0
Bawang,2023,0,0
Bawang,2024,0,0
Kalibening,2019,0,0
Kalibening,2020,0,0
Kalibening,2021,0,0
Kalibening,2022,0,0
Kalibening,2023,0,0
Kalibening,2024,0,0
Karangkobar,2019,0,0
Karangkobar,2020,0,0
Karangkobar,2021,0,0
Karangkobar,2022,0,0
Karangkobar,2023,0,0
Karangkobar,2024,0,0
Madukara,2019,0,0
Madukara,2020,0,0
Madukara,2021,0,0
Madukara,2022,0,0
Madukara,2023,0,0
Madukara,2024,0,0
Mandiraja,2019,0,0
Mandiraja,2020,0,0
Mandiraja,2021,0,0
Mandiraja,2022,0,0
Mandiraja,2023,0,0
Mandiraja,2024,0,0
Pagedongan,2019,1015.43,20425.62
Pagedongan,2020,1235,24618.9
Pagedongan,2021,0,0
Pagedongan,2022,0,0
Pagedongan,2023,0,0
Pagedongan,2024,0,0
Pagentan,2019,0,0
Pagentan,2020,0,0
Pagentan,2021,0,0
Pagentan,2022,0,0
Pagentan,2023,0,0
Pagentan,2024,0,0
Pandanarum,2019,0,0
Pandanarum,2020,0,0
Pandanarum,2021,0,0
Pandanarum,2022,0,0
Pandanarum,2023,0,0
Pandanarum,2024,0,0
Pejawaran,2019,0,0
Pejawaran,2020,0,0
Pejawaran,2021,0,0
Pejawaran,2022,0,0
Pejawaran,2023,0,0
Pejawaran,2024,0,0
Punggelan,2019,0,0
Punggelan,2020,0,0
Punggelan,2021,0,0
Punggelan,2022,0,0
Punggelan,2023,0,0
Punggelan,2024,0,0
Purwanegara,2019,0,0
Purwanegara,2020,0,0
Purwanegara,2021,0,0
Purwanegara,2022,0,0
Purwanegara,2023,0,0
Purwanegara,2024,0,0
Purwareja Klampok,2019,0,0
Purwareja Klampok,2020,0,0
Purwareja Klampok,2021,0,0
Purwareja Klampok,2022,0,0
Purwareja Klampok,2023,0,0
Purwareja Klampok,2024,0,0
Rakit,2019,0,0
Rakit,2020,0,0
Rakit,2021,0,0
Rakit,2022,0,0
Rakit,2023,0,0
Rakit,2024,0,0
Sigaluh,2019,0,0
Sigaluh,2020,0,0
Sigaluh,2021,0,0
Sigaluh,2022,0,0
Sigaluh,2023,0,0
Sigaluh,2024,0,0
Susukan,2019,0,0
Susukan,2020,0,0
Susukan,2021,0,0
Susukan,2022,0,0
Susukan,2023,0,0
Susukan,2024,0,0
Wanadadi,2019,0,0
Wanadadi,2020,0,0
Wanadadi,2021,0,0
Wanadadi,2022,0,0
Wanadadi,2023,0,0
Wanadadi,2024,0,0
Wanayasa,2019,0,0
Wanayasa,2020,0,0
Wanayasa,2021,0,0
Wanayasa,2022,0,0
Wanayasa,2023,0,0
Wanayasa,2024,0,0
