Kecamatan,Jenis,Tahun,Produksi (Kg)
Banjarmangu,Ayam Ras Layer,2018,1177600
Banjarmangu,Ayam Kampung,2018,1318876
Banjarmangu,Ayam Ras Layer,2020,916359
Banjarmangu,Ayam Kampung,2020,0
Banjarmangu,Ayam Ras Layer,2021,927813
Banjarmangu,Ayam Kampung,2021,321330
Banjarmangu,Ayam Ras Layer,2022,1016843
Banjarmangu,Ayam Kampung,2022,319886
Banjarmangu,Ayam Ras Layer,2023,959612
Banjarmangu,Ayam Kampung,2023,300621
Banjarmangu,Ayam Ras Layer,2024,77813
Banjarmangu,Ayam Kampung,2024,491473
Banjarnegara,Ayam Ras Layer,2018,2099000
Banjarnegara,Ayam Kampung,2018,866435
Banjarnegara,Ayam Ras Layer,2020,1249581
Banjarnegara,Ayam Kampung,2020,0
Banjarnegara,Ayam Ras Layer,2021,1265201
Banjarnegara,Ayam Kampung,2021,1192020
Banjarnegara,Ayam Ras Layer,2022,1366950
Banjarnegara,Ayam Kampung,2022,1189133
Banjarnegara,Ayam Ras Layer,2023,1290014
Banjarnegara,Ayam Kampung,2023,1117519
Banjarnegara,Ayam Ras Layer,2024,2749274
Banjarnegara,Ayam Kampung,2024,2262864
Batur,Ayam Ras Layer,2018,0
Batur,Ayam Kampung,2018,192471
Batur,Ayam Ras Layer,2020,0
Batur,Ayam Kampung,2020,0
Batur,Ayam Ras Layer,2021,0
Batur,Ayam Kampung,2021,0
Batur,Ayam Ras Layer,2022,0
Batur,Ayam Kampung,2022,0
Batur,Ayam Ras Layer,2023,0
Batur,Ayam Kampung,2023,0
Batur,Ayam Ras Layer,2024,0
Batur,Ayam Kampung,2024,7489
Bawang,Ayam Ras Layer,2018,1372600
Bawang,Ayam Kampung,2018,984739
Bawang,Ayam Ras Layer,2020,1091301
Bawang,Ayam Kampung,2020,0
Bawang,Ayam Ras Layer,2021,1104942
Bawang,Ayam Kampung,2021,1958454
Bawang,Ayam Ras Layer,2022,1168535
Bawang,Ayam Kampung,2022,1956650
Bawang,Ayam Ras Layer,2023,1102766
Bawang,Ayam Kampung,2023,1838814
Bawang,Ayam Ras Layer,2024,4430023
Bawang,Ayam Kampung,2024,1333514
Kalibening,Ayam Ras Layer,2018,0
Kalibening,Ayam Kampung,2018,458488
Kalibening,Ayam Ras Layer,2020,333222
Kalibening,Ayam Kampung,2020,0
Kalibening,Ayam Ras Layer,2021,337387
Kalibening,Ayam Kampung,2021,533646
Kalibening,Ayam Ras Layer,2022,400980
Kalibening,Ayam Kampung,2022,531842
Kalibening,Ayam Ras Layer,2023,378412
Kalibening,Ayam Kampung,2023,499813
Kalibening,Ayam Ras Layer,2024,238658
Kalibening,Ayam Kampung,2024,393722
Karangkobar,Ayam Ras Layer,2018,1069550
Karangkobar,Ayam Kampung,2018,1474500
Karangkobar,Ayam Ras Layer,2020,840551
Karangkobar,Ayam Kampung,2020,0
Karangkobar,Ayam Ras Layer,2021,851058
Karangkobar,Ayam Kampung,2021,0
Karangkobar,Ayam Ras Layer,2022,952807
Karangkobar,Ayam Kampung,2022,1444
Karangkobar,Ayam Ras Layer,2023,899180
Karangkobar,Ayam Kampung,2023,1357
Karangkobar,Ayam Ras Layer,2024,1072996
Karangkobar,Ayam Kampung,2024,574346
Madukara,Ayam Ras Layer,2018,12718000
Madukara,Ayam Kampung,2018,453471
Madukara,Ayam Ras Layer,2020,10746397
Madukara,Ayam Kampung,2020,0
Madukara,Ayam Ras Layer,2021,10880727
Madukara,Ayam Kampung,2021,178041
Madukara,Ayam Ras Layer,2022,10982476
Madukara,Ayam Kampung,2022,175154
Madukara,Ayam Ras Layer,2023,10364351
Madukara,Ayam Kampung,2023,164606
Madukara,Ayam Ras Layer,2024,4232060
Madukara,Ayam Kampung,2024,936740
Mandiraja,Ayam Ras Layer,2018,3199000
Mandiraja,Ayam Kampung,2018,1853850
Mandiraja,Ayam Ras Layer,2020,11262890
Mandiraja,Ayam Kampung,2020,0
Mandiraja,Ayam Ras Layer,2021,11403676
Mandiraja,Ayam Kampung,2021,9187689
Mandiraja,Ayam Ras Layer,2022,11492706
Mandiraja,Ayam Kampung,2022,9185163
Mandiraja,Ayam Ras Layer,2023,10845865
Mandiraja,Ayam Kampung,2023,8632001
Mandiraja,Ayam Ras Layer,2024,11051804
Mandiraja,Ayam Kampung,2024,2168737
Pagedongan,Ayam Ras Layer,2018,848000
Pagedongan,Ayam Kampung,2018,483908
Pagedongan,Ayam Ras Layer,2020,1357878
Pagedongan,Ayam Kampung,2020,0
Pagedongan,Ayam Ras Layer,2021,1374851
Pagedongan,Ayam Kampung,2021,126630
Pagedongan,Ayam Ras Layer,2022,1451163
Pagedongan,Ayam Kampung,2022,124465
Pagedongan,Ayam Ras Layer,2023,1369487
Pagedongan,Ayam Kampung,2023,116969
Pagedongan,Ayam Ras Layer,2024,3677823
Pagedongan,Ayam Kampung,2024,620075
Pagentan,Ayam Ras Layer,2018,1071200
Pagentan,Ayam Kampung,2018,1058192
Pagentan,Ayam Ras Layer,2020,0
Pagentan,Ayam Kampung,2020,0
Pagentan,Ayam Ras Layer,2021,0
Pagentan,Ayam Kampung,2021,367032
Pagentan,Ayam Ras Layer,2022,0
Pagentan,Ayam Kampung,2022,365228
Pagentan,Ayam Ras Layer,2023,0
Pagentan,Ayam Kampung,2023,343233
Pagentan,Ayam Ras Layer,2024,787389
Pagentan,Ayam Kampung,2024,76055
Pandanarum,Ayam Ras Layer,2018,0
Pandanarum,Ayam Kampung,2018,464881
Pandanarum,Ayam Ras Layer,2020,0
Pandanarum,Ayam Kampung,2020,0
Pandanarum,Ayam Ras Layer,2021,0
Pandanarum,Ayam Kampung,2021,0
Pandanarum,Ayam Ras Layer,2022,0
Pandanarum,Ayam Kampung,2022,1082
Pandanarum,Ayam Ras Layer,2023,0
Pandanarum,Ayam Kampung,2023,1016
Pandanarum,Ayam Ras Layer,2024,487901
Pandanarum,Ayam Kampung,2024,235036
Pejawaran,Ayam Ras Layer,2018,0
Pejawaran,Ayam Kampung,2018,186169
Pejawaran,Ayam Ras Layer,2020,0
Pejawaran,Ayam Kampung,2020,0
Pejawaran,Ayam Ras Layer,2021,0
Pejawaran,Ayam Kampung,2021,625998
Pejawaran,Ayam Ras Layer,2022,0
Pejawaran,Ayam Kampung,2022,624554
Pejawaran,Ayam Ras Layer,2023,0
Pejawaran,Ayam Kampung,2023,586941
Pejawaran,Ayam Ras Layer,2024,149515
Pejawaran,Ayam Kampung,2024,97703
Punggelan,Ayam Ras Layer,2018,2014000
Punggelan,Ayam Kampung,2018,1281879
Punggelan,Ayam Ras Layer,2020,4415186
Punggelan,Ayam Kampung,2020,0
Punggelan,Ayam Ras Layer,2021,4470376
Punggelan,Ayam Kampung,2021,1600941
Punggelan,Ayam Ras Layer,2022,4546688
Punggelan,Ayam Kampung,2022,1599497
Punggelan,Ayam Ras Layer,2023,4290787
Punggelan,Ayam Kampung,2023,1503170
Punggelan,Ayam Ras Layer,2024,6178599
Punggelan,Ayam Kampung,2024,2143560
Purwanegara,Ayam Ras Layer,2018,5787600
Purwanegara,Ayam Kampung,2018,5162454
Purwanegara,Ayam Ras Layer,2020,4548475
Purwanegara,Ayam Kampung,2020,0
Purwanegara,Ayam Ras Layer,2021,4605331
Purwanegara,Ayam Kampung,2021,5279349
Purwanegara,Ayam Ras Layer,2022,4694361
Purwanegara,Ayam Kampung,2022,5276823
Purwanegara,Ayam Ras Layer,2023,4430149
Purwanegara,Ayam Kampung,2023,4959034
Purwanegara,Ayam Ras Layer,2024,6274003
Purwanegara,Ayam Kampung,2024,3358868
Purwareja Klampok,Ayam Ras Layer,2018,10400
Purwareja Klampok,Ayam Kampung,2018,1474613
Purwareja Klampok,Ayam Ras Layer,2020,9496816
Purwareja Klampok,Ayam Kampung,2020,0
Purwareja Klampok,Ayam Ras Layer,2021,9615526
Purwareja Klampok,Ayam Kampung,2021,467952
Purwareja Klampok,Ayam Ras Layer,2022,9691838
Purwareja Klampok,Ayam Kampung,2022,465787
Purwareja Klampok,Ayam Ras Layer,2023,9146354
Purwareja Klampok,Ayam Kampung,2023,437736
Purwareja Klampok,Ayam Ras Layer,2024,2188179
Purwareja Klampok,Ayam Kampung,2024,2122341
Rakit,Ayam Ras Layer,2018,7104400
Rakit,Ayam Kampung,2018,1564576
Rakit,Ayam Ras Layer,2020,9463493
Rakit,Ayam Kampung,2020,0
Rakit,Ayam Ras Layer,2021,9581787
Rakit,Ayam Kampung,2021,1153935
Rakit,Ayam Ras Layer,2022,9683536
Rakit,Ayam Kampung,2022,1152130
Rakit,Ayam Ras Layer,2023,9138519
Rakit,Ayam Kampung,2023,1082745
Rakit,Ayam Ras Layer,2024,21343806
Rakit,Ayam Kampung,2024,2390322
Sigaluh,Ayam Ras Layer,2018,954000
Sigaluh,Ayam Kampung,2018,1003330
Sigaluh,Ayam Ras Layer,2020,749749
Sigaluh,Ayam Kampung,2020,0
Sigaluh,Ayam Ras Layer,2021,759121
Sigaluh,Ayam Kampung,2021,202320
Sigaluh,Ayam Ras Layer,2022,809996
Sigaluh,Ayam Kampung,2022,200876
Sigaluh,Ayam Ras Layer,2023,764407
Sigaluh,Ayam Kampung,2023,188778
Sigaluh,Ayam Ras Layer,2024,1154984
Sigaluh,Ayam Kampung,2024,303743
Susukan,Ayam Ras Layer,2018,126192
Susukan,Ayam Kampung,2018,3342401
Susukan,Ayam Ras Layer,2020,149950
Susukan,Ayam Kampung,2020,0
Susukan,Ayam Ras Layer,2021,151824
Susukan,Ayam Kampung,2021,2343576
Susukan,Ayam Ras Layer,2022,202699
Susukan,Ayam Kampung,2022,2342132
Susukan,Ayam Ras Layer,2023,191290
Susukan,Ayam Kampung,2023,2201081
Susukan,Ayam Ras Layer,2024,576299
Susukan,Ayam Kampung,2024,2226720
Wanadadi,Ayam Ras Layer,2018,156000
Wanadadi,Ayam Kampung,2018,363943
Wanadadi,Ayam Ras Layer,2020,549816
Wanadadi,Ayam Kampung,2020,0
Wanadadi,Ayam Ras Layer,2021,556689
Wanadadi,Ayam Kampung,2021,40941
Wanadadi,Ayam Ras Layer,2022,620282
Wanadadi,Ayam Kampung,2022,39136
Wanadadi,Ayam Ras Layer,2023,585371
Wanadadi,Ayam Kampung,2023,36779
Wanadadi,Ayam Ras Layer,2024,2961995
Wanadadi,Ayam Kampung,2024,441643
Wanayasa,Ayam Ras Layer,2018,10863400
Wanayasa,Ayam Kampung,2018,5132342
Wanayasa,Ayam Ras Layer,2020,34105231
Wanayasa,Ayam Kampung,2020,0
Wanayasa,Ayam Ras Layer,2021,34531546
Wanayasa,Ayam Kampung,2021,98064
Wanayasa,Ayam Ras Layer,2022,34607858
Wanayasa,Ayam Kampung,2022,95899
Wanayasa,Ayam Ras Layer,2023,32660032
Wanayasa,Ayam Kampung,2023,90124
Wanayasa,Ayam Ras Layer,2024,1068376
Wanayasa,Ayam Kampung,2024,103139
