Kecamatan,Tempat,Tahun,Luas (Ha),Produksi (Kg)
Banjarmangu,Kolam Pembesaran Ikan,2018,20,912318
Banjarmangu,Mina Padi Tumpang sari,2018,1,1300
Banjarmangu,Kolam Pembesaran Ikan,2019,20,956880
Banjarmangu,Kolam Pembesaran Ikan,2020,20,862252
Banjarmangu,Kolam Pembesaran Ikan,2021,20,940450
Banjarmangu,Kolam Pembesaran Ikan,2022,20,1008436
Banjarmangu,Kolam Pembesaran Ikan,2023,20,1015265
Banjarmangu,Kolam Pembesaran Ikan,2024,20,1008161
Banjarnegara,Kolam Pembesaran Ikan,2018,29,1812263
Banjarnegara,Mina Padi Tumpang sari,2018,1,650
Banjarnegara,Kolam Pembesaran Ikan,2019,29,1900784
Banjarnegara,Kolam Pembesaran Ikan,2020,29,1278106
Banjarnegara,Kolam Pembesaran Ikan,2021,29,1394017
Banjarnegara,Kolam Pembesaran Ikan,2022,29,1494792
Banjarnegara,Kolam Pembesaran Ikan,2023,29,1504914
Banjarnegara,Kolam Pembesaran Ikan,2024,29,1494384
Batur,Kolam Pembesaran Ikan,2018,0,27087
Batur,Kolam Pembesaran Ikan,2019,0,28410
Batur,Kolam Pembesaran Ikan,2020,0,10036
Batur,Kolam Pembesaran Ikan,2021,0,10947
Batur,Kolam Pembesaran Ikan,2022,0,11738
Batur,Kolam Pembesaran Ikan,2023,0,11817
Batur,Kolam Pembesaran Ikan,2024,0,11735
Bawang,Kolam Pembesaran Ikan,2018,73,5348025
Bawang,Jaring Karamba Apung,2018,1,84854
Bawang,Mina Padi Tumpang sari,2018,14,18200
Bawang,Kolam Pembesaran Ikan,2019,73,5609251
Bawang,Jaring Karamba Apung,2019,1,79382
Bawang,Mina Padi Penyelang,2019,,1203041
Bawang,Mina Padi Tumpang sari,2019,14,19600
Bawang,Kolam Pembesaran Ikan,2020,73,3186319
Bawang,Jaring Karamba Apung,2020,1,33794
Bawang,Mina Padi Tumpang sari,2020,13,14030
Bawang,Kolam Pembesaran Ikan,2021,73,3475285
Bawang,Jaring Karamba Apung,2021,0,25383
Bawang,Mina Padi Tumpang sari,2021,13,14030
Bawang,Kolam Pembesaran Ikan,2022,73,3726518
Bawang,Jaring Karamba Apung,2022,0,8345
Bawang,Kolam Pembesaran Ikan,2023,73,3751752
Bawang,Jaring Karamba Apung,2023,0,9765
Bawang,Kolam Pembesaran Ikan,2024,73,3725500
Bawang,Jaring Karamba Apung,2024,0,9055
Kalibening,Kolam Pembesaran Ikan,2018,11,135252
Kalibening,Kolam Pembesaran Ikan,2019,11,141858
Kalibening,Kolam Pembesaran Ikan,2020,11,483926
Kalibening,Kolam Pembesaran Ikan,2021,11,527813
Kalibening,Kolam Pembesaran Ikan,2022,11,565969
Kalibening,Kolam Pembesaran Ikan,2023,11,569802
Kalibening,Kolam Pembesaran Ikan,2024,11,565815
Karangkobar,Kolam Pembesaran Ikan,2018,11,493971
Karangkobar,Kolam Pembesaran Ikan,2019,11,518099
Karangkobar,Kolam Pembesaran Ikan,2020,11,471272
Karangkobar,Kolam Pembesaran Ikan,2021,11,514011
Karangkobar,Kolam Pembesaran Ikan,2022,11,551169
Karangkobar,Kolam Pembesaran Ikan,2023,11,554902
Karangkobar,Kolam Pembesaran Ikan,2024,11,551019
Madukara,Kolam Pembesaran Ikan,2018,36,1440916
Madukara,Kolam Pembesaran Ikan,2019,36,1511298
Madukara,Kolam Pembesaran Ikan,2020,36,1579196
Madukara,Kolam Pembesaran Ikan,2021,36,1722413
Madukara,Kolam Pembesaran Ikan,2022,36,1846928
Madukara,Kolam Pembesaran Ikan,2023,36,1859435
Madukara,Kolam Pembesaran Ikan,2024,36,1846424
Mandiraja,Kolam Pembesaran Ikan,2018,47,3507577
Mandiraja,Mina Padi Tumpang sari,2018,13,12350
Mandiraja,Kolam Pembesaran Ikan,2019,47,3678905
Mandiraja,Mina Padi Penyelang,2019,,2783897
Mandiraja,Mina Padi Tumpang sari,2019,13,17500
Mandiraja,Kolam Pembesaran Ikan,2020,47,2053086
Mandiraja,Mina Padi Tumpang sari,2020,13,16299
Mandiraja,Kolam Pembesaran Ikan,2021,47,2239279
Mandiraja,Mina Padi Tumpang sari,2021,13,16299
Mandiraja,Kolam Pembesaran Ikan,2022,47,2401160
Mandiraja,Mina Padi Tumpang sari,2022,18,27390
Mandiraja,Kolam Pembesaran Ikan,2023,47,2417419
Mandiraja,Mina Padi Tumpang sari,2023,18,19292
Mandiraja,Kolam Pembesaran Ikan,2024,47,2400504
Mandiraja,Mina Padi Tumpang sari,2024,18,9083
Pagedongan,Kolam Pembesaran Ikan,2018,19,1685248
Pagedongan,Mina Padi Tumpang sari,2018,1,650
Pagedongan,Kolam Pembesaran Ikan,2019,19,1767564
Pagedongan,Kolam Pembesaran Ikan,2020,19,832580
Pagedongan,Kolam Pembesaran Ikan,2021,19,908086
Pagedongan,Kolam Pembesaran Ikan,2022,19,973733
Pagedongan,Kolam Pembesaran Ikan,2023,19,980326
Pagedongan,Kolam Pembesaran Ikan,2024,19,973467
Pagentan,Kolam Pembesaran Ikan,2018,12,179909
Pagentan,Kolam Pembesaran Ikan,2019,12,188696
Pagentan,Kolam Pembesaran Ikan,2020,12,514035
Pagentan,Kolam Pembesaran Ikan,2021,12,560653
Pagentan,Kolam Pembesaran Ikan,2022,12,601183
Pagentan,Kolam Pembesaran Ikan,2023,12,605254
Pagentan,Kolam Pembesaran Ikan,2024,12,601019
Pandanarum,Kolam Pembesaran Ikan,2018,2,78699
Pandanarum,Kolam Pembesaran Ikan,2019,2,82543
Pandanarum,Kolam Pembesaran Ikan,2020,2,97309
Pandanarum,Kolam Pembesaran Ikan,2021,2,106134
Pandanarum,Kolam Pembesaran Ikan,2022,2,113806
Pandanarum,Kolam Pembesaran Ikan,2023,2,114577
Pandanarum,Kolam Pembesaran Ikan,2024,2,113775
Pejawaran,Kolam Pembesaran Ikan,2018,11,268673
Pejawaran,Kolam Pembesaran Ikan,2019,11,281797
Pejawaran,Kolam Pembesaran Ikan,2020,11,466908
Pejawaran,Kolam Pembesaran Ikan,2021,11,509252
Pejawaran,Kolam Pembesaran Ikan,2022,11,546066
Pejawaran,Kolam Pembesaran Ikan,2023,11,549764
Pejawaran,Kolam Pembesaran Ikan,2024,11,545917
Punggelan,Kolam Pembesaran Ikan,2018,49,1326419
Punggelan,Kolam Pembesaran Ikan,2019,49,1391208
Punggelan,Kolam Pembesaran Ikan,2020,49,2129449
Punggelan,Kolam Pembesaran Ikan,2021,49,2322568
Punggelan,Kolam Pembesaran Ikan,2022,49,2490469
Punggelan,Kolam Pembesaran Ikan,2023,49,2507334
Punggelan,Kolam Pembesaran Ikan,2024,49,2489789
Purwanegara,Kolam Pembesaran Ikan,2018,285,5817206
Purwanegara,Mina Padi Tumpang sari,2018,44,55510
Purwanegara,Kolam Pembesaran Ikan,2019,285,6101349
Purwanegara,Mina Padi Penyelang,2019,,6054977
Purwanegara,Mina Padi Tumpang sari,2019,44,61180
Purwanegara,Kolam Pembesaran Ikan,2020,285,12421932
Purwanegara,Mina Padi Tumpang sari,2020,44,55795
Purwanegara,Kolam Pembesaran Ikan,2021,285,13548472
Purwanegara,Mina Padi Tumpang sari,2021,44,55795
Purwanegara,Kolam Pembesaran Ikan,2022,285,14527908
Purwanegara,Mina Padi Tumpang sari,2022,4,17909
Purwanegara,Kolam Pembesaran Ikan,2023,285,14626286
Purwanegara,Mina Padi Tumpang sari,2023,4,3858
Purwanegara,Kolam Pembesaran Ikan,2024,285,14523941
Purwanegara,Mina Padi Tumpang sari,2024,4,1817
Purwareja Klampok,Kolam Pembesaran Ikan,2018,24,1310624
Purwareja Klampok,Kolam Pembesaran Ikan,2019,24,1374642
Purwareja Klampok,Kolam Pembesaran Ikan,2020,24,1038543
Purwareja Klampok,Kolam Pembesaran Ikan,2021,24,1132728
Purwareja Klampok,Kolam Pembesaran Ikan,2022,24,1214614
Purwareja Klampok,Kolam Pembesaran Ikan,2023,24,1222839
Purwareja Klampok,Kolam Pembesaran Ikan,2024,24,1214282
Rakit,Kolam Pembesaran Ikan,2018,80,2057162
Rakit,Mina Padi Tumpang sari,2018,22,28600
Rakit,Kolam Pembesaran Ikan,2019,80,2157645
Rakit,Mina Padi Penyelang,2019,,1212984
Rakit,Mina Padi Tumpang sari,2019,20,28000
Rakit,Kolam Pembesaran Ikan,2020,80,3510973
Rakit,Mina Padi Tumpang sari,2020,5,1000
Rakit,Kolam Pembesaran Ikan,2021,80,3829382
Rakit,Mina Padi Tumpang sari,2021,5,1000
Rakit,Kolam Pembesaran Ikan,2022,80,4106212
Rakit,Kolam Pembesaran Ikan,2023,80,4134018
Rakit,Kolam Pembesaran Ikan,2024,80,4105091
Sigaluh,Kolam Pembesaran Ikan,2018,11,374276
Sigaluh,Kolam Pembesaran Ikan,2019,11,392557
Sigaluh,Kolam Pembesaran Ikan,2020,11,489599
Sigaluh,Kolam Pembesaran Ikan,2021,11,534000
Sigaluh,Kolam Pembesaran Ikan,2022,11,572604
Sigaluh,Kolam Pembesaran Ikan,2023,11,576481
Sigaluh,Kolam Pembesaran Ikan,2024,11,572447
Susukan,Kolam Pembesaran Ikan,2018,3,491592
Susukan,Mina Padi Tumpang sari,2018,5,6500
Susukan,Kolam Pembesaran Ikan,2019,3,515603
Susukan,Mina Padi Tumpang sari,2019,5,7000
Susukan,Kolam Pembesaran Ikan,2020,3,140509
Susukan,Kolam Pembesaran Ikan,2021,3,153251
Susukan,Kolam Pembesaran Ikan,2022,3,164330
Susukan,Kolam Pembesaran Ikan,2023,3,165443
Susukan,Kolam Pembesaran Ikan,2024,3,164285
Wanadadi,Kolam Pembesaran Ikan,2018,46,2122500
Wanadadi,Jaring Karamba Apung,2018,4,164388
Wanadadi,Kolam Pembesaran Ikan,2019,46,2226174
Wanadadi,Jaring Karamba Apung,2019,4,153789
Wanadadi,Kolam Pembesaran Ikan,2020,46,2026904
Wanadadi,Jaring Karamba Apung,2020,4,208958
Wanadadi,Kolam Pembesaran Ikan,2021,46,2210723
Wanadadi,Jaring Karamba Apung,2021,6,378024
Wanadadi,Kolam Pembesaran Ikan,2022,46,2370539
Wanadadi,Jaring Karamba Apung,2022,6,345643
Wanadadi,Kolam Pembesaran Ikan,2023,46,2386591
Wanadadi,Jaring Karamba Apung,2023,6,404462
Wanadadi,Kolam Pembesaran Ikan,2024,46,2369892
Wanadadi,Jaring Karamba Apung,2024,6,375033
