Kecamatan Subdistrick,Jumlah Ternak Sapi Perah,Jumlah Ternak Sapi Potong,Jumlah Ternak Kerbau,Jumlah Ternak Kuda,Jumlah Ternak Kambing,Jumlah Ternak DOMBA,Tahun 
Susukan, - , - , - , - , - , - ,2018
Purworejo Klampok, - , - , - , - , - , - ,2018
Mandiraja, - , - , - , - , - , - ,2018
Purwonegoro, - , - , - , - , - , - ,2018
B a w a n g, - , - , - , - , - , - ,2018
Banjarnegara, - , - , - , - , - , - ,2018
Pagedongan, - , - , - , - , - , - ,2018
S i g a l u h, - , - , - , - , - , - ,2018
Madukara, - ," 4,930 ", - , - ," 1,050 ", - ,2018
Banjarmangu, - , - , - , - , - , - ,2018
Wanadadi, - , - , - , - , - , - ,2018
R a k i t, - , - , - , - , - , - ,2018
Punggelan, - , - , - , - , - , - ,2018
Karangkobar, - , - , - , - , - , - ,2018
Pagentan, - , - , - , - , - , - ,2018
Pejawaran, - , - , - , - , - , - ,2018
B a t u r, - , - , - , - , - , - ,2018
Wanayasa, - , - , - , - , - , - ,2018
Kalibening, - , - , - , - , - , - ,2018
Pandanarum, - , - , - , - , - , - ,2018
Susukan, - , - , - , - , - , - ,2019
Purworejo Klampok, - , - , - , - , - , - ,2019
Mandiraja, - , - , - , - , - , - ,2019
Purwonegoro, - , - , - , - , - , - ,2019
B a w a n g, - , - , - , - , - , - ,2019
Banjarnegara, - , - , - , - , - , - ,2019
Pagedongan, - , - , - , - , - , - ,2019
S i g a l u h, - , - , - , - , - , - ,2019
Madukara, - , - , - , - , - , - ,2019
Banjarmangu, - , - , - , - , - , - ,2019
Wanadadi, - , - , - , - , - , - ,2019
R a k i t, - , - , - , - , - , - ,2019
Punggelan, - , - , - , - , - , - ,2019
Karangkobar, - , - , - , - , - , - ,2019
Pagentan, - , - , - , - , - , - ,2019
Pejawaran, - , - , - , - , - , - ,2019
B a t u r, - , - , - , - , - , - ,2019
Wanayasa, - , - , - , - , - , - ,2019
