Kecamatan,Hasil Obyek Perairan Umum Sungai,Sendiri,Lain daerah,Hasil Obyek Perairan Umum Waduk,Tahun
Banjarmangu,25618.52,0,0,0,2018
Banjarmangu,28117.7,0,0,,2019
Banjarmangu,31267,0,0,0,2020
Banjarmangu,29488,0,0,0,2021
Banjarmangu,17743,0,0,0,2022
Banjarmangu,21507.8,0,0,0,2023
Banjarmangu,0,0,0,0,2024
Banjarnegara,30302.95,0,0,0,2018
Banjarnegara,33259.1,0,0,,2019
Banjarnegara,36987,0,0,0,2020
Banjarnegara,34881,0,0,0,2021
Banjarnegara,20988,0,0,0,2022
Banjarnegara,25440.56,0,0,0,2023
Banjarnegara,0,0,0,0,2024
Bawang,16028.97,0,0,209934.36,2018
Bawang,17592.6,0,72172,230372,2019
Bawang,19563,0,0,253577,2020
Bawang,18450,0,0,221220,2021
Bawang,11103,0,0,156673,2022
Bawang,13456.98,0,0,89137.8,2023
Bawang,0,0,0,212914,2024
Kalibening,17263.62,0,0,0,2018
Kalibening,18947.7,0,0,,2019
Kalibening,21070,0,0,0,2020
Kalibening,19871,0,0,0,2021
Kalibening,11957,0,0,0,2022
Kalibening,14493.52,0,0,0,2023
Kalibening,67781,0,0,0,2024
Karangkobar,8877.08,0,0,0,2018
Karangkobar,9743.1,0,0,,2019
Karangkobar,10834,0,0,0,2020
Karangkobar,10218,0,0,0,2021
Karangkobar,6147,0,0,0,2022
Karangkobar,7452.67,0,0,0,2023
Karangkobar,0,0,0,0,2024
Madukara,14320.42,0,0,0,2018
Madukara,15717.4,0,0,,2019
Madukara,17478,0,0,0,2020
Madukara,16484,0,0,0,2021
Madukara,9918,0,0,0,2022
Madukara,12022.58,0,0,0,2023
Madukara,0,0,0,0,2024
Mandiraja,88137.85,0,0,0,2018
Mandiraja,96735.9,0,0,,2019
Mandiraja,107571,0,0,,2020
Mandiraja,101452,0,0,0,2021
Mandiraja,61048,0,0,0,2022
Mandiraja,73995.33,0,0,0,2023
Mandiraja,32465,0,0,0,2024
Pagedongan,9478.38,899,0,0,2018
Pagedongan,10403,1015,0,,2019
Pagedongan,11568,1235,0,0,2020
Pagedongan,10910,1381,0,0,2021
Pagedongan,6565,1081,0,0,2022
Pagedongan,7957.49,1381,0,0,2023
Pagedongan,0,0,0,0,2024
Pagentan,10301.21,0,0,0,2018
Pagentan,11306.1,0,0,,2019
Pagentan,12573,0,0,0,2020
Pagentan,11857,0,0,0,2021
Pagentan,7135,0,0,0,2022
Pagentan,8648.29,0,0,0,2023
Pagentan,0,0,0,0,2024
Pandanarum,9873.97,0,0,0,2018
Pandanarum,10837.2,0,0,,2019
Pandanarum,12051,0,0,0,2020
Pandanarum,11366,0,0,0,2021
Pandanarum,6838,0,0,0,2022
