Kecamatan, Hasil Obyek Perairan Umum Sungai Produksi (Kg),Hasil Obyek Perairan Umum Sungai Dipelihara Sendiri (Kg),Hasil Obyek Perairan Umum Sungai Dijual ke lain daerah (Kg),Hasil Obyek Perairan Umum Waduk Produksi (Kg),Hasil Obyek Perairan Umum Waduk Dipelihara Sendiri (Kg),Hasil Obyek Perairan Umum Waduk Dijual ke lain daerah (Kg),Hasil Obyek Perikanan Jaring Apung Produksi,Hasil Obyek Perikanan Jaring Apung dipelihara sendiri,Hasil Obyek Perikanan Jaring Apung dijual ke lain daerah ,Hasil Obyek Perairan Umum Telaga/Rawa Produksi ,Hasil Obyek Perairan Umum Telaga/Rawa dipelihara sendiri,Hasil Obyek Perairan Umum Telaga/Rawa dijual kelain daerah,Tahun 
Susukan,"31,869","22,308","9,561", - , - , - , - , - , - , - , - , - ,2018
Purwareja Klampok,"24,163","8,940","15,223", - , - , - , - , - , - , - , - , - ,2018
Mandiraja,"88,138","40,543","47,594", - , - , - , - , - , - , - , - , - ,2018
Purwanegara,"58,548","38,641","19,906", - , - , - , - , - , - , - , - , - ,2018
Bawang,"16,029","8,976","7,053","209,934","62,980","146,954"," 84,854 "," 7,210 "," 77,644 ", - , - , - ,2018
Banjarnegara,"30,303","14,545","15,758", - , - , - , - , - , - , - , - , - ,2018
Pagedongan,"9,478","6,256","3,223", - , - , - , - , - , - , 899 , 899 , - ,2018
Sigaluh,"13,513","5,000","8,513", - , - , - , - , - , - , - , - , - ,2018
Madukara,"14,320","14,320", - , - , - , - , - , - , - , - , - , - ,2018
Banjarmangu,"25,619","25,619", - , - , - , - , - , - , - , - , - , - ,2018
Wanadadi,"71,681","22,938","48,743","407,520","122,256","285,264"," 164,388 "," 29,997 "," 134,391 ", - , - , - ,2018
Rakit,"48,547","24,759","23,788", - , - , - , - , - , - , - , - , - ,2018
Punggelan,"19,036","13,706","5,330", - , - , - , - , - , - , - , - , - ,2018
Karangkobar,"8,877","4,172","4,705", - , - , - , - , - , - , - , - , - ,2018
Pagentan,"10,301","8,447","1,854", - , - , - , - , - , - , - , - , - ,2018
Pejawaran,"4,731","4,731", - , - , - , - , - , - , - , - , - , - ,2018
Batur,"2,263","2,263", - , - , - , - , - , - , - ," 1,876 "," 1,876 ", - ,2018
Wanayasa,"15,254","10,068","5,186", - , - , - , - , - , - , - , - , - ,2018
Kalibening,"17,264","12,085","5,179", - , - , - , - , - , - , - , - , - ,2018
Pandanarum,"9,874","9,874", - , - , - , - , - , - , - , - , - , - ,2018
Susukan,"34,978","24,484","10,493", - , - , - , - , - , - , - , - , - ,2019
Purwareja Klampok,"26,520","9,812","16,708", - , - , - , - , - , - , - , - , - ,2019
Mandiraja,"96,736","44,498","52,237", - , - , - , - , - , - , - , - , - ,2019
Purwanegara,"64,259","42,411","21,848", - , - , - , - , - , - , - , - , - ,2019
Bawang,"17,593","9,852","7,741","230,372","69,112","161,260"," 79,382 "," 7,210 "," 72,172 ", - , - , - ,2019
Banjarnegara,"33,259","15,964","17,295", - , - , - , - , - , - , - , - , - ,2019
Pagedongan,"10,403","6,866","3,537", - , - , - , - ," 3,111 ", - ," 1,015 "," 1,015 ", - ,2019
Sigaluh,"14,832","5,488","9,344", - , - , - , - , - , - , - , - , - ,2019
Madukara,"15,717","15,717", - , - , - , - , - , - , - , - , - , - ,2019
Banjarmangu,"28,118","28,118", - , - , - , - , - , - , - , - , - , - ,2019
Wanadadi,"78,674","25,176","53,498","447,193","134,158","313,035"," 153,789 "," 19,398 "," 134,391 ", - , - , - ,2019
Rakit,"53,283","27,174","26,109", - , - , - , - , - , - , - , - , - ,2019
Punggelan,"20,893","15,043","5,850", - , - , - , - , - , - , - , - , - ,2019
Karangkobar,"9,743","4,579","5,164", - , - , - , - , - , - , - , - , - ,2019
Pagentan,"11,306","9,271","2,035", - , - , - , - , - , - , - , - , - ,2019
