Kecamatan,Sendiri,Lain Daerah,Tahun
Banjarmangu,0,912317.75,2018
Banjarmangu,572999,383881,2019
Banjarmangu,516334.33,345918.05,2020
Banjarmangu,563160.46,377289.21,2021
Banjarmangu,603872.05,404563.93,2022
Banjarmangu,607961.23,407303.48,2023
Banjarmangu,603707.12,404453.43,2024
Banjarnegara,0,1812263.36,2018
Banjarnegara,1409175,491608,2019
Banjarnegara,947543.45,330562.43,2020
Banjarnegara,1033475.75,360540.99,2021
Banjarnegara,1108187.04,386604.96,2022
Banjarnegara,1115691.24,389222.9,2023
Banjarnegara,1107884.37,386499.37,2024
Bawang,0,5348025.4,2018
Bawang,1512258,4096993,2019
Bawang,859033.68,2327285.58,2020
Bawang,936939.07,2538346.1,2021
Bawang,1004671.59,2721846.38,2022
Bawang,1011474.83,2740277.66,2023
Bawang,1004397.2,2721103,2024
Kalibening,0,135251.73,2018
Kalibening,101739,40120,2019
Kalibening,347064.7,136861.36,2020
Kalibening,378539.84,149273.26,2021
Kalibening,405904.97,160064.41,2022
Kalibening,408653.6,161148.31,2023
Kalibening,405794.11,160020.7,2024
Karangkobar,0,493970.79,2018
Karangkobar,383151,134948,2019
Karangkobar,348520.93,122750.61,2020
Karangkobar,380128.15,133882.81,2021
Karangkobar,407608.09,143561.37,2022
Karangkobar,410368.26,144533.51,2023
Karangkobar,407496.77,143522.16,2024
Madukara,0,1440915.92,2018
Madukara,617150,894148,2019
Madukara,644876.82,934319.21,2020
Madukara,703360.42,1019052.21,2021
Madukara,754207.25,1092720.79,2022
Madukara,759314.44,1100120.27,2023
Madukara,754001.26,1092422.35,2024
Mandiraja,0,3507576.98,2018
Mandiraja,896451,2782454,2019
Mandiraja,500282.31,1552803.44,2020
Mandiraja,545652.69,1693626.51,2021
Mandiraja,585098.62,1816060.93,2022
Mandiraja,589060.68,1828358.58,2023
Mandiraja,584938.82,1815564.93,2024
Pagedongan,0,1685247.52,2018
Pagedongan,748143,1019421,2019
Pagedongan,352399.68,480180.05,2020
Pagedongan,384358.65,523727.37,2021
Pagedongan,412144.43,561588.29,2022
Pagedongan,414935.31,565391.14,2023
Pagedongan,412031.86,561434.91,2024
Pagentan,0,179908.59,2018
Pagentan,17084,171612,2019
Pagentan,46540.31,467494.77,2020
Pagentan,50761.03,509891.66,2021
Pagentan,54430.61,546752.38,2022
Pagentan,54799.19,550454.77,2023
Pagentan,54415.74,546603.05,2024
Pandanarum,0,78698.57,2018
Pandanarum,82543,,2019
Pandanarum,97308.85,0,2020
Pandanarum,106133.74,0,2021
Pandanarum,113806.29,0,2022
Pandanarum,114576.94,0,2023
Pandanarum,113775.2,0,2024
Pejawaran,0,268673.26,2018
Pejawaran,169884,111912,2019
Pejawaran,281480.59,185427.33,2020
Pejawaran,307007.94,202243.65,2021
Pejawaran,329201.94,216864.1,2022
Pejawaran,331431.17,218332.62,2023
Pejawaran,329112.03,216804.87,2024
Punggelan,0,1326418.65,2018
Punggelan,143471,1247737,2019
Punggelan,219602.94,1909846.26,2020
Punggelan,239518.63,2083049.38,2021
Punggelan,256833.74,2233635.68,2022
Punggelan,258572.92,2248760.99,2023
Punggelan,256763.59,2233025.64,2024
Purwonegoro,0,5817206.14,2018
Purwonegoro,1644047,4457301,2019
Purwonegoro,3347169.03,9074763.39,2020
Purwonegoro,3650722.33,9897749.73,2021
Purwonegoro,3914637.71,10613270.7,2022
Purwonegoro,3941146.1,10685139.6,2023
Purwonegoro,3913568.55,10610372.03,2024
Rakit,0,2057162.33,2018
Rakit,1280754,876891,2019
Rakit,2084075.04,1426897.96,2020
Rakit,2273078.89,1556302.71,2021
Rakit,2437402.67,1668809.82,2022
Rakit,2453907.8,1680110.35,2023
Rakit,2436736.97,1668354.04,2024
Sigaluh,0,374275.76,2018
Sigaluh,202517,190040,2019
Sigaluh,252580.29,237018.48,2020
Sigaluh,275486.69,258513.58,2021
Sigaluh,295401.98,277201.85,2022
Sigaluh,297402.32,279078.96,2023
Sigaluh,295321.3,277126.15,2024
Susukan,0,491591.53,2018
Susukan,454560,61043,2019
Susukan,123873.67,16635.06,2020
Susukan,135107.72,18143.69,2021
Susukan,144874.83,19455.32,2022
Susukan,145855.87,19587.06,2023
Susukan,144835.27,19450.01,2024
Wanadadi,0,2122500.44,2018
Wanadadi,1151201,1074974,2019
Wanadadi,1048153.93,978750.07,2020
Wanadadi,1143210.56,1067512.48,2021
Wanadadi,1225854.71,1144684.32,2022
Wanadadi,1234155.71,1152435.68,2023
Wanadadi,1225519.9,1144371.69,2024
Wanayasa,0,360915.3,2018
Wanayasa,139939,238606,2019
Wanayasa,389569.74,664245.8,2020
Wanayasa,424899.65,724485.96,2021
Wanayasa,455616.19,776859.97,2022
Wanayasa,458701.44,782120.56,2023
Wanayasa,455491.75,776647.8,2024
Batur,0,27086.95,2018
Batur,28410,,2019
Batur,10036.34,0,2020
Batur,10946.53,0,2021
Batur,11737.87,0,2022
Batur,11817.35,0,2023
Batur,11734.66,0,2024
Purworejo Klp.,0,1310624.03,2018
Jumlah,0,29750631,2018
Purworejo Klp.,1211896,162746,2019
Jumlah,12767372,18436435,2019
Purworejo Klp.,915588.03,122954.81,2020
Jumlah,13332034.65,21314714.64,2020
Purworejo Klp.,998622.31,134105.53,2021
Jumlah,14541111.07,23247736.83,2021
Purworejo Klp.,1070813.99,143800.19,2022
Jumlah,15592306.56,24928345.41,2022
Purworejo Klp.,1078065.13,144773.95,2023
Jumlah,15697891.53,25097150.37,2023
Purworejo Klp.,1070521.54,143760.92,2024
Jumlah,15588048.02,24921537.04,2024
