Kecamatan,Hasil Obyek Perikanan Sawah (Minapadi) Produksi,Di pelihara Sendiri,Dijual ke Lain Daerah,Produksi,Hasil Obyek Balai Benih Ikan (BBI) Produksi,Dipelihara Sendiri,Tahun
Banjarmangu,0,0,0,1300,0,,2018
Banjarmangu,,0,,,,,2019
Banjarmangu,0,0,0,0,0,0,2020
Banjarmangu,0,0,0,0,0,,2021
Banjarmangu,0,0,0,0,0,,2022
Banjarmangu,0,0,0,0,0,,2023
Banjarmangu,0,0,0,0,0,,2024
Banjarnegara,0,0,0,650,0,,2018
Banjarnegara,,0,,,,,2019
Banjarnegara,0,0,0,0,0,0,2020
Banjarnegara,0,0,0,0,0,,2021
Banjarnegara,0,0,0,0,0,,2022
Banjarnegara,0,0,0,0,0,,2023
Banjarnegara,0,0,0,0,0,,2024
Bawang,1203041,0,5620000,18200,5620000,,2018
Bawang,1203041,1840,6595000,19600,6595000,,2019
Bawang,0,0,0,14030,0,0,2020
Bawang,0,0,0,14030,0,,2021
Bawang,0,0,7703000,0,7703000,,2022
Bawang,0,4350000,0,0,4350000,,2023
Bawang,0,0,0,0,0,,2024
Kalibening,0,0,0,0,0,,2018
Kalibening,0,0,0,0,0,0,2020
Kalibening,0,0,0,0,0,,2021
Kalibening,0,0,0,0,0,,2022
Kalibening,0,0,0,0,0,,2023
Kalibening,0,0,0,0,0,,2024
Karangkobar,0,0,0,0,0,,2018
Karangkobar,0,0,0,0,0,0,2020
Karangkobar,0,0,0,0,0,,2021
Karangkobar,0,0,0,0,0,,2022
Karangkobar,0,0,0,0,0,,2023
Karangkobar,0,0,0,0,0,,2024
Madukara,0,0,0,0,0,,2018
Madukara,,0,,,,,2019
Madukara,0,0,0,0,0,0,2020
Madukara,0,0,0,0,0,,2021
Madukara,0,0,0,0,0,,2022
Madukara,0,0,0,0,0,,2023
Madukara,0,0,0,0,0,,2024
Mandiraja,2783897,0,0,12350.01,0,,2018
Mandiraja,2783897,2198,15302,17500,,,2019
Mandiraja,0,0,0,16299,0,0,2020
Mandiraja,0,0,0,16299,0,,2021
Mandiraja,0,0,0,27390.26,0,,2022
Mandiraja,0,0,0,19291.93,0,,2023
Mandiraja,0,0,0,9083.33,0,,2024
Pagedongan,0,0,0,650,0,,2018
Pagedongan,,0,,,,,2019
Pagedongan,0,0,0,0,0,0,2020
Pagedongan,0,0,0,0,0,,2021
Pagedongan,0,0,0,0,0,,2022
Pagedongan,0,0,0,0,0,,2023
Pagedongan,0,0,0,0,0,,2024
Pagentan,0,0,0,0,0,,2018
Pagentan,0,0,0,0,0,0,2020
Pagentan,0,0,0,0,0,,2021
Pagentan,0,0,0,0,0,,2022
Pagentan,0,0,0,0,0,,2023
Pagentan,0,0,0,0,0,,2024
Pandanarum,0,0,0,0,0,,2018
Pandanarum,0,0,0,0,0,0,2020
Pandanarum,0,0,0,0,0,,2021
Pandanarum,0,0,0,0,0,,2022
Pandanarum,0,0,0,0,0,,2023
Pandanarum,0,0,0,0,0,,2024
Pejawaran,0,0,0,0,0,,2018
Pejawaran,0,0,0,0,0,0,2020
Pejawaran,0,0,0,0,0,,2021
Pejawaran,0,0,0,0,0,,2022
Pejawaran,0,0,0,0,0,,2023
Pejawaran,0,0,0,0,0,,2024
Punggelan,0,0,0,0,0,,2018
Punggelan,0,0,0,0,0,0,2020
Punggelan,0,0,0,0,0,,2021
Punggelan,0,0,0,0,0,,2022
Punggelan,0,0,0,0,0,,2023
Punggelan,0,0,0,0,0,,2024
Purwonegoro,6054977,0,0,55510,0,,2018
Purwonegoro,6054977,5439,55741,61180,,,2019
Purwonegoro,0,0,0,55795,0,0,2020
Purwonegoro,0,0,0,55795,0,,2021
Purwonegoro,0,0,0,17909.02,0,,2022
Purwonegoro,0,0,0,3858.39,0,,2023
Purwonegoro,0,0,0,1816.67,0,,2024
Rakit,1212984,0,0,28600,0,,2018
Rakit,1212984,3150,24850,28000,,,2019
Rakit,0,0,0,1000,0,0,2020
Rakit,0,0,0,1000,0,,2021
Rakit,0,0,0,0,0,,2022
Rakit,0,0,0,0,0,,2023
Rakit,0,0,0,0,0,,2024
Sigaluh,0,0,0,0,0,,2018
Sigaluh,0,0,0,0,0,0,2020
Sigaluh,0,0,0,0,0,,2021
Sigaluh,0,0,0,0,0,,2022
Sigaluh,0,0,0,0,0,,2023
Sigaluh,0,0,0,0,0,,2024
Susukan,0,0,0,6500,0,,2018
Susukan,,692,6308,7000,,,2019
Susukan,0,0,0,0,0,0,2020
Susukan,0,0,0,0,0,,2021
Susukan,0,0,0,0,0,,2022
Susukan,0,0,0,0,0,,2023
Susukan,0,0,0,0,0,,2024
Wanadadi,0,0,0,0,0,,2018
Wanadadi,0,0,0,0,0,0,2020
Wanadadi,0,0,0,0,0,,2021
Wanadadi,0,0,0,0,0,,2022
Wanadadi,0,0,0,0,0,,2023
Wanadadi,0,0,0,0,0,,2024
Wanayasa,0,0,0,0,0,,2018
Wanayasa,0,0,0,0,0,0,2020
Wanayasa,0,0,0,0,0,,2021
Wanayasa,0,0,0,0,0,,2022
Wanayasa,0,0,0,0,0,,2023
