Kecamatan,Kambing,Domba,Babi,Kelinci,Tahun
Banjarmangu,19357,683,0,1068,2018
Banjarmangu,17735,526,,943,2019
Banjarmangu,17245,583,0,1041,2020
Banjarmangu,18304,597.59,0,1049,2021
Banjarmangu,18397,620,0,1029,2022
Banjarmangu,18802,627,,994,2023
Banjarmangu,9029,1092,,580,2024
Banjarnegara,4847,533,33,1978,2018
Banjarnegara,4783,520,,2131,2019
Banjarnegara,4936,539,0,3386,2020
Banjarnegara,5239,552.49,0,3413,2021
Banjarnegara,5274,587,0,3404,2022
Banjarnegara,5390,594,,3288,2023
Banjarnegara,3453,3139,,341,2024
Bawang,4623,788,0,812,2018
Bawang,4715,876,,838,2019
Bawang,4899,976,0,838,2020
Bawang,5200,1000.43,0,845,2021
Bawang,5243,1103,0,849,2022
Bawang,5358,1116,,820,2023
Bawang,8283,3007,3,1355,2024
Kalibening,5847,5209,0,376,2018
Kalibening,7266,3469,,348,2019
Kalibening,9457,3566,0,184,2020
Kalibening,10038,3655.25,0,185,2021
Kalibening,10059,3678,,194,2022
Kalibening,10280,3722,,187,2023
Kalibening,14599,4974,,795,2024
Karangkobar,26815,13426,0,130,2018
Karangkobar,26815,13426,,130,2019
Karangkobar,27861,14957,0,130,2020
Karangkobar,29572,15331.35,0,131,2021
Karangkobar,29664,15422,0,135,2022
Karangkobar,30317,15601,,130,2023
Karangkobar,12933,933,,582,2024
Madukara,9069,1840,0,708,2018
Madukara,9273,1851,10,1287,2019
Madukara,9645,2062,10,1287,2020
Madukara,10227,2113.61,10,1297,2021
Madukara,10303,2190,9,1286,2022
Madukara,10530,2215,9,1242,2023
Madukara,5178,1073,,1043,2024
Mandiraja,7160,360,0,710,2018
Mandiraja,8070,421,12,746,2019
Mandiraja,8034,485,11,859,2020
Mandiraja,8527,497.14,11,866,2021
Mandiraja,8575,519,10,847,2022
Mandiraja,8764,525,9,818,2023
Mandiraja,9324,1456,14,1272,2024
Pagedongan,2671,163,0,301,2018
Pagedongan,1395,148,,344,2019
Pagedongan,1379,226,0,460,2020
Pagedongan,1464,231.66,0,464,2021
Pagedongan,1511,253,0,467,2022
Pagedongan,1544,256,,451,2023
Pagedongan,9393,884,,474,2024
Pagentan,21881,5279,0,846,2018
Pagentan,21641,5306,,872,2019
Pagentan,21821,5154,0,924,2020
Pagentan,23161,5283,0,931,2021
Pagentan,23237,5303,,932,2022
Pagentan,23748,5365,,900,2023
Pagentan,17874,3310,,542,2024
Pandanarum,6232,36,0,107,2018
Pandanarum,9527,5,,580,2019
Pandanarum,9874,0,0,437,2020
Pandanarum,10480,0,0,440,2021
Pandanarum,10501,0,,447,2022
Pandanarum,10732,0,,432,2023
Pandanarum,8940,558,,55,2024
Pejawaran,5381,9237,0,4064,2018
Pejawaran,8295,17922,,6614,2019
Pejawaran,8619,19966,0,6614,2020
Pejawaran,9148,20465.72,0,6666,2021
Pejawaran,9229,20487,,6602,2022
Pejawaran,9432,20725,,6376,2023
Pejawaran,11501,10057,,433,2024
Punggelan,22702,718,0,1119,2018
Punggelan,22165,853,,575,2019
Punggelan,23029,950,0,575,2020
Punggelan,24443,973.78,0,579,2021
Punggelan,24531,1041,0,581,2022
Punggelan,25070,1053,,561,2023
Punggelan,24644,2589,20,483,2024
Purwonegoro,14917,136,59,628,2018
Purwonegoro,14917,136,59,628,2019
Purwonegoro,15499,152,59,628,2020
Purwonegoro,16451,155.8,59,633,2021
Purwonegoro,16549,166,58,622,2022
Purwonegoro,16913,168,56,601,2023
Purwonegoro,18165,1426,,1055,2024
Purworejo Klampok,3219,39,123,540,2018
Purworejo Klampok,3239,23,134,469,2019
Purworejo Klampok,3365,26,134,469,2020
Purworejo Klampok,3572,26.65,135,473,2021
Purworejo Klampok,3626,37,133,452,2022
Purworejo Klampok,3706,37,127,437,2023
Purworejo Klampok,4853,987,32,856,2024
Rakit,3640,1061,0,528,2018
Rakit,3135,943,,534,2019
Rakit,3101,1056,0,638,2020
Rakit,3291,1082.43,0,643,2021
Rakit,3351,1160,0,649,2022
Rakit,3425,1173,,627,2023
Rakit,6120,2880,,379,2024
Sigaluh,5221,347,50,983,2018
Sigaluh,5221,347,50,983,2019
Sigaluh,5425,387,50,983,2020
Sigaluh,5758,396.69,50,991,2021
Sigaluh,5787,414,49,995,2022
Sigaluh,5914,419,47,961,2023
Sigaluh,5447,2332,,863,2024
Susukan,10848,68,0,992,2018
Susukan,9665,105,,1171,2019
Susukan,10018,115,0,1177,2020
Susukan,10633,117.88,0,1186,2021
Susukan,10688,141,0,1189,2022
Susukan,10923,143,,1148,2023
Susukan,13119,331,,497,2024
Wanadadi,702,29,0,240,2018
Wanadadi,646,51,,142,2019
Wanadadi,671,57,0,142,2020
Wanadadi,712,58.43,0,143,2021
Wanadadi,792,68,0,150,2022
Wanadadi,809,69,,145,2023
Wanadadi,2980,1964,,332,2024
Wanayasa,14032,8350,0,630,2018
Wanayasa,12529,12342,,536,2019
Wanayasa,12301,11874,0,571,2020
Wanayasa,13056,12171.19,0,575,2021
Wanayasa,13072,12212,,583,2022
Wanayasa,13360,12354,,563,2023
Wanayasa,18787,2952,,395,2024
Batur,0,7660,0,404,2018
Batur,,4731,,,2019
Batur,0,5271,0,0,2020
Batur,0,5402.93,0,0,2021
Batur,0,5428,,0,2022
Batur,0,5491,,0,2023
Batur,996,6327,,29,2024
Jumlah,189164,55962,265,17164,2018
Jumlah,191032,64001,265,19871,2019
Jumlah,197179,68402,264,21343,2020
Jumlah,209276,70114,265,21510,2021
Jumlah,210389,70829,259,21413,2022
Jumlah,215017,71653,,20681,2023
Jumlah,205618,52271,69,12361,2024
