Kecamatan , Jenis Ternak Sapi Cow,Jenis Ternak Kerbau Buffalow,Jenis Ternak Babi Pig,Jenis Ternak Kambing Goat,Jenis Ternak Domba Sheep,Tahun 
Susukan, 90 , - , - , 348 , - ,2018
Purworejo Klampok, 93 , - , - , 293 , 1 ,2018
Mandiraja, 132 , - , - , 347 , 21 ,2018
Purwonegoro, 250 , - , - , 144 , 28 ,2018
B a w a n g, 268 , - , - , 205 , 172 ,2018
Banjarnegara, 333 , - , - , 177 , 125 ,2018
Pagedongan, 60 , - , - , 244 , 52 ,2018
S i g a l u h, 136 , - , - , 173 , 22 ,2018
Madukara, 183 , - , - , 334 , 10 ,2018
Banjarmangu, 280 , - , - , 126 , 1 ,2018
Wanadadi, 313 , - , - , 134 , 8 ,2018
R a k i t, 159 , - , - , 189 , 8 ,2018
Punggelan, 268 , - , - , 455 , 48 ,2018
Karangkobar, 123 , - , - , 247 , 102 ,2018
Pagentan, 226 , - , - , 165 , 3 ,2018
Pejawaran, 385 , - , - , 34 , 88 ,2018
B a t u r, 408 , - , - , - , 463 ,2018
Wanayasa, 243 , - , - , 159 , 232 ,2018
Kalibening, 243 , - , - , 308 , 377 ,2018
Pandanarum, 128 , - , - , 394 , 4 ,2018
Susukan, - , - , - , - , - ,2019
Purworejo Klampok, - , - , - , - , - ,2019
Mandiraja, - , - , - , - , - ,2019
Purwonegoro, - , - , - , - , - ,2019
B a w a n g, - , - , - , - , - ,2019
Banjarnegara, - , - , - , - , - ,2019
Pagedongan, - , - , - , - , - ,2019
S i g a l u h, - , - , - , - , - ,2019
Madukara, - , - , - , - , - ,2019
Banjarmangu, - , - , - , - , - ,2019
Wanadadi, - , - , - , - , - ,2019
R a k i t, - , - , - , - , - ,2019
Punggelan, - , - , - , - , - ,2019
Karangkobar, - , - , - , - , - ,2019
Pagentan, - , - , - , - , - ,2019
Pejawaran, - , - , - , - , - ,2019
B a t u r, - , - , - , - , - ,2019
Wanayasa, - , - , - , - , - ,2019
Kalibening, - , - , - , - , - ,2019
Pandanarum, - , - , - , - , - ,2019
Susukan, 98 , - , - , 713 , 8 ,2020
Purworejo Klampok, 75 , - , - , 294 , 4 ,2020
Mandiraja, 181 , - , - , 523 , 43 ,2020
Purwonegoro, 326 , - , - , 845 , 51 ,2020
B a w a n g, 297 , - , - , 393 , 52 ,2020
Banjarnegara, 364 , - , - , 415 , 61 ,2020
Pagedongan, 73 , - , - , 177 , 147 ,2020
S i g a l u h, 166 , - , - , 282 , 17 ,2020
Madukara, 163 , - , - , 438 , 69 ,2020
Banjarmangu, 307 , - , - , 637 , 17 ,2020
Wanadadi, 321 , - , - , 207 , 7 ,2020
R a k i t, 181 , - , - , 251 , 18 ,2020
Punggelan, 391 , - , - ," 1,360 ", 26 ,2020
Karangkobar, 118 , - , - , 978 , 270 ,2020
Pagentan, 252 , - , - , 775 , 54 ,2020
Pejawaran, 415 , - , - , 311 , 332 ,2020
B a t u r, 449 , - , - , - , 511 ,2020
Wanayasa, 302 , - , - , 527 , 403 ,2020
Kalibening, 219 , - , - , 308 , 574 ,2020
Pandanarum, 166 , - , - , 687 , - ,2020
Susukan, 118 , - , - , 246 , 20 ,2021
Purworejo Klampok, 96 , - , - , 234 , - ,2021
Mandiraja, 182 , - , - , 240 , 50 ,2021
Purwonegoro, 346 , - , - , 286 , 62 ,2021
B a w a n g, 347 , - , - , 354 , 66 ,2021
Banjarnegara, 467 , - , - , 268 , 36 ,2021
Pagedongan, 135 , - , - , 271 , 82 ,2021
S i g a l u h, 175 , - , - , 195 , - ,2021
Madukara, 220 , - , - , 322 , - ,2021
Banjarmangu, 368 , - , - , 177 , - ,2021
Wanadadi, 388 , - , - , 156 , 1 ,2021
R a k i t, 242 , - , - , 203 , 20 ,2021
Punggelan, 542 , - , - , 686 , 26 ,2021
Karangkobar, 154 , - , - , 234 , 63 ,2021
Pagentan, 297 , - , - , 168 , 13 ,2021
Pejawaran, 471 , - , - , 52 , 94 ,2021
B a t u r, 498 , - , - , - , 425 ,2021
Wanayasa, 331 , - , - , 260 , 212 ,2021
Kalibening, 235 , - , - , 471 , - ,2021
Pandanarum, 193 , - , - , 294 , - ,2021
Susukan, - , - , - , - , - ,2022
Purworejo Klampok, - , - , - , - , - ,2022
Mandiraja, - , - , - , - , - ,2022
Purwonegoro, - , - , - , - , - ,2022
B a w a n g, - , - , - , - , - ,2022
Banjarnegara, - , - , - , - , - ,2022
Pagedongan, - , - , - , - , - ,2022
S i g a l u h, - , - , - , - , - ,2022
Madukara, - , - , - , - , - ,2022
Banjarmangu, - , - , - , - , - ,2022
Wanadadi, - , - , - , - , - ,2022
R a k i t, - , - , - , - , - ,2022
Punggelan, - , - , - , - , - ,2022
Karangkobar, - , - , - , - , - ,2022
Pagentan, - , - , - , - , - ,2022
Pejawaran, - , - , - , - , - ,2022
B a t u r, - , - , - , - , - ,2022
Wanayasa, - , - , - , - , - ,2022
Kalibening, - , - , - , - , - ,2022
Pandanarum, - , - , - , - , - ,2022
Susukan, 129 , - , - , 365 , - ,2023
Purworejo Klampok, 107 , - , - , 289 , 5 ,2023
Mandiraja, 129 , - , - , 267 , 2 ,2023
Purwonegoro, 347 , - , - , 231 , 28 ,2023
B a w a n g, 363 , - , - , 146 , 216 ,2023
Banjarnegara, 355 , - , - , 187 , 43 ,2023
Pagedongan, 128 , - , - , 257 , 5 ,2023
S i g a l u h, 173 , - , - , 85 , - ,2023
Madukara, 252 , - , - , - , 5 ,2023
Banjarmangu, 341 , 1 , - , 149 , 12 ,2023
Wanadadi, 376 , - , - , 188 , - ,2023
R a k i t, 196 , - , - , 230 , 38 ,2023
Punggelan, 545 , - , - , 662 , 1 ,2023
Karangkobar, 163 , - , - , 166 , 68 ,2023
