Kecamatan,Sapi,Kerbau,Babi,Kambing,Domba,Tahun
Banjarmangu,280,0,0,126,1,2018
Banjarmangu,307,0,0,637,17,2020
Banjarmangu,368,0,0,177,0,2021
Banjarmangu,341,1,0,149,12,2023
Banjarmangu,328,0,0,188,66,2024
Banjarnegara,333,0,0,177,125,2018
Banjarnegara,364,0,0,415,61,2020
Banjarnegara,467,0,0,268,36,2021
Banjarnegara,355,0,0,187,43,2023
Banjarnegara,410,0,0,496,185,2024
Bawang,268,0,0,205,172,2018
Bawang,297,0,0,393,52,2020
Bawang,347,0,0,354,66,2021
Bawang,363,0,0,146,216,2023
Bawang,350,0,0,381,153,2024
Kalibening,243,0,0,308,377,2018
Kalibening,219,0,0,308,574,2020
Kalibening,235,0,0,471,0,2021
Kalibening,343,0,0,250,263,2023
Kalibening,332,0,0,240,507,2024
Karangkobar,123,0,0,247,102,2018
Karangkobar,118,0,0,978,270,2020
Karangkobar,154,0,0,234,63,2021
Karangkobar,163,0,0,166,68,2023
Karangkobar,165,0,0,225,193,2024
Madukara,183,0,0,334,10,2018
Madukara,163,0,0,438,69,2020
Madukara,220,0,0,322,0,2021
Madukara,252,0,0,0,5,2023
Madukara,252,0,0,368,93,2024
Mandiraja,132,0,0,347,21,2018
Mandiraja,181,0,0,523,43,2020
Mandiraja,182,0,0,240,50,2021
Mandiraja,129,0,0,267,2,2023
Mandiraja,179,0,0,636,90,2024
Pagedongan,60,0,0,244,52,2018
Pagedongan,73,0,0,177,147,2020
Pagedongan,135,0,0,271,82,2021
Pagedongan,128,0,0,257,5,2023
Pagedongan,143,0,0,355,67,2024
Pagentan,226,0,0,165,3,2018
Pagentan,252,0,0,775,54,2020
Pagentan,297,0,0,168,13,2021
Pagentan,317,0,0,103,8,2023
Pagentan,254,0,0,139,48,2024
Pandanarum,128,0,0,394,4,2018
Pandanarum,166,0,0,687,0,2020
Pandanarum,193,0,0,294,0,2021
Pandanarum,242,0,0,223,1,2023
Pandanarum,232,0,0,309,73,2024
Pejawaran,385,0,0,34,88,2018
Pejawaran,415,0,0,311,332,2020
Pejawaran,471,0,0,52,94,2021
Pejawaran,471,0,0,19,112,2023
Pejawaran,449,0,0,150,197,2024
Punggelan,268,0,0,455,48,2018
Punggelan,391,0,0,1360,26,2020
Punggelan,542,0,0,686,26,2021
Punggelan,545,0,0,662,1,2023
Punggelan,598,0,0,755,68,2024
Purwonegoro,250,0,0,144,28,2018
Purwonegoro,326,0,0,845,51,2020
Purwonegoro,346,0,0,286,62,2021
Purwonegoro,347,0,0,231,28,2023
Purwonegoro,397,0,0,398,160,2024
Purworejo Klampok,93,0,0,293,1,2018
Purworejo Klampok,75,0,0,294,4,2020
Purworejo Klampok,96,0,0,234,0,2021
Purworejo Klampok,107,0,0,289,5,2023
Purworejo Klampok,93,0,0,586,33,2024
Rakit,159,0,0,189,8,2018
Rakit,181,0,0,251,18,2020
Rakit,242,0,0,203,20,2021
Rakit,196,0,0,230,38,2023
Rakit,220,0,0,331,65,2024
Sigaluh,136,0,0,173,22,2018
Sigaluh,166,0,0,282,17,2020
Sigaluh,175,0,0,195,0,2021
Sigaluh,173,0,0,85,0,2023
Sigaluh,188,0,0,258,69,2024
Susukan,90,0,0,348,0,2018
Susukan,98,0,0,713,8,2020
Susukan,118,0,0,246,20,2021
Susukan,129,0,0,365,0,2023
Susukan,98,0,0,329,49,2024
Wanadadi,313,0,0,134,8,2018
Wanadadi,321,0,0,207,7,2020
Wanadadi,388,0,0,156,1,2021
Wanadadi,376,0,0,188,0,2023
Wanadadi,376,0,0,294,70,2024
Wanayasa,243,0,0,159,232,2018
Wanayasa,302,0,0,527,403,2020
Wanayasa,331,0,0,260,212,2021
Wanayasa,346,0,0,166,240,2023
Wanayasa,363,0,0,261,299,2024
Batur,408,0,0,0,463,2018
Batur,449,0,0,0,511,2020
Batur,498,0,0,0,425,2021
Batur,500,0,0,0,537,2023
Batur,502,0,0,0,663,2024
Jumlah,4321,0,0,4476,1765,2018
Jumlah,4864,0,0,10121,2664,2020
Jumlah,5805,0,0,5117,1170,2021
Jumlah,0,0,0,0,0,2022
Jumlah,5823,0,0,3983,1584,2023
Jumlah,5929,0,0,6699,3148,2024
