Kecamatan,Sapi Perah,Sapi,Kerbau,Kuda,Tahun
Banjarmangu,0,242,114,0,2018
Banjarmangu,,223,85,,2019
Banjarmangu,0,246,99,0,2020
Banjarmangu,0,262,99,0,2021
Banjarmangu,0,235,97,0,2022
Banjarmangu,0,181,59,0,2023
Banjarmangu,1,350,28,0,2024
Banjarnegara,18,953,70,51,2018
Banjarnegara,20,917,48,42,2019
Banjarnegara,21,1065,37,44,2020
Banjarnegara,21,1134,37,44,2021
Banjarnegara,18,1015,36,44,2022
Banjarnegara,16,781,22,44,2023
Banjarnegara,5,1329,15,44,2024
Bawang,0,2861,3,7,2018
Bawang,,2591,3,6,2019
Bawang,0,3006,3,6,2020
Bawang,0,3198,3,6,2021
Bawang,0,2871,3,6,2022
Bawang,0,2211,2,6,2023
Bawang,0,2375,0,6,2024
Kalibening,1,3970,176,0,2018
Kalibening,,4015,75,,2019
Kalibening,0,3461,63,0,2020
Kalibening,0,3687,63,0,2021
Kalibening,0,3315,63,0,2022
Kalibening,0,2551,38,0,2023
Kalibening,0,1827,21,0,2024
Karangkobar,16,3167,45,0,2018
Karangkobar,16,3167,45,,2019
Karangkobar,16,3674,45,0,2020
Karangkobar,16,3914,45,0,2021
Karangkobar,10,3520,45,0,2022
Karangkobar,9,2709,27,0,2023
Karangkobar,0,696,4,0,2024
Madukara,0,648,17,4,2018
Madukara,,708,11,4,2019
Madukara,0,821,11,4,2020
Madukara,0,875,11,4,2021
Madukara,0,680,11,4,2022
Madukara,0,523,7,4,2023
Madukara,0,872,2,4,2024
Mandiraja,0,775,12,0,2018
Mandiraja,,687,12,1,2019
Mandiraja,0,882,3,1,2020
Mandiraja,0,940,3,1,2021
Mandiraja,0,846,3,1,2022
Mandiraja,0,651,2,1,2023
Mandiraja,7,705,4,1,2024
Pagedongan,0,234,7,0,2018
Pagedongan,,231,8,,2019
Pagedongan,0,303,6,0,2020
Pagedongan,0,323,6,0,2021
Pagedongan,0,290,6,0,2022
Pagedongan,0,223,4,0,2023
Pagedongan,0,469,0,0,2024
Pagentan,0,2816,0,0,2018
Pagentan,,2824,,,2019
Pagentan,0,3260,0,0,2020
Pagentan,0,3473,0,0,2021
Pagentan,0,3120,0,0,2022
Pagentan,0,2401,0,0,2023
Pagentan,0,1420,0,0,2024
Pandanarum,0,3429,120,0,2018
Pandanarum,,2365,16,,2019
Pandanarum,0,2654,8,0,2020
Pandanarum,0,2827,8,0,2021
Pandanarum,0,2529,8,0,2022
Pandanarum,0,1946,5,0,2023
Pandanarum,0,2810,17,0,2024
Pejawaran,111,1275,0,0,2018
Pejawaran,307,962,,,2019
Pejawaran,307,1116,0,0,2020
Pejawaran,313,1189,0,0,2021
Pejawaran,262,1060,0,0,2022
Pejawaran,234,816,0,0,2023
Pejawaran,52,1216,0,0,2024
Punggelan,0,1102,72,0,2018
Punggelan,,1139,73,,2019
Punggelan,0,1321,73,0,2020
Punggelan,0,1407,73,0,2021
Punggelan,0,1266,73,0,2022
Punggelan,0,974,44,0,2023
Punggelan,0,1084,12,0,2024
Purwonegoro,0,1412,41,0,2018
Purwonegoro,,1412,41,,2019
Purwonegoro,0,1638,41,0,2020
Purwonegoro,0,1745,41,0,2021
Purwonegoro,0,1560,39,0,2022
Purwonegoro,0,1201,24,0,2023
Purwonegoro,1,2672,10,0,2024
Purworejo Klampok,0,340,2,12,2018
Purworejo Klampok,,351,,9,2019
Purworejo Klampok,0,407,0,9,2020
Purworejo Klampok,0,434,0,9,2021
Purworejo Klampok,0,381,,9,2022
Purworejo Klampok,0,293,0,9,2023
Purworejo Klampok,1,288,4,9,2024
Rakit,7,745,9,0,2018
Rakit,5,609,11,,2019
Rakit,0,747,7,0,2020
Rakit,0,796,7,0,2021
Rakit,0,716,7,0,2022
Rakit,0,551,4,0,2023
Rakit,2,357,0,0,2024
Sigaluh,20,287,31,3,2018
Sigaluh,20,287,31,3,2019
Sigaluh,20,333,31,3,2020
Sigaluh,20,355,33,3,2021
Sigaluh,17,318,33,3,2022
Sigaluh,15,245,20,3,2023
Sigaluh,0,220,3,3,2024
Susukan,0,322,0,2,2018
Susukan,,351,,2,2019
Susukan,0,394,0,0,2020
Susukan,0,420,0,0,2021
Susukan,0,401,,0,2022
Susukan,0,309,0,0,2023
Susukan,0,620,0,0,2024
Wanadadi,15,239,63,6,2018
Wanadadi,15,163,29,5,2019
Wanadadi,15,189,29,5,2020
Wanadadi,15,201,29,5,2021
Wanadadi,6,180,28,10,2022
Wanadadi,5,139,17,10,2023
Wanadadi,7,361,36,10,2024
Wanayasa,20,3956,36,0,2018
Wanayasa,15,3381,33,,2019
Wanayasa,12,3076,33,0,2020
Wanayasa,12,3277,33,0,2021
Wanayasa,9,2941,32,0,2022
Wanayasa,9,2264,19,0,2023
Wanayasa,0,1231,37,0,2024
Batur,0,431,0,5,2018
Batur,,393,,4,2019
Batur,0,456,0,4,2020
Batur,0,486,0,4,2021
Batur,0,435,0,7,2022
Batur,0,335,0,7,2023
Batur,0,150,0,8,2024
Jumlah,208,29204,818,90,2018
Jumlah,398,26776,521,76,2019
Jumlah,391,29049,489,76,2020
Jumlah,397,30943,491,76,2021
Jumlah,322,27679,484,84,2022
Jumlah,288,21304,294,84,2023
Jumlah,76,21052,193,85,2024
