Kecamatan,Ayam Kampung,Ayam Ras Layer,Ayam Broiler,Itik Biasa,Itik Manila,Tahun
Banjarmangu,20624,5500,329000,510,818,2018
Banjarmangu,22088,3500,80800,550,1128,2019
Banjarmangu,25577,5500,70000,675,1024,2020
Banjarmangu,28114,5530,310200,684,1025,2021
Banjarmangu,27245,5567,309231,618,1042,2022
Banjarmangu,27245,5567,309231,618,1042,2023
Banjarmangu,10307,522,42750,1803,614,2024
Banjarnegara,16322,8500,206000,2168,1818,2018
Banjarnegara,17011,6000,45000,2469,1893,2019
Banjarnegara,17267,7500,15500,2504,2086,2020
Banjarnegara,18980,7540,68600,2533,2088,2021
Banjarnegara,17986,7582,67492,2458,2105,2022
Banjarnegara,17986,7582,67492,2458,2105,2023
Banjarnegara,47456,18443,30305,726,363,2024
Bawang,16909,6550,196000,4106,835,2018
Bawang,16922,6550,49000,4114,842,2019
Bawang,17238,6550,49000,4114,842,2020
Bawang,18948,6585,217000,4162,843,2021
Bawang,18327,6626,216308,4116,861,2022
Bawang,18327,6626,216308,4116,861,2023
Bawang,27966,29718,172940,2114,998,2024
Kalibening,20434,0,0,724,1068,2018
Kalibening,23923,1000,98000,1031,839,2019
Kalibening,18794,2000,67000,1121,919,2020
Kalibening,20689,2011,296900,1134,920,2021
Kalibening,20073,2032,296347,1095,937,2022
Kalibening,20073,2032,296347,1095,937,2023
Kalibening,8257,1601,139196,1907,462,2024
Karangkobar,26500,5045,332000,0,529,2018
Karangkobar,26500,5045,83000,,529,2019
Karangkobar,26995,5045,83000,0,529,2020
Karangkobar,29663,5072,367900,0,530,2021
Karangkobar,29166,5107,366931,-65,548,2022
Karangkobar,29166,5107,366931,65,548,2023
Karangkobar,12045,7198,638103,12,27,2024
Madukara,7301,61500,29000,419,291,2018
Madukara,7476,64500,9500,374,727,2019
Madukara,7616,64500,9500,374,727,2020
Madukara,8372,64846,42000,378,728,2021
Madukara,7751,64872,41308,331,738,2022
Madukara,7751,64872,41308,331,738,2023
Madukara,19645,28390,45053,2140,905,2024
Mandiraja,30000,18000,616000,16000,3000,2018
Mandiraja,40055,38030,101000,16650,2326,2019
Mandiraja,40803,67600,212000,19300,2326,2020
Mandiraja,44850,67964,939500,19524,2329,2021
Mandiraja,43981,68001,938531,19459,2345,2022
Mandiraja,43981,68001,938531,19459,2345,2023
Mandiraja,45482,74139,122043,14014,7843,2024
Pagedongan,6930,4000,368000,201,364,2018
Pagedongan,6977,4000,92000,195,373,2019
Pagedongan,6391,8150,79000,266,494,2020
Pagedongan,7024,8194,350000,269,495,2021
Pagedongan,6279,8225,349169,213,512,2022
Pagedongan,6279,8225,349169,213,512,2023
Pagedongan,13004,24672,6667,30,244,2024
Pagentan,22989,600,1500,756,0,2018
Pagentan,22955,600,21000,767,,2019
Pagentan,23384,0,105700,771,0,2020
Pagentan,25704,0,468500,780,0,2021
Pagentan,24962,0,467808,733,0,2022
Pagentan,24962,,467808,733,,2023
Pagentan,1595,5282,90208,11,102,2024
Pandanarum,8513,0,5000,131,1441,2018
Pandanarum,20756,,52000,99,733,2019
Pandanarum,20871,0,30500,15,702,2020
Pandanarum,22941,0,135200,15,702,2021
Pandanarum,22417,0,134646,-23,716,2022
Pandanarum,22417,,134646,23,716,2023
Pandanarum,4929,3273,34410,99,198,2024
Pejawaran,5578,0,50198,342,244,2018
Pejawaran,2591,,34000,1315,,2019
Pejawaran,2639,0,34000,1315,0,2020
Pejawaran,2901,0,151600,1330,0,2021
Pejawaran,2150,0,150770,1273,0,2022
Pejawaran,2150,,150770,1273,,2023
Pejawaran,2049,1003,233349,45,31,2024
Punggelan,17476,9500,560000,735,2625,2018
Punggelan,20815,26500,73500,3363,2041,2019
Punggelan,21204,26500,73500,3363,2041,2020
Punggelan,23308,26643,325700,3402,2043,2021
Punggelan,22563,26669,324869,3345,2061,2022
Punggelan,22563,26669,324869,3345,2061,2023
Punggelan,44954,41448,975914,580,1065,2024
Purwonegoro,83776,27300,656000,11090,912,2018
Purwonegoro,83776,27300,164000,11090,912,2019
Purwonegoro,85331,27300,164000,11090,912,2020
Purwonegoro,93795,27446,726722,11219,913,2021
Purwonegoro,93422,27482,726307,11191,937,2022
Purwonegoro,93422,27482,726307,11191,937,2023
Purwonegoro,70441,42088,21354,6694,4234,2024
Purworejo Klampok,27966,200,265000,614,360,2018
Purworejo Klampok,27947,57000,32000,983,351,2019
Purworejo Klampok,28469,57000,32000,984,351,2020
Purworejo Klampok,31293,57307,141800,995,351,2021
Purworejo Klampok,30548,57343,140969,939,367,2022
Purworejo Klampok,30548,57343,140969,939,367,2023
Purworejo Klampok,44509,14679,6166,6309,7181,2024
Rakit,22715,37200,370400,2769,1416,2018
Rakit,20222,58300,122250,2769,1655,2019
Rakit,17787,56800,102500,2424,1353,2020
Rakit,19552,57106,454000,2452,1355,2021
Rakit,19055,57133,453446,2414,1376,2022
Rakit,19055,57133,453446,2414,1376,2023
Rakit,50129,143181,115022,5157,3282,2024
Sigaluh,17500,4500,35200,425,448,2018
Sigaluh,17500,4500,8800,425,448,2019
Sigaluh,17827,4500,8800,425,448,2020
Sigaluh,19585,4524,39000,430,449,2021
Sigaluh,19088,4555,38446,393,467,2022
Sigaluh,19088,4555,38446,393,467,2023
Sigaluh,6370,7748,50104,452,386,2024
Susukan,52372,531,118000,4332,3563,2018
Susukan,52484,,35500,4860,3717,2019
Susukan,59397,900,35500,4923,3727,2020
Susukan,65289,905,157300,4980,3731,2021
Susukan,64792,947,156746,4943,3745,2022
Susukan,64792,947,156746,4943,3745,2023
Susukan,46698,3866,16576,2796,5621,2024
Wanadadi,6175,0,57500,441,331,2018
Wanadadi,5322,,60000,86,128,2019
Wanadadi,5421,3300,60000,86,128,2020
Wanadadi,5950,3318,265900,88,128,2021
Wanadadi,5328,3345,265208,41,145,2022
Wanadadi,5328,3345,265208,41,145,2023
Wanadadi,9262,19870,104350,2023,1463,2024
Wanayasa,101942,60000,211500,98,705,2018
Wanayasa,34600,200000,54500,216,596,2019
Wanayasa,34648,204700,58350,206,447,2020
Wanayasa,38085,205801,258600,208,448,2021
Wanayasa,37562,205822,258046,171,463,2022
Wanayasa,37562,205822,258046,171,463,2023
Wanayasa,2163,7167,174759,68,201,2024
Batur,3379,0,0,0,1415,2018
Batur,486,,,0,,2019
Batur,495,0,0,0,0,2020
Batur,544,0,0,0,0,2021
Batur,470,0,0,0,0,2022
Batur,470,,,,,2023
Batur,157,0,0,0,0,2024
Jumlah,515401,248926,4406298,45861,22183,2018
Jumlah,470406,502825,1215850,51356,19238,2019
Jumlah,478154,547845,1289850,53956,19056,2020
Jumlah,525587,550792,5716422,54583,19078,2021
Jumlah,513165,551308,5702578,53645,19365,2022
Jumlah,513165,551308,5702578,53821,19365,2023
Jumlah,467418,474288,3019269,46980,35220,2024
