Kecamatan,Luas Panen,Produksi,Rata-rata Produksi,Tahun
Banjarmangu,0,0,0,2018
Banjarmangu,1590.4,9837.94,61.86,2019
Banjarmangu,0,0,0,2020
Banjarmangu,0,0,0,2021
Banjarmangu,1501.6,8953.41,59.63,2022
Banjarmangu,972,5505.8,56.64,2023
Banjarmangu,1115,6677.51,59.89,2024
Banjarnegara,0,0,0,2018
Banjarnegara,858.2,5291.66,61.66,2019
Banjarnegara,0,0,0,2020
Banjarnegara,0,0,0,2021
Banjarnegara,1023.2,6548.48,64,2022
Banjarnegara,886,5671,64.01,2023
Banjarnegara,696.88,4757.55,68.27,2024
Bawang,0,0,0,2018
Bawang,2229.3,14454.95,64.84,2019
Bawang,75,375,50,2020
Bawang,15,52.5,35,2021
Bawang,2093,13952.95,66.66,2022
Bawang,2009,13199.1,65.7,2023
Bawang,2217.5,14902.88,67.21,2024
Kalibening,0,0,0,2018
Kalibening,1288.2,7117.31,55.25,2019
Kalibening,0,0,0,2020
Kalibening,0,0,0,2021
Kalibening,1558,8607,55.24,2022
Kalibening,1602,10251,63.99,2023
Kalibening,1815,11497.51,63.35,2024
Karangkobar,0,0,0,2018
Karangkobar,607.4,3413.59,56.2,2019
Karangkobar,0,0,0,2020
Karangkobar,0,0,0,2021
Karangkobar,331,1919,57.98,2022
Karangkobar,362,2044,56.46,2023
Karangkobar,668,4071.05,60.94,2024
Madukara,0,0,0,2018
Madukara,805.7,4941.36,61.33,2019
Madukara,0,0,0,2020
Madukara,0,0,0,2021
Madukara,1208.9,7857.99,65,2022
Madukara,398,2587,65,2023
Madukara,1016,6677.51,65.72,2024
Mandiraja,425,1398.01,32.89,2018
Mandiraja,398.6,1811.24,45.44,2019
Mandiraja,290,1450,50,2020
Mandiraja,200,700,35,2021
Mandiraja,3385,28440.27,84.02,2022
Mandiraja,2998,22920,76.45,2023
Mandiraja,3362,26543.23,78.95,2024
Pagedongan,0,0,0,2018
Pagedongan,326.1,1957.58,60.03,2019
Pagedongan,0,0,0,2020
Pagedongan,0,0,0,2021
Pagedongan,275,1883.7,68.5,2022
Pagedongan,266,1696,63.76,2023
Pagedongan,339.76,2332.12,68.64,2024
Pagentan,0,0,0,2018
Pagentan,534.9,3064.98,57.3,2019
Pagentan,0,0,0,2020
Pagentan,0,0,0,2021
Pagentan,582,2831,48.64,2022
Pagentan,424,2081,49.08,2023
Pagentan,730,3617.55,49.56,2024
Pandanarum,0,0,0,2018
Pandanarum,762.8,4254.14,55.77,2019
Pandanarum,0,0,0,2020
Pandanarum,0,0,0,2021
Pandanarum,1084,6069.92,56,2022
Pandanarum,833,4498.2,54,2023
Pandanarum,1451,8397.51,57.87,2024
Pejawaran,0,0,0,2018
Pejawaran,226.9,1202.57,53,2019
Pejawaran,0,0,0,2020
Pejawaran,0,0,0,2021
Pejawaran,177,884.92,50,2022
Pejawaran,151,847.5,56.13,2023
Pejawaran,184,1045.22,56.81,2024
Punggelan,1,0,0,2018
Punggelan,1589.9,9300.92,58.5,2019
Punggelan,0,0,0,2020
Punggelan,0,0,0,2021
Punggelan,1989,13724,69,2022
Punggelan,1606,9993.6,62.23,2023
Punggelan,1860.64,12677.51,68.14,2024
Purwonegoro,5,16.91,33.83,2018
Purwonegoro,124,538.66,43.44,2019
Purwonegoro,130,650,50,2020
Purwonegoro,157,628,40,2021
Purwonegoro,2455,19444.03,79.2,2022
Purwonegoro,2717,21112,77.7,2023
Purwonegoro,2366,18452.22,77.99,2024
Purworejo Klampok,15,47.4,31.6,2018
Purworejo Klampok,12.4,49.87,40.22,2019
Purworejo Klampok,35,175,50,2020
Purworejo Klampok,50,225,45,2021
Purworejo Klampok,1558,10722,68.82,2022
Purworejo Klampok,1538,10378.6,67.48,2023
Purworejo Klampok,1568,11425.94,72.87,2024
Rakit,0,0,0,2018
Rakit,1469.3,9050.08,61.59,2019
Rakit,0,0,0,2020
Rakit,35,122.5,35,2021
Rakit,1611,10989,68.21,2022
Rakit,1073,7532,70.2,2023
Rakit,1529.75,10836.78,70.84,2024
Sigaluh,0,0,0,2018
Sigaluh,303.2,1870.74,61.7,2019
Sigaluh,0,0,0,2020
Sigaluh,0,0,0,2021
Sigaluh,311.4,2327,74.73,2022
Sigaluh,305,2215,72.62,2023
Sigaluh,364,2716.45,74.63,2024
Susukan,100,322.55,32.25,2018
Susukan,190.7,829.55,43.5,2019
Susukan,210,1050,50,2020
Susukan,150,675,45,2021
Susukan,2384,16140.68,67.7,2022
Susukan,2351,14959,63.63,2023
Susukan,2476,16805.77,67.87,2024
Wanadadi,0,0,0,2018
Wanadadi,1376.9,8583.67,62.34,2019
Wanadadi,0,0,0,2020
Wanadadi,0,0,0,2021
Wanadadi,1414,9999.8,70.72,2022
Wanadadi,1241,9103.6,73.36,2023
Wanadadi,1638.84,12017.48,73.33,2024
Wanayasa,0,0,0,2018
Wanayasa,316.6,1370.88,43.3,2019
Wanayasa,0,0,0,2020
Wanayasa,0,0,0,2021
Wanayasa,88,264,30,2022
Wanayasa,75,287,38.27,2023
Wanayasa,176,745.22,42.34,2024
Batur,0,0,0,2018
Batur,0,0,0,2020
Batur,0,0,0,2021
Batur,0,0,0,2022
Batur,0,0,0,2023
Batur,0,0,0,2024
Jumlah,546,1784.87,32.69,2018
Jumlah,725.7,3229.32,44.5,2019
Jumlah,740,3700,50,2020
Jumlah,607,2403,39.17,2021
Jumlah,25029.1,171559.15,68.54,2022
Jumlah,21807,146881.4,67.36,2023
Jumlah,25574.37,176197.01,68.9,2024
