Kecamatan,Luas Panen Ubi Jalar (Ha),Produksi Ubi Jalar (Ton),Rata-rata Produksi Ubi Jalar (Ku/Ha),Luas Panen Kacang Hijau (Ha),Produksi Kacang Hijau (Ton),Rata-rata Produksi Kacang Hijau (Ku/Ha),Tahun 
Susukan, - , - , - , - , - , - ,2018
Purwareja Klampok, - , - , - , - , - , - ,2018
Mandiraja, - , - , - , - , - , - ,2018
Purwanegara, 3 , 64 , 212 , - , - , - ,2018
B a w a n g, - , - , - , - , - , - ,2018
Banjarnegara, - , - , - , - , - , - ,2018
Pagedongan, - , - , - , - , - , - ,2018
S i g a l u h, - , - , - , - , - , - ,2018
Madukara, - , - , - , - , - , - ,2018
Banjarmangu, - , - , - , - , - , - ,2018
Wanadadi, - , - , - , - , - , - ,2018
R a k i t, - , - , - , - , - , - ,2018
Punggelan, 2 , 40 , 201 , - , - , - ,2018
Karangkobar, - , - , - , - , - , - ,2018
Pagentan, 47 , 891 , 188 , - , - , - ,2018
Pejawaran, 34 , 724 , 213 , - , - , - ,2018
B a t u r, - , - , - , - , - , - ,2018
Wanayasa, 10 , 189 , 189 , - , - , - ,2018
Kalibening, 6 , 113 , 188 , - , - , - ,2018
Pandanarum, - , - , - , - , - , - ,2018
Susukan, - , - , - , - , - , - ,2019
Purwareja Klampok, - , - , - , 1 , 1 , 12 ,2019
Mandiraja, - , - , - , - , - , - ,2019
Purwanegara, 4 , 85 , 212 , - , - , - ,2019
B a w a n g, - , - , - , - , - , - ,2019
Banjarnegara, 11 , 336 , 295 , - , - , - ,2019
Pagedongan, - , - , - , - , - , - ,2019
S i g a l u h, - , - , - , - , - , - ,2019
Madukara, - , - , - , - , - , - ,2019
Banjarmangu, - , - , - , - , - , - ,2019
Wanadadi, - , - , - , - , - , - ,2019
R a k i t, - , - , - , - , - , - ,2019
Punggelan, - , - , - , - , - , - ,2019
Karangkobar, - , - , - , - , - , - ,2019
Pagentan, 43 , 801 , 188 , - , - , - ,2019
Pejawaran, 36 , 766 , 213 , - , - , - ,2019
B a t u r, - , - , - , - , - , - ,2019
Wanayasa, 5 , 94 , 189 , - , - , - ,2019
Kalibening, 3 , 56 , 188 , - , - , - ,2019
Pandanarum, - , - , - , - , - , - ,2019
Susukan, - , - , - , 50 , 39 , 8 ,2020
Purwareja Klampok, - , - , - , 150 , 112 , 7 ,2020
Mandiraja, 3 , 84 , 280 , - , - , - ,2020
Purwanegara, 1 , 28 , 280 , - , 58 , - ,2020
B a w a n g, 37 ," 1,036 ", 280 , - , - , - ,2020
Banjarnegara, - , - , - , - , - , - ,2020
Pagedongan, - , - , - , - , - , - ,2020
S i g a l u h, - , - , - , - , - , - ,2020
Madukara, - , - , - , - , - , - ,2020
Banjarmangu, - , - , - , - , - , - ,2020
Wanadadi, - , - , - , - , - , - ,2020
R a k i t, - , - , - , - , - , - ,2020
Punggelan, - , - , - , - , - , - ,2020
Karangkobar, - , - , - , - , - , - ,2020
Pagentan, 17 , 476 , 280 , - , - , - ,2020
Pejawaran, 11 , 308 , 280 , - , - , - ,2020
B a t u r, - , - , - , - , - , - ,2020
Wanayasa, - , - , - , - , - , - ,2020
Kalibening, 9 , 252 , 280 , - , - , - ,2020
Pandanarum, 3 , 84 , 280 , - , - , - ,2020
Susukan, - , - , - , 11 , 13 , 12 ,2021
Purwareja Klampok, - , - , - , - , - , - ,2021
Mandiraja, - , - , - , - , - , - ,2021
Purwanegara, 2 , 56 , 281 , 75 , 86 , 12 ,2021
B a w a n g, 8 , 223 , 279 , - , - , - ,2021
Banjarnegara, 27 , 760 , 281 , - , - , - ,2021
Pagedongan, - , - , - , - , - , - ,2021
S i g a l u h, - , - , - , - , - , - ,2021
Madukara, - , - , - , - , - , - ,2021
Banjarmangu, - , - , - , - , - , - ,2021
Wanadadi, - , - , - , - , - , - ,2021
R a k i t, 9 , 253 , 282 , - , - , - ,2021
Punggelan, 8 , 222 , 278 , - , - , - ,2021
Karangkobar, - , - , - , - , - , - ,2021
Pagentan, 15 , 421 , 281 , - , - , - ,2021
Pejawaran, 14 , 380 , 281 , - , - , - ,2021
B a t u r, - , - , - , - , - , - ,2021
Wanayasa, 10 , 280 , 280 , - , - , - ,2021
Kalibening, 9 , 254 , 282 , - , - , - ,2021
Pandanarum, 7 , 197 , 281 , - , - , - ,2021
Susukan, - , - , - , 3 , 3 , 12 ,2022
Purwareja Klampok, - , - , - , 4 , 5 , 12 ,2022
Mandiraja, - , - , - , 2 , 2 , 12 ,2022
Purwanegara, 11 , 309 , 281 , 3 , 3 , 11 ,2022
B a w a n g, 7 , 196 , 279 , 2 , 2 , 9 ,2022
Banjarnegara, 27 , 758 , 281 , - , - , - ,2022
Pagedongan, - , - , - , 1 , 1 , 9 ,2022
S i g a l u h, - , - , - , - , - , - ,2022
Madukara, - , - , - , - , - , - ,2022
Banjarmangu, - , - , - , - , - , - ,2022
Wanadadi, - , - , - , - , - , - ,2022
R a k i t, 3 , 84 , 281 , - , - , - ,2022
Punggelan, 8 , 223 , 279 , - , - , - ,2022
Karangkobar, - , - , - , - , - , - ,2022
Pagentan, 15 , 421 , 281 , - , - , - ,2022
Pejawaran, 14 , 395 , 282 , - , - , - ,2022
B a t u r, - , - , - , - , - , - ,2022
Wanayasa, 9 , 252 , 280 , - , - , - ,2022
Kalibening, 7 , 183 , 282 , - , - , - ,2022
Pandanarum, 6 , 169 , 281 , - , - , - ,2022
Susukan, - , - , - , 3 , 3 , 10 ,2023
Purwareja Klampok, - , - , - , 1 , 1 , 10 ,2023
Mandiraja, - , - , - , - , - , - ,2023
Purwanegara, - , - , - , - , - , - ,2023
B a w a n g, - , - , - , - , - , - ,2023
Banjarnegara, 18 , 504 , 280 , - , - , - ,2023
Pagedongan, - , - , - , - , - , - ,2023
S i g a l u h, - , - , - , - , - , - ,2023
Madukara, - , - , - , - , - , - ,2023
Banjarmangu, - , - , - , - , - , - ,2023
Wanadadi, - , - , - , - , - , - ,2023
R a k i t, 5 , 139 , 278 , - , - , - ,2023
Punggelan, - , - , - , - , - , - ,2023
Karangkobar, 4 , 88 , 220 , - , - , - ,2023
Pagentan, 9 , 251 , 279 , - , - , - ,2023
Pejawaran, - , - , - , - , - , - ,2023
B a t u r, - , - , - , - , - , - ,2023
Wanayasa, - , - , - , - , - , - ,2023
Kalibening, 28 , 762 , 272 , - , - , - ,2023
Pandanarum, - , - , - , - , - , - ,2023
Susukan, - , - , - , 2 , 2 , 11 ,2024
Purwareja Klampok, - , - , - , 1 , 1 , 12 ,2024
Mandiraja, 1 , 28 , 282 , 4 , 5 , 11 ,2024
Purwanegara, - , - , - , - , - , - ,2024
B a w a n g, - , - , - , - , - , - ,2024
Banjarnegara, 15 , 409 , 282 , - , - , - ,2024
Pagedongan, - , - , - , - , - , - ,2024
S i g a l u h, 4 , 106 , 266 , - , - , - ,2024
Madukara, 29 , 812 , 280 , - , - , - ,2024
Banjarmangu, - , - , - , - , - , - ,2024
Wanadadi, - , - , - , - , - , - ,2024
R a k i t, - , - , - , - , - , - ,2024
Punggelan, - , - , - , - , - , - ,2024
Karangkobar, 19 , 452 , 238 , - , - , - ,2024
Pagentan, 8 , 226 , 282 , - , - , - ,2024
Pejawaran, - , - , - , - , - , - ,2024
B a t u r, - , - , - , - , - , - ,2024
Wanayasa, 1 , 28 , 283 , - , - , - ,2024
Kalibening, 27 , 764 , 283 , - , - , - ,2024
Pandanarum, - , - , - , - , - , - ,2024
