Kecamatan,Padi Sawah (Ha),Produksi Padi Sawah (Ton),Rata-rata Produksi Padi Sawah(Kw/Ha),Padi Ladang (Ha),Produksi Padi Ladang(Ton),Rata-rata Produksi Padi Ladang(Ku/Ha),Tahun
Susukan," 2,165 "," 12,971 ", 60 , 100 , 323 , 32 ,2018
Purwareja Klampok," 1,502 "," 9,369 ", 62 , 15 , 47 , 32 ,2018
Mandiraja," 3,170 "," 21,680 ", 68 , 425 ," 1,398 ", 33 ,2018
Purwanegara," 2,586 "," 17,033 ", 66 , 5 , 17 , 34 ,2018
B a w a n g," 2,107 "," 13,242 ", 63 , - , - , - ,2018
Banjarnegara, 947 ," 5,753 ", 61 , - , - , - ,2018
Pagedongan, 325 ," 1,896 ", 58 , - , - , - ,2018
S i g a l u h, 376 ," 2,245 ", 60 , - , - , - ,2018
Madukara," 1,067 "," 6,302 ", 59 , - , - , - ,2018
Banjarmangu," 1,499 "," 9,186 ", 61 , - , - , - ,2018
Wanadadi," 1,533 "," 9,402 ", 61 , - , - , - ,2018
R a k i t," 1,464 "," 9,015 ", 62 , - , - , - ,2018
Punggelan," 1,590 "," 8,904 ", 56 , 1 , - , - ,2018
Karangkobar, 891 ," 4,473 ", 50 , - , - , - ,2018
Pagentan, 822 ," 4,341 ", 53 , - , - , - ,2018
Pejawaran, 212 , 955 , 45 , - , - , - ,2018
B a t u r, - , - , - , - , - , - ,2018
Wanayasa, 440 ," 1,951 ", 44 , - , - , - ,2018
Kalibening," 1,419 "," 8,028 ", 57 , - , - , - ,2018
Pandanarum," 1,029 "," 5,758 ", 56 , - , - , - ,2018
Susukan," 2,127 "," 13,530 ", 64 , 191 , 830 , 44 ,2019
Purwareja Klampok," 1,469 "," 9,237 ", 63 , 12 , 50 , 40 ,2019
Mandiraja," 3,003 "," 19,976 ", 67 , 399 ," 1,811 ", 45 ,2019
Purwanegara," 2,568 "," 17,089 ", 67 , 124 , 539 , 43 ,2019
B a w a n g," 2,229 "," 14,455 ", 65 , - , - , - ,2019
Banjarnegara, 858 ," 5,292 ", 62 , - , - , - ,2019
Pagedongan, 326 ," 1,958 ", 60 , - , - , - ,2019
S i g a l u h, 303 ," 1,871 ", 62 , - , - , - ,2019
Madukara, 806 ," 4,941 ", 61 , - , - , - ,2019
Banjarmangu," 1,590 "," 9,838 ", 62 , - , - , - ,2019
Wanadadi," 1,377 "," 8,584 ", 62 , - , - , - ,2019
R a k i t," 1,469 "," 9,050 ", 62 , - , - , - ,2019
Punggelan," 1,590 "," 9,301 ", 59 , - , - , - ,2019
Karangkobar, 607 ," 3,414 ", 56 , - , - , - ,2019
Pagentan, 535 ," 3,065 ", 57 , - , - , - ,2019
Pejawaran, 227 ," 1,203 ", 53 , - , - , - ,2019
B a t u r, - , - , - , - , - , - ,2019
Wanayasa, 317 ," 1,371 ", 43 , - , - , - ,2019
Kalibening," 1,288 "," 7,117 ", 55 , - , - , - ,2019
Pandanarum, 763 ," 4,254 ", 56 , - , - , - ,2019
Susukan," 1,981 "," 14,065 ", 71 , 210 ," 1,050 ", 50 ,2020
Purwareja Klampok," 1,543 "," 11,187 ", 73 , 35 , 175 , 50 ,2020
Mandiraja," 3,186 "," 25,934 ", 81 , 290 ," 1,450 ", 50 ,2020
Purwanegara," 2,605 "," 20,580 ", 79 , 130 , 650 , 50 ,2020
B a w a n g," 2,016 "," 15,523 ", 77 , 75 , 375 , 50 ,2020
