Kecamatan,Luas Panen Jagung ,Produksi Jagung ,Produksi Rata Rata Jagung ,Luas Panen Ubi Kayu ,Produksi Ubi Kayu ,Produksi Rata Rata Ubi Kayu ,Tahun
Susukan, 448 ," 2,708 ", 60 , 107 ," 2,357 ", 220 ,2018
Purwareja Klampok, 34 , 203 , 59 , 20 , 442 , 221 ,2018
Mandiraja, 699 ," 4,294 ", 61 , 560 ," 13,851 ", 247 ,2018
Purwanegara," 1,984 "," 12,821 ", 65 ," 1,027 "," 24,012 ", 234 ,2018
B a w a n g," 1,349 "," 9,667 ", 72 , 684 ," 15,896 ", 232 ,2018
Banjarnegara, 96 , 570 , 59 , 10 , 226 , 226 ,2018
Pagedongan, 189 , 902 , 48 , 108 ," 2,143 ", 198 ,2018
S i g a l u h, - , - , - , - , - , - ,2018
Madukara, 4 , 22 , 59 , - , - , - ,2018
Banjarmangu, 101 , 439 , 43 , 18 , 364 , 202 ,2018
Wanadadi, 58 , 292 , 50 , 229 ," 4,933 ", 215 ,2018
R a k i t, 111 , 514 , 46 , 91 ," 1,870 ", 206 ,2018
Punggelan, 39 , 172 , 44 , 284 ," 5,339 ", 188 ,2018
Karangkobar, 288 ," 1,278 ", 44 , 43 , 753 , 175 ,2018
Pagentan, 990 ," 4,907 ", 50 , 147 ," 2,607 ", 177 ,2018
Pejawaran," 1,261 "," 5,887 ", 47 , 138 ," 2,456 ", 178 ,2018
B a t u r, 48 , - , 38 , - , - , - ,2018
Wanayasa, 256 ," 1,160 ", 45 , 54 , 841 , 156 ,2018
Kalibening," 1,068 "," 5,948 ", 56 , 4 , 75 , 188 ,2018
Pandanarum, 211 ," 1,160 ", 55 , 47 , 841 , 179 ,2018
Susukan, 229 ," 1,429 ", 62 , 150 ," 3,825 ", 255 ,2019
Purwareja Klampok, 59 , 351 , 59 , 17 , 434 , 255 ,2019
Mandiraja, 806 ," 5,199 ", 65 , 500 ," 16,050 ", 321 ,2019
Purwanegara," 2,077 "," 13,630 ", 66 , 608 ," 16,720 ", 275 ,2019
B a w a n g," 1,471 "," 9,343 ", 64 , 761 ," 21,689 ", 285 ,2019
Banjarnegara, 94 , 588 , 62 , 26 , 643 , 252 ,2019
Pagedongan, 186 ," 1,159 ", 63 , 103 ," 2,266 ", 220 ,2019
S i g a l u h, 7 , 41 , 61 , 2 , 43 , 225 ,2019
Madukara, 59 , 346 , 59 , - , - , - ,2019
Banjarmangu, - , - , - , 18 , 396 , 220 ,2019
Wanadadi, 140 , 935 , 67 , 263 ," 6,444 ", 245 ,2019
R a k i t, 882 ," 5,114 ", 58 , 77 ," 1,617 ", 210 ,2019
Punggelan, 271 ," 1,184 ", 44 , 612 ," 13,578 ", 222 ,2019
Karangkobar, 335 ," 1,488 ", 44 , 21 , 410 , 195 ,2019
