Kecamatan,Kelapa Sawit (ha) 2017,Kelapa Dalam (ha) 2017,Karet (ha) 2017,Kopi Robusta (ha) 2017,Kakao (ha) 2017,Tebu (ha) 2017,Teh (ha) 2017,Tembakau (ha) 2017,Kelapa Sawit (ha) 2018,Kelapa Dalam (ha) 2018,Karet (ha) 2018,Kopi Robusta (ha) 2018,Kakao (ha) 2018,Tebu (ha) 2018,Teh (ha) 2018,Tembakau (ha) 2018,Kelapa Sawit (ha) 2019,Kelapa Dalam (ha) 2019,Karet (ha) 2019,Kopi Robusta (ha) 2019,Kakao (ha) 2019,Tebu (ha) 2019,Teh (ha) 2019,Tembakau (ha) 2019,Kelapa Sawit (ha) 2020,Kelapa Dalam (ha) 2020,Karet (ha) 2020,Kopi Robusta (ha) 2020,Kakao (ha) 2020,Tebu (ha) 2020,Teh (ha) 2020,Tembakau (ha) 2020,Kelapa Sawit (ha) 2021,Kelapa Dalam (ha) 2021,Karet (ha) 2021,Kopi Robusta (ha) 2021,Kakao (ha) 2021,Tebu (ha) 2021,Teh (ha) 2021,Tembakau (ha) 2021,Kopi Arabica (ha) 2021,Kelapa Sawit (ha) 2022,Kelapa Dalam (ha) 2022,Karet (ha) 2022,Kopi Robusta (ha) 2022,Kakao (ha) 2022,Tebu (ha) 2022,Teh (ha) 2022,Tembakau (ha) 2022,Kopi Arabica (ha) 2022,Kelapa Sawit (ha) 2023,Kelapa Dalam (ha) 2023,Karet (ha) 2023,Kopi Robusta (ha) 2023,Kakao (ha) 2023,Tebu (ha) 2023,Teh (ha) 2023,Tembakau (ha) 2023,Kopi Arabica (ha) 2023,Kelapa Sawit (ha) 2024,Kelapa Dalam (ha) 2024,Karet (ha) 2024,Kopi Robusta (ha) 2024,Kakao (ha) 2024,Tebu (ha) 2024,Teh (ha) 2024,Tembakau (ha) 2024,Kopi Arabica (ha) 2024,Tahun
Banjarmangu,0,,0,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarmangu,,,,,,,,,0,560.47,0,95.55,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Banjarmangu,,,,,,,,,,,,,,,,,0,560.47,0,95.55,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,560.47,0,95.55,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,560.47,0,95.55,14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,560.47,0,95.55,14,0,0,0,0,,,,,,,,,,,,,,,,,,,2022
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,560.47,0,95.55,14,0,0,0,0,,,,,,,,,,2023
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,560.47,0,95.55,14,0,0,0,0,2024
Banjarnegara,0,,0,,3.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarnegara,,,,,,,,,0,427.05,0,121.5,3.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
