Jenis Tanaman,Luas Panen (m2),Tahun
Dringo,0,2016
Jahe,0,2016
Kapulaga,608.75,2016
Kencur,0,2016
Kunyit,0,2016
Laos,0,2016
Lempuyang,0,2016
Lidah Buaya,0,2016
Mengkudu,0,2016
Temuireng,0,2016
Temukunci,0,2016
Temulawak,0,2016
Sambiloto,0,2016
Dringo,0,2018
Jahe,186365,2018
Kapulaga,27209,2018
Kencur,86229,2018
Kunyit,70776,2018
Laos,5800,2018
Lempuyang,10625,2018
Lidah Buaya,0,2018
Mengkudu,0,2018
Temuireng,0,2018
Temukunci,25,2018
Temulawak,1146,2018
Sambiloto,250,2018
Dringo,0,2019
Jahe,243935,2019
Kapulaga,46686,2019
Kencur,86155,2019
Kunyit,77051,2019
Laos,38204,2019
Lempuyang,1142,2019
Lidah Buaya,0,2019
Mengkudu,0,2019
Temuireng,1116,2019
Temukunci,0,2019
Temulawak,1915,2019
Sambiloto,2425,2019
Dringo,25,2020
Jahe,14100,2020
Kapulaga,35200,2020
Kencur,77227,2020
Kunyit,100485,2020
Laos,8910,2020
Lempuyang,13290,2020
Lidah Buaya,1000,2020
Mengkudu,0,2020
Temuireng,6616,2020
Temukunci,15170,2020
Temulawak,6785,2020
Sambiloto,2150,2020
Dringo,0,2021
Jahe,322765,2021
Kapulaga,84500,2021
Kencur,73200,2021
Kunyit,91176,2021
Laos,29605,2021
Lempuyang,2600,2021
Lidah Buaya,0,2021
Mengkudu,1500,2021
Temuireng,0,2021
Temukunci,0,2021
Temulawak,0,2021
Sambiloto,0,2021
Dringo,31,2022
Jahe,305040,2022
Kapulaga,1555619,2022
Kencur,59427,2022
Kunyit,102685,2022
Laos,97340,2022
Lempuyang,2500,2022
Lidah Buaya,0,2022
Mengkudu,0,2022
Temuireng,0,2022
Temukunci,0,2022
Temulawak,0,2022
Sambiloto,5800,2022
Dringo,0,2023
Jahe,181603,2023
Kapulaga,1429506,2023
Kencur,175323,2023
Kunyit,27540,2023
Laos,6736,2023
Lempuyang,15600,2023
Lidah Buaya,0,2023
Mengkudu,0,2023
Temuireng,0,2023
Temukunci,0,2023
Temulawak,407915,2023
Sambiloto,400,2023
Dringo,0,2024
Jahe,245175,2024
Kapulaga,1328464,2024
Kencur,75977,2024
Kunyit,103803,2024
Laos,103803,2024
Lempuyang,11500,2024
Lidah Buaya,0,2024
Mengkudu,0,2024
Temuireng,0,2024
Temukunci,0,2024
Temulawak,2224,2024
Sambiloto,0,2024
