Jenis Tanaman,Luas (m2),Tahun 
1. Dringo/Sweet Root/Calamus, - ,2016
2. Jahe/Ginger, - ,2016
3. Kapulaga/Java Cardamon, 609 ,2016
4. Kencur/East Indian Galangal, - ,2016
5. Kunyit/Turmeric, - ,2016
6. Laos/Lengkuas/Galanga, - ,2016
7. Lempuyang/Zingiber Aromaticum, - ,2016
8. Lidah Buaya/Oliviera, - ,2016
9. Mengkudu/Indian Mulberry, - ,2016
10. Temuireng/Black Turmeric, - ,2016
11. Temukunci/Chinese Keys, - ,2016
12. Temulawak/Java Turmeric, - ,2016
13. Sambiloto/King of Bitter, - ,2016
1. Dringo/Sweet Root/Calamus, - ,2017
2. Jahe/Ginger, - ,2017
3. Kapulaga/Java Cardamon, - ,2017
4. Kencur/East Indian Galangal, - ,2017
5. Kunyit/Turmeric, - ,2017
6. Laos/Lengkuas/Galanga, - ,2017
7. Lempuyang/Zingiber Aromaticum, - ,2017
8. Lidah Buaya/Oliviera, - ,2017
9. Mengkudu/Indian Mulberry, - ,2017
10. Temuireng/Black Turmeric, - ,2017
11. Temukunci/Chinese Keys, - ,2017
12. Temulawak/Java Turmeric, - ,2017
13. Sambiloto/King of Bitter, - ,2017
1. Dringo/Sweet Root/Calamus, - ,2018
2. Jahe/Ginger," 186,365 ",2018
3. Kapulaga/Java Cardamon," 27,209 ",2018
4. Kencur/East Indian Galangal," 86,229 ",2018
5. Kunyit/Turmeric," 70,776 ",2018
6. Laos/Lengkuas/Galanga," 5,800 ",2018
7. Lempuyang/Zingiber Aromaticum," 10,625 ",2018
8. Lidah Buaya/Oliviera, - ,2018
9. Mengkudu/Indian Mulberry, - ,2018
10. Temuireng/Black Turmeric, - ,2018
11. Temukunci/Chinese Keys, 25 ,2018
12. Temulawak/Java Turmeric," 1,146 ",2018
13. Sambiloto/King of Bitter, 250 ,2018
1. Dringo/Sweet Root/Calamus, - ,2019
2. Jahe/Ginger," 243,935 ",2019
3. Kapulaga/Java Cardamon," 46,686 ",2019
4. Kencur/East Indian Galangal," 86,155 ",2019
5. Kunyit/Turmeric," 77,051 ",2019
6. Laos/Lengkuas/Galanga," 38,204 ",2019
7. Lempuyang/Zingiber Aromaticum," 1,142 ",2019
8. Lidah Buaya/Oliviera, - ,2019
9. Mengkudu/Indian Mulberry, - ,2019
10. Temuireng/Black Turmeric," 1,116 ",2019
11. Temukunci/Chinese Keys, - ,2019
12. Temulawak/Java Turmeric," 1,915 ",2019
13. Sambiloto/King of Bitter," 2,425 ",2019
1. Dringo/Sweet Root/Calamus, 25 ,2020
2. Jahe/Ginger," 14,100 ",2020
3. Kapulaga/Java Cardamon," 35,200 ",2020
4. Kencur/East Indian Galangal," 77,227 ",2020
5. Kunyit/Turmeric," 100,485 ",2020
6. Laos/Lengkuas/Galanga," 8,910 ",2020
7. Lempuyang/Zingiber Aromaticum," 13,290 ",2020
8. Lidah Buaya/Oliviera," 1,000 ",2020
9. Mengkudu/Indian Mulberry, - ,2020
10. Temuireng/Black Turmeric," 6,616 ",2020
11. Temukunci/Chinese Keys," 15,170 ",2020
12. Temulawak/Java Turmeric," 6,785 ",2020
13. Sambiloto/King of Bitter," 2,150 ",2020
1. Dringo/Sweet Root/Calamus, - ,2021
2. Jahe/Ginger," 322,765 ",2021
3. Kapulaga/Java Cardamon," 84,500 ",2021
4. Kencur/East Indian Galangal," 73,200 ",2021
5. Kunyit/Turmeric," 91,176 ",2021
6. Laos/Lengkuas/Galanga," 29,605 ",2021
7. Lempuyang/Zingiber Aromaticum," 2,600 ",2021
8. Lidah Buaya/Oliviera, - ,2021
9. Mengkudu/Indian Mulberry," 1,500 ",2021
10. Temuireng/Black Turmeric, - ,2021
11. Temukunci/Chinese Keys, - ,2021
12. Temulawak/Java Turmeric, - ,2021
13. Sambiloto/King of Bitter, - ,2021
1. Dringo/Sweet Root/Calamus, 31 ,2022
2. Jahe/Ginger," 305,040 ",2022
3. Kapulaga/Java Cardamon," 1,555,619 ",2022
4. Kencur/East Indian Galangal," 59,427 ",2022
5. Kunyit/Turmeric," 102,685 ",2022
6. Laos/Lengkuas/Galanga," 97,340 ",2022
7. Lempuyang/Zingiber Aromaticum," 2,500 ",2022
8. Lidah Buaya/Oliviera, - ,2022
9. Mengkudu/Indian Mulberry, - ,2022
10. Temuireng/Black Turmeric, - ,2022
11. Temukunci/Chinese Keys, - ,2022
12. Temulawak/Java Turmeric, - ,2022
13. Sambiloto/King of Bitter," 5,800 ",2022
1. Dringo/Sweet Root/Calamus, - ,2023
2. Jahe/Ginger," 181,603 ",2023
3. Kapulaga/Java Cardamon," 1,429,506 ",2023
4. Kencur/East Indian Galangal," 175,323 ",2023
5. Kunyit/Turmeric," 27,540 ",2023
6. Laos/Lengkuas/Galanga," 6,736 ",2023
7. Lempuyang/Zingiber Aromaticum," 15,600 ",2023
8. Lidah Buaya/Oliviera, - ,2023
9. Mengkudu/Indian Mulberry, - ,2023
10. Temuireng/Black Turmeric, - ,2023
11. Temukunci/Chinese Keys, - ,2023
12. Temulawak/Java Turmeric," 407,915 ",2023
13. Sambiloto/King of Bitter, 400 ,2023
1. Dringo/Sweet Root/Calamus, - ,2024
2. Jahe/Ginger," 245,175 ",2024
3. Kapulaga/Java Cardamon," 1,328,464 ",2024
4. Kencur/East Indian Galangal," 75,977 ",2024
5. Kunyit/Turmeric," 103,803 ",2024
6. Laos/Lengkuas/Galanga," 103,803 ",2024
7. Lempuyang/Zingiber Aromaticum," 11,500 ",2024
