Kecamatan,Jahe (m2) 2019,Laos (m2) 2019,Kencur (m2) 2019,Kunyit (m2) 2019,Jahe (m2) 2020,Laos (m2) 2020,Kencur (m2) 2020,Kunyit (m2) 2020,Jahe (m2) 2021,Laos (m2) 2021,Kencur (m2) 2021,Kunyit (m2) 2021,Jahe (m2) 2022,Laos (m2) 2022,Kencur (m2) 2022,Kunyit (m2) 2022,Jahe (m2) 2023,Laos (m2) 2023,Kencur (m2) 2023,Kunyit (m2) 2023,Jahe (m2) 2024,Laos (m2) 2024,Kencur (m2) 2024,Kunyit (m2) 2024,Tahun
Banjarmangu,9000,0,0,0,,,,,,,,,,,,,,,,,,,,,2019
Banjarmangu,,,,,0,750,0,0,,,,,,,,,,,,,,,,,2020
Banjarmangu,,,,,,,,,1500,2600,0,0,,,,,,,,,,,,,2021
Banjarmangu,,,,,,,,,,,,,0,0,0,300,,,,,,,,,2022
Banjarmangu,,,,,,,,,,,,,,,,,0,0,120000,0,,,,,2023
Banjarmangu,,,,,,,,,,,,,,,,,,,,,375,9609,0,5700,2024
Banjarnegara,2000,3500,0,5000,,,,,,,,,,,,,,,,,,,,,2019
Banjarnegara,,,,,0,3500,0,6000,,,,,,,,,,,,,,,,,2020
Banjarnegara,,,,,,,,,0,2000,0,4000,,,,,,,,,,,,,2021
Banjarnegara,,,,,,,,,,,,,1500,1500,0,3000,,,,,,,,,2022
Banjarnegara,,,,,,,,,,,,,,,,,5000,4500,0,8000,,,,,2023
Banjarnegara,,,,,,,,,,,,,,,,,,,,,3500,300,0,1050,2024
Bawang,150000,25000,80000,60000,,,,,,,,,,,,,,,,,,,,,2019
Bawang,,,,,0,0,60000,40000,,,,,,,,,,,,,,,,,2020
Bawang,,,,,,,,,130000,17000,60000,40000,,,,,,,,,,,,,2021
Bawang,,,,,,,,,,,,,140000,93500,40000,50000,,,,,,,,,2022
Bawang,,,,,,,,,,,,,,,,,0,0,45000,0,,,,,2023
Bawang,,,,,,,,,,,,,,,,,,,,,0,0,0,0,2024
Kalibening,700,225,400,800,,,,,,,,,,,,,,,,,,,,,2019
Kalibening,,,,,0,300,550,900,,,,,,,,,,,,,,,,,2020
Kalibening,,,,,,,,,1300,600,900,800,,,,,,,,,,,,,2021
Kalibening,,,,,,,,,,,,,1200,550,1200,1050,,,,,,,,,2022
Kalibening,,,,,,,,,,,,,,,,,200,200,300,400,,,,,2023
Kalibening,,,,,,,,,,,,,,,,,,,,,500,500,300,800,2024
Karangkobar,450,0,0,1190,,,,,,,,,,,,,,,,,,,,,2019
Karangkobar,,,,,0,0,0,220,,,,,,,,,,,,,,,,,2020
Karangkobar,,,,,,,,,570,0,0,240,,,,,,,,,,,,,2021
