Kecamatan,Jahe,Laos/Lengkuas,Kencur,Kunyit,Tahun 
1. Susukan, 696 ," 2,198 ", 818 ," 4,000 ",2019
2. Purwareja Klampok, - , - , - , - ,2019
3. Mandiraja, 700 , 650 , 320 , 650 ,2019
4. Purwanegara," 21,200 "," 4,300 "," 4,200 "," 2,500 ",2019
5. Bawang," 150,000 "," 25,000 "," 80,000 "," 60,000 ",2019
6. Banjarnegara," 2,000 "," 3,500 ", - ," 5,000 ",2019
7. Pagedongan, - , - , - , - ,2019
8. Sigaluh, - , - , - , - ,2019
9. Madukara, - , - , - , - ,2019
10. Banjarmangu," 9,000 ", - , - , - ,2019
11. Wanadadi, 240 , - , 156 , 100 ,2019
12. Rakit, 249 , 181 , 261 , 311 ,2019
13. Punggelan, - , - , - , - ,2019
14. Karangkobar, 450 , - , - ," 1,190 ",2019
15. Pagentan," 56,000 ", - , - , - ,2019
16. Pejawaran," 2,700 "," 2,150 ", - ," 2,500 ",2019
17. Batur, - , - , - , - ,2019
18. Wanayasa, - , - , - , - ,2019
19. Kalibening, 700 , 225 , 400 , 800 ,2019
20. Pandanarum, - , - , - , - ,2019
1. Susukan, - , - ," 9,400 "," 46,000 ",2020
2. Purwareja Klampok, - , - , - , - ,2020
3. Mandiraja, - , 625 , 425 , 750 ,2020
4. Purwanegara, - ," 1,500 "," 5,600 "," 2,250 ",2020
5. Bawang, - , - ," 60,000 "," 40,000 ",2020
6. Banjarnegara, - ," 3,500 ", - ," 6,000 ",2020
7. Pagedongan, - , - , - , - ,2020
8. Sigaluh, - , - , - , - ,2020
9. Madukara, - , - , - , - ,2020
10. Banjarmangu, - , 750 , - , - ,2020
11. Wanadadi, - , - , 180 , 90 ,2020
12. Rakit, - , 35 , 72 , 225 ,2020
13. Punggelan," 10,000 ", - , - , - ,2020
14. Karangkobar, - , - , - , 220 ,2020
15. Pagentan, - , - ," 1,000 "," 1,500 ",2020
16. Pejawaran," 4,100 "," 2,200 ", - ," 2,550 ",2020
17. Batur, - , - , - , - ,2020
18. Wanayasa, - , - , - , - ,2020
19. Kalibening, - , 300 , 550 , 900 ,2020
20. Pandanarum, - , - , - , - ,2020
1. Susukan, - , - , - , - ,2021
2. Purwareja Klampok, - , - , - , - ,2021
3. Mandiraja," 1,500 ", - , - , - ,2021
4. Purwanegara," 11,500 "," 4,200 "," 3,500 "," 3,200 ",2021
5. Bawang," 130,000 "," 17,000 "," 60,000 "," 40,000 ",2021
6. Banjarnegara, - ," 2,000 ", - ," 4,000 ",2021
7. Pagedongan, - , - , - , - ,2021
8. Sigaluh, - , - , - , - ,2021
9. Madukara, - , - , - , - ,2021
10. Banjarmangu," 1,500 "," 2,600 ", - , - ,2021
11. Wanadadi, 930 , - , - , 36 ,2021
12. Rakit," 5,015 ", 5 , - , - ,2021
13. Punggelan," 15,000 ", - , - , - ,2021
14. Karangkobar, 570 , - , - , 240 ,2021
15. Pagentan," 151,500 ", - ," 8,800 "," 38,850 ",2021
16. Pejawaran," 2,450 "," 1,700 ", - ," 2,050 ",2021
17. Batur, - , - , - , - ,2021
18. Wanayasa," 1,500 "," 1,500 ", - ," 2,000 ",2021
19. Kalibening," 1,300 ", 600 , 900 , 800 ,2021
20. Pandanarum, - , - , - , - ,2021
1. Susukan," 9,000 ", - ," 10,000 ", - ,2022
2. Purwareja Klampok, - , - , - , - ,2022
3. Mandiraja," 2,050 ", - , - , 500 ,2022
4. Purwanegara, - , - , - , - ,2022
5. Bawang," 140,000 "," 93,500 "," 40,000 "," 50,000 ",2022
6. Banjarnegara," 1,500 "," 1,500 ", - ," 3,000 ",2022
7. Pagedongan, - , - , - , - ,2022
8. Sigaluh, - , - , - , - ,2022
9. Madukara," 7,500 ", - , - , - ,2022
10. Banjarmangu, - , - , - , 300 ,2022
11. Wanadadi, 690 , - , - , - ,2022
12. Rakit," 5,300 ", 20 , 27 ," 14,025 ",2022
13. Punggelan," 1,000 ", 470 , - , - ,2022
14. Karangkobar, 500 , 100 , - , 160 ,2022
15. Pagentan," 130,000 ", - ," 8,200 "," 31,100 ",2022
16. Pejawaran," 3,800 "," 1,200 ", - ," 1,550 ",2022
17. Batur, - , - , - , - ,2022
18. Wanayasa," 2,500 ", - , - ," 1,000 ",2022
19. Kalibening," 1,200 ", 550 ," 1,200 "," 1,050 ",2022
20. Pandanarum, - , - , - , - ,2022
1. Susukan," 3,000 ", - ," 1,825 "," 1,400 ",2023
2. Purwareja Klampok, - , - , - , - ,2023
3. Mandiraja," 2,100 ", - , - , - ,2023
4. Purwanegara, - , - , - , - ,2023
5. Bawang, - , - ," 45,000 ", - ,2023
6. Banjarnegara," 5,000 "," 4,500 ", - ," 8,000 ",2023
7. Pagedongan, - , - , - , - ,2023
8. Sigaluh, - , - , - , - ,2023
9. Madukara," 7,500 ", - , 926 , - ,2023
10. Banjarmangu, - , - ," 120,000 ", - ,2023
11. Wanadadi, 780 , 56 , - , - ,2023
12. Rakit," 1,400 ", - , - , - ,2023
