Kecamatan,Bawang Merah (ha) 2017,Cabai Besar (ha) 2017,Kentang (ha) 2017,Kubis (ha) 2017,Petsai (ha) 2017,Tomat (ha) 2017,Bawang Putih (ha) 2017,Cabai Rawit (ha) 2017,Bawang Merah (ha) 2018,Cabai Besar (ha) 2018,Kentang (ha) 2018,Kubis (ha) 2018,Petsai (ha) 2018,Tomat (ha) 2018,Bawang Putih (ha) 2018,Cabai Rawit (ha) 2018,Bawang Merah (ha) 2019,Cabai Besar (ha) 2019,Kentang (ha) 2019,Kubis (ha) 2019,Petsai (ha) 2019,Tomat (ha) 2019,Bawang Putih (ha) 2019,Cabai Rawit (ha) 2019,Bawang Merah (ha) 2021,Cabai Besar (ha) 2021,Kentang (ha) 2021,Kubis (ha) 2021,Petsai (ha) 2021,Tomat (ha) 2021,Bawang Putih (ha) 2021,Cabai Rawit (ha) 2021,Bawang Merah (ha) 2023,Cabai Besar (ha) 2023,Kentang (ha) 2023,Kubis (ha) 2023,Petsai (ha) 2023,Tomat (ha) 2023,Bawang Putih (ha) 2023,Cabai Rawit (ha) 2023,Bawang Merah (ha) 2020,Cabai Besar (ha) 2020,Kentang (ha) 2020,Kubis (ha) 2020,Petsai (ha) 2020,Tomat (ha) 2020,Bawang Putih (ha) 2020,Cabai Rawit (ha) 2020,Bawang Merah (ha) 2022,Cabai Besar (ha) 2022,Kentang (ha) 2022,Kubis (ha) 2022,Petsai (ha) 2022,Tomat (ha) 2022,Bawang Putih (ha) 2022,Cabai Rawit (ha) 2022,Bawang Merah (ha) 2024,Cabai Besar (ha) 2024,Kentang (ha) 2024,Kubis (ha) 2024,Petsai (ha) 2024,Tomat (ha) 2024,Bawang Putih (ha) 2024,Cabai Rawit (ha) 2024,Tahun
Banjarmangu,0,0,0,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarmangu,,,,,,,,,0,7,0,0,0,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Banjarmangu,,,,,,,,,,,,,,,,,0,5,0,0,0,6,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,0,0,4,0,4,,,,,,,,,,,,,,,,,2020
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,1,0,1,,,,,,,,,2022
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,2,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,2023
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,5.7,2024
Banjarnegara,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarnegara,,,,,,,,,5,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
