Kecamatan,Bawang Merah,Cabai Besar,Kentang,Kubis,Petsai,Tomat,Bawang Putih,Cabai Rawit,Tahun 
1. Susukan, - , - , - , - , - , - , - , - ,2017
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2017
3. Mandiraja, - , - , - , - , - , - , - , - ,2017
4. Purwanegara, - , - , - , - , - , 8 , - , - ,2017
5. Bawang, - , - , - , - , - , 17 , - , - ,2017
6. Banjarnegara, - , - , - , - , - , - , - , - ,2017
7. Pagedongan, - , - , - , - , - , - , - , - ,2017
8. Sigaluh, - , - , - , - , - , - , - , - ,2017
9. Madukara, - , - , - , - , - , - , - , - ,2017
10. Banjarmangu, - , - , - , - , - , 5 , - , - ,2017
11. Wanadadi, - , - , - , - , - , - , - , - ,2017
12. Rakit, - , - , - , - , - , - , - , - ,2017
13. Punggelan, - , - , - , - , - , - , - , - ,2017
14. Karangkobar, - , - , - , 359 , - , 54 , - , - ,2017
15. Pagentan, - , - , - , 117 , - , 33 , - , - ,2017
16. Pejawaran, - , - ," 2,615 ", 492 , - , 123 , - , - ,2017
17. Batur, - , - ," 4,508 "," 1,528 ", - , - , - , - ,2017
18. Wanayasa, - , - , 152 , 196 , - , 22 , - , - ,2017
19. Kalibening, - , - , 21 , 101 , - , 20 , - , - ,2017
20. Pandanarum, - , - , - , - , - , - , - , - ,2017
1. Susukan, - , 10 , - , - , - , - , - , - ,2018
2. Purwareja Klampok, - , - , - , - , - , - , - , - ,2018
3. Mandiraja, - , 6 , - , - , - , - , - , 10 ,2018
4. Purwanegara, - , 598 , - , - , - , 14 , - , 22 ,2018
5. Bawang, - , 75 , - , - , - , 33 , - , 59 ,2018
6. Banjarnegara, 5 , 1 , - , - , - , - , - , - ,2018
7. Pagedongan, - , - , - , - , - , - , - , 70 ,2018
8. Sigaluh, - , - , - , - , - , - , - , - ,2018
9. Madukara, - , 3 , - , - , - , - , - , 2 ,2018
10. Banjarmangu, - , 7 , - , - , - , 2 , - , 6 ,2018
11. Wanadadi, - , 1 , - , - , - , - , - , 2 ,2018
12. Rakit, - , 15 , - , - , - , - , - , 3 ,2018
13. Punggelan, - , - , - , - , - , - , - , - ,2018
14. Karangkobar, - , 91 , - , 274 , - , 44 , - , 160 ,2018
15. Pagentan, - , 208 , - , 156 , - , 43 , - , 582 ,2018
16. Pejawaran, - , 417 ," 2,515 ", 556 , - , 169 , - ," 1,113 ",2018
17. Batur, 6 , - ," 3,131 "," 1,401 ", - , - , - , - ,2018
