Jenis Tanaman, Luas (ha) ,Tahun 
1. Bawang Daun/Wlech Onion, - ,2018
2. Bawang Merah/Shallot, 11 ,2018
3. Bawang Putih/Garlic , - ,2018
4. Bayam/Spinach, 13 ,2018
5. Buncis/Green Bean, 406 ,2018
6. Cabai Besar/Chili Annum," 1,565 ",2018
7. Cabai Rawit/Chili (Capsicum Frustescens)," 2,168 ",2018
8. Cabai/Chili, - ,2018
9. Jamur/Mushroom," 18,045 ",2018
10. Kacang Merah/Red Bean, 154 ,2018
11. Kacang Panjang/Yarldlong Bean, 373 ,2018
12. Kangkung/Kangkong, 53 ,2018
13. Kembang Kol/Cauliflower, - ,2018
14. Kentang/Potato," 5,862 ",2018
15. Ketimun/Cucumber, 34 ,2018
16. Kubis/Cabbage," 2,708 ",2018
17. Labu Siam/Chayote, 20 ,2018
18. Lobak/Radish, - ,2018
19. Petsai/Chinese Cabbage, - ,2018
20. Terung/Eggplant, 177 ,2018
21. Tomat/Tomato, 345 ,2018
22. Wortel/Carrot," 3,160 ",2018
23. Sawi Putih/ Chinese Cabbage, 270 ,2018
Buah-buahan/Fruits, - ,2018
24. Buah Blewah/Cantaloupe, - ,2018
25. Buah Melon/Melon, - ,2018
26. Buah Semangka/Watermelon, - ,2018
1. Bawang Daun/Wlech Onion," 1,129 ",2019
2. Bawang Merah/Shallot, 16 ,2019
3. Bawang Putih/Garlic , 131 ,2019
4. Bayam/Spinach, 15 ,2019
5. Buncis/Green Bean, 383 ,2019
6. Cabai Besar/Chili Annum," 1,701 ",2019
7. Cabai Rawit/Chili (Capsicum Frustescens)," 2,639 ",2019
8. Cabai/Chili, - ,2019
9. Jamur/Mushroom, - ,2019
10. Kacang Merah/Red Bean, 173 ,2019
11. Kacang Panjang/Yarldlong Bean, 278 ,2019
12. Kangkung/Kangkong, 36 ,2019
13. Kembang Kol/Cauliflower, - ,2019
14. Kentang/Potato," 6,075 ",2019
15. Ketimun/Cucumber, 47 ,2019
16. Kubis/Cabbage," 3,006 ",2019
17. Labu Siam/Chayote, 44 ,2019
18. Lobak/Radish, - ,2019
19. Petsai/Chinese Cabbage, - ,2019
20. Terung/Eggplant, 164 ,2019
21. Tomat/Tomato, 334 ,2019
22. Wortel/Carrot," 3,672 ",2019
23. Sawi Putih/ Chinese Cabbage, 337 ,2019
Buah-buahan/Fruits, - ,2019
24. Buah Blewah/Cantaloupe, - ,2019
25. Buah Melon/Melon, - ,2019
26. Buah Semangka/Watermelon, - ,2019
1. Bawang Daun/Wlech Onion," 1,235.00 ",2020
2. Bawang Merah/Shallot, 28.00 ,2020
3. Bawang Putih/Garlic , 165.00 ,2020
4. Bayam/Spinach, 6.00 ,2020
5. Buncis/Green Bean, 351.00 ,2020
6. Cabai Besar/Chili Annum," 1,661.00 ",2020
7. Cabai Rawit/Chili (Capsicum Frustescens)," 2,541.00 ",2020
8. Cabai/Chili, - ,2020
9. Jamur/Mushroom, - ,2020
