Jenis Tanaman,Luas Panen (ha),Tahun
Bawang Daun,987,2016
Bawang Merah,0,2016
Bawang Putih,0,2016
Bayam,12,2016
Buncis,279,2016
Cabai Besar,1731,2016
Cabai Rawit,2874,2016
Cabai,0,2016
Jamur,0,2016
Kacang Merah,0,2016
Kacang Panjang,63,2016
Kangkung,32,2016
Kembang Kol,0,2016
Kentang,5701,2016
Ketimun,22,2016
Kubis,3386,2016
Labu Siam,0,2016
Lobak,0,2016
Petsai,0,2016
Terung,0,2016
Tomat,154,2016
Wortel,2884,2016
Sawi Putih,282,2016
Blewah,0,2016
Melon,0,2016
Semangka,0,2016
Bawang Daun,0,2018
Bawang Merah,11,2018
Bawang Putih,0,2018
Bayam,13,2018
Buncis,406,2018
Cabai Besar,1565,2018
Cabai Rawit,2168,2018
Cabai,0,2018
Jamur,18045,2018
Kacang Merah,154,2018
Kacang Panjang,373,2018
Kangkung,53,2018
Kembang Kol,0,2018
Kentang,5862,2018
Ketimun,34,2018
Kubis,2708,2018
Labu Siam,20,2018
Lobak,0,2018
Petsai,0,2018
Terung,177,2018
Tomat,345,2018
Wortel,3160,2018
Sawi Putih,270,2018
Blewah,0,2018
Melon,0,2018
Semangka,0,2018
Bawang Daun,1129,2019
Bawang Merah,16,2019
Bawang Putih,131,2019
Bayam,15,2019
Buncis,383,2019
Cabai Besar,1701,2019
Cabai Rawit,2639,2019
Cabai,0,2019
Jamur,0,2019
Kacang Merah,173,2019
Kacang Panjang,278,2019
Kangkung,36,2019
Kembang Kol,0,2019
Kentang,6075,2019
Ketimun,47,2019
Kubis,3006,2019
Labu Siam,44,2019
Lobak,0,2019
Petsai,0,2019
Terung,164,2019
Tomat,334,2019
Wortel,3672,2019
Sawi Putih,337,2019
Blewah,0,2019
Melon,0,2019
Semangka,0,2019
Bawang Daun,1235,2020
Bawang Merah,28,2020
Bawang Putih,165,2020
Bayam,6,2020
Buncis,351,2020
Cabai Besar,1661,2020
Cabai Rawit,2541,2020
Cabai,0,2020
Jamur,0,2020
Kacang Merah,204,2020
Kacang Panjang,167,2020
Kangkung,55,2020
Kembang Kol,0,2020
Kentang,6347,2020
Ketimun,39,2020
Kubis,2397,2020
Labu Siam,46,2020
Lobak,0,2020
Petsai,343,2020
Terung,137,2020
Tomat,357,2020
Wortel,2773,2020
Sawi Putih,0,2020
Blewah,0,2020
Melon,0,2020
Semangka,0,2020
Bawang Daun,1506,2021
Bawang Merah,10,2021
Bawang Putih,80,2021
Bayam,5,2021
Buncis,367,2021
Cabai Besar,1996,2021
Cabai Rawit,1694,2021
Cabai,0,2021
Jamur,0,2021
Kacang Merah,207,2021
Kacang Panjang,155,2021
Kangkung,40,2021
Kembang Kol,0,2021
Kentang,6125,2021
Ketimun,27,2021
Kubis,2205,2021
Labu Siam,58,2021
Lobak,0,2021
Petsai,294,2021
Terung,212,2021
Tomat,340,2021
Wortel,2902,2021
Blewah,0,2021
Melon,0,2021
Semangka,0,2021
Bawang Daun,3,2022
Bawang Merah,0,2022
Bawang Putih,0,2022
Bayam,462,2022
Buncis,2173,2022
Cabai Besar,3047,2022
Cabai Rawit,0,2022
Cabai,10515,2022
Jamur,230,2022
Kacang Merah,96,2022
Kacang Panjang,57,2022
Kangkung,0,2022
Kembang Kol,7052,2022
Kentang,58,2022
Ketimun,2238,2022
Kubis,76,2022
Labu Siam,0,2022
Lobak,453,2022
Petsai,193,2022
Terung,369,2022
Tomat,2946,2022
Sawi Putih,0,2022
Blewah,31461,2022
Buah-buahan,0,2022
Bawang Daun,10,2023
Bawang Merah,1,2023
Bawang Putih,0,2023
Bayam,855,2023
Buncis,7459.5,2023
Cabai Besar,10038.4,2023
Cabai Rawit,0,2023
Cabai,16459,2023
Jamur,0,2023
Kacang Merah,270,2023
Kacang Panjang,51.5,2023
Kangkung,0,2023
Kembang Kol,4411,2023
Kentang,34.5,2023
Ketimun,1977,2023
Kubis,359,2023
Labu Siam,0,2023
Lobak,336,2023
Petsai,418,2023
Terung,1140,2023
Tomat,2323,2023
Sawi Putih,0,2023
Blewah,47346.9,2023
Buah-buahan,0,2023
Bawang Daun,0.35,2024
Bawang Merah,0,2024
Bawang Putih,0,2024
Bayam,666,2024
Buncis,3572.2,2024
Cabai Besar,5541.5,2024
Cabai Rawit,0,2024
Cabai,12499.97,2024
Jamur,0,2024
Kacang Merah,67,2024
Kacang Panjang,60,2024
Kangkung,0,2024
Kembang Kol,7644,2024
Kentang,27,2024
Ketimun,1919,2024
Kubis,223.5,2024
Labu Siam,0,2024
Lobak,279,2024
Petsai,360,2024
Terung,1232,2024
Tomat,2117,2024
Sawi Putih,0,2024
Blewah,37269.52,2024
Buah-buahan,1,2024
