Kategori,Luas (Ha),Tahun
I. Lahan sawah,14807,2014
a. Lahan irigasi,10966,2014
b. Lahan tadah hujan,3565,2014
c. Lahan pasang surut,276,2014
II. Bukan lahan sawah,71954,2014
a. Tegal/kebun,46034,2014
b. Perkebunan,2317,2014
c. Hutan rakyat,7175,2014
d. lainnya,16368,2014
e. Lahan yang tidak diusahakan,60,2014
III. Lahan bukan pertanian lainnya,20210,2014
I. Lahan sawah,14807,2015
a. Lahan irigasi,10966,2015
b. Lahan tadah hujan,3565,2015
c. Lahan pasang surut,276,2015
II. Bukan lahan sawah,71954,2015
a. Tegal/kebun,46034,2015
b. Perkebunan,2317,2015
c. Hutan rakyat,7175,2015
d. lainnya,16368,2015
e. Lahan yang tidak diusahakan,60,2015
III. Lahan bukan pertanian lainnya,20210,2015
I. Lahan sawah,14807,2016
a. Lahan irigasi,10966,2016
b. Lahan tadah hujan,3565,2016
c. Lahan pasang surut,276,2016
II. Bukan lahan sawah,71954,2016
a. Tegal/kebun,46034,2016
b. Perkebunan,2317,2016
c. Hutan rakyat,7175,2016
d. lainnya,16368,2016
e. Lahan yang tidak diusahakan,60,2016
III. Lahan bukan pertanian lainnya,20210,2016
I. Lahan sawah,14127.8,2017
a. Lahan irigasi,11134.9,2017
b. Lahan tadah hujan,2939.2,2017
c. Lahan pasang surut,53.7,2017
II. Bukan lahan sawah,73765.2,2017
a. Tegal/kebun,44538.4,2017
b. Perkebunan,3193.7,2017
c. Hutan rakyat,7400.8,2017
d. lainnya,18621.3,2017
e. Lahan yang tidak diusahakan,11,2017
III. Lahan bukan pertanian lainnya,19078.7,2017
I. Lahan sawah,14127.8,2018
a. Lahan irigasi,11134.9,2018
b. Lahan tadah hujan,2939.2,2018
c. Lahan pasang surut,53.7,2018
II. Bukan lahan sawah,73765.2,2018
a. Tegal/kebun,44538.4,2018
b. Perkebunan,3193.7,2018
c. Hutan rakyat,7400.8,2018
d. lainnya,18621.3,2018
e. Lahan yang tidak diusahakan,11,2018
III. Lahan bukan pertanian lainnya,19078.7,2018
I. Lahan sawah,14054.1,2019
a. Lahan irigasi,11046.1,2019
b. Lahan tadah hujan,2942.3,2019
c. Lahan pasang surut,65.7,2019
II. Bukan lahan sawah,74507.8,2019
a. Tegal/kebun,45899.2,2019
b. Perkebunan,2798.9,2019
c. Hutan rakyat,6609.6,2019
d. lainnya,19189.1,2019
e. Lahan yang tidak diusahakan,11,2019
III. Lahan bukan pertanian lainnya,18409.8,2019
I. Lahan sawah,14049.07,2020
a. Lahan irigasi,11101.11,2020
b. Lahan tadah hujan,2882.76,2020
c. Lahan pasang surut,65.2,2020
II. Bukan lahan sawah,72140.12,2020
a. Tegal/kebun,42820.13,2020
b. Perkebunan,3088.92,2020
c. Hutan rakyat,7362.85,2020
d. lainnya,18857.22,2020
e. Lahan yang tidak diusahakan,11,2020
III. Lahan bukan pertanian lainnya,20782.51,2020
I. Lahan sawah,13291.58,2021
a. Lahan irigasi,10981.69,2021
b. Lahan tadah hujan,2244.69,2021
c. Lahan pasang surut,65.2,2021
II. Bukan lahan sawah,75615.92,2021
a. Tegal/kebun,46296.13,2021
b. Perkebunan,3088.92,2021
c. Hutan rakyat,7362.85,2021
d. lainnya,18857.02,2021
e. Lahan yang tidak diusahakan,11,2021
III. Lahan bukan pertanian lainnya,18064.2,2021
I. Lahan sawah,12939.63,2022
a. Lahan irigasi,10639.07,2022
b. Lahan tadah hujan,2238.87,2022
c. Lahan pasang surut,61.7,2022
II. Bukan lahan sawah,74520.92,2022
a. Tegal/kebun,46175.03,2022
b. Perkebunan,3088.92,2022
c. Hutan rakyat,6066.55,2022
d. lainnya,19179.42,2022
e. Lahan yang tidak diusahakan,11,2022
III. Lahan bukan pertanian lainnya,19511.15,2022
I. Lahan sawah,12645.53,2023
a. Lahan irigasi,10502.89,2023
b. Lahan tadah hujan,2088.94,2023
c. Lahan pasang surut,53.7,2023
II. Bukan lahan sawah,71702.63,2023
a. Tegal/kebun,43144.89,2023
b. Perkebunan,3083.42,2023
c. Hutan rakyat,6062.25,2023
d. lainnya,19401.07,2023
e. Lahan yang tidak diusahakan,11,2023
III. Lahan bukan pertanian lainnya,22623.54,2023
I. Lahan sawah,12057.34,2024
a. Lahan irigasi,9912.34,2024
b. Lahan tadah hujan,2091.3,2024
c. Lahan pasang surut,53.7,2024
II. Bukan lahan sawah,75466.38,2024
a. Tegal/kebun,45800.23,2024
b. Perkebunan,2601.29,2024
c. Hutan rakyat,6502.92,2024
d. lainnya,19914.54,2024
e. Lahan yang tidak diusahakan,647.4,2024
III. Lahan bukan pertanian lainnya,19447.98,2024
