Jenis Penggunaan;Luas (Ha);Tahun
Lahan Sawah - irigasi;10966;2014
Lahan Sawah - tadah hujan;3565;2014
Lahan Sawah - pasang surut;276;2014
Bukan Lahan Sawah - Tegal/kebun;46034;2014
Bukan Lahan Sawah - Perkebunan;2317;2014
Bukan Lahan Sawah - Hutan rakyat;7175;2014
Bukan Lahan Sawah - lainnya1;16368;2014
Bukan Lahan Sawah - Lahan yang tidak diusahakan;60;2014
Lahan Bukan Pertanian;20210;2014
Lahan Sawah - irigasi;10966;2015
Lahan Sawah - tadah hujan;3565;2015
Lahan Sawah - pasang surut;276;2015
Bukan Lahan Sawah - Tegal/kebun;46034;2015
Bukan Lahan Sawah - Perkebunan;2317;2015
Bukan Lahan Sawah - Hutan rakyat;7175;2015
Bukan Lahan Sawah - lainnya1;16368;2015
Bukan Lahan Sawah - Lahan yang tidak diusahakan;60;2015
Lahan Bukan Pertanian;20210;2015
Lahan Sawah - irigasi;10966;2016
Lahan Sawah - tadah hujan;3565;2016
Lahan Sawah - pasang surut;276;2016
Bukan Lahan Sawah - Tegal/kebun;46034;2016
Bukan Lahan Sawah - Perkebunan;2317;2016
Bukan Lahan Sawah - Hutan rakyat;7175;2016
Bukan Lahan Sawah - lainnya1;16368;2016
Bukan Lahan Sawah - Lahan yang tidak diusahakan;60;2016
Lahan Bukan Pertanian;20210;2016
Lahan Sawah - irigasi;11134.9;2017
Lahan Sawah - tadah hujan;2939.2;2017
Lahan Sawah - pasang surut;53.7;2017
Bukan Lahan Sawah - Tegal/kebun;44538.4;2017
Bukan Lahan Sawah - Perkebunan;3193.7;2017
Bukan Lahan Sawah - Hutan rakyat;7400.8;2017
Bukan Lahan Sawah - lainnya1;18621.3;2017
Bukan Lahan Sawah - Lahan yang tidak diusahakan;11;2017
Lahan Bukan Pertanian;19078.7;2017
Lahan Sawah - irigasi;11134.9;2018
Lahan Sawah - tadah hujan;2939.2;2018
Lahan Sawah - pasang surut;53.7;2018
Bukan Lahan Sawah - Tegal/kebun;44538.4;2018
Bukan Lahan Sawah - Perkebunan;3193.7;2018
Bukan Lahan Sawah - Hutan rakyat;7400.8;2018
Bukan Lahan Sawah - lainnya1;18621.3;2018
Bukan Lahan Sawah - Lahan yang tidak diusahakan;11;2018
Lahan Bukan Pertanian;19078.7;2018
Lahan Sawah - irigasi;11046.1;2019
Lahan Sawah - tadah hujan;2942.3;2019
Lahan Sawah - pasang surut;65.7;2019
Bukan Lahan Sawah - Tegal/kebun;45899.2;2019
Bukan Lahan Sawah - Perkebunan;2798.9;2019
Bukan Lahan Sawah - Hutan rakyat;6609.6;2019
Bukan Lahan Sawah - lainnya1;19189.1;2019
Bukan Lahan Sawah - Lahan yang tidak diusahakan;11;2019
Lahan Bukan Pertanian;18409.8;2019
Lahan Sawah - irigasi;11101.11;2020
Lahan Sawah - tadah hujan;2882.76;2020
Lahan Sawah - pasang surut;65.2;2020
Bukan Lahan Sawah - Tegal/kebun;42820.13;2020
Bukan Lahan Sawah - Perkebunan;3088.92;2020
Bukan Lahan Sawah - Hutan rakyat;7362.85;2020
Bukan Lahan Sawah - lainnya1;18857.22;2020
Bukan Lahan Sawah - Lahan yang tidak diusahakan;11;2020
Lahan Bukan Pertanian;20782.51;2020
Lahan Sawah - irigasi;10981.69;2021
Lahan Sawah - tadah hujan;2244.69;2021
Lahan Sawah - pasang surut;65.2;2021
Bukan Lahan Sawah - Tegal/kebun;46296.13;2021
Bukan Lahan Sawah - Perkebunan;3088.92;2021
Bukan Lahan Sawah - Hutan rakyat;7362.85;2021
Bukan Lahan Sawah - lainnya1;18857.02;2021
Bukan Lahan Sawah - Lahan yang tidak diusahakan;11;2021
Lahan Bukan Pertanian;18064.2;2021
Lahan Sawah - irigasi;10639.068;2022
Lahan Sawah - tadah hujan;2238.866;2022
Lahan Sawah - pasang surut;61.7;2022
Bukan Lahan Sawah - Tegal/kebun;46175.03;2022
Bukan Lahan Sawah - Perkebunan;3088.92;2022
Bukan Lahan Sawah - Hutan rakyat;6066.55;2022
Bukan Lahan Sawah - lainnya1;19179.42;2022
Bukan Lahan Sawah - Lahan yang tidak diusahakan;11;2022
Lahan Bukan Pertanian;19511.15;2022
Lahan Sawah - irigasi;10502.89;2023
Lahan Sawah - tadah hujan;2088.94;2023
Lahan Sawah - pasang surut;53.7;2023
Bukan Lahan Sawah - Tegal/kebun;43144.89;2023
Bukan Lahan Sawah - Perkebunan;3083.42;2023
Bukan Lahan Sawah - Hutan rakyat;6062.25;2023
Bukan Lahan Sawah - lainnya1;19401.07;2023
Bukan Lahan Sawah - Lahan yang tidak diusahakan;11;2023
Lahan Bukan Pertanian;22623.54;2023
Lahan Sawah - irigasi;9912.34;2024
Lahan Sawah - tadah hujan;2091.3;2024
Lahan Sawah - pasang surut;53.7;2024
Bukan Lahan Sawah - Tegal/kebun;45800.23;2024
Bukan Lahan Sawah - Perkebunan;2601.29;2024
Bukan Lahan Sawah - Hutan rakyat;6502.92;2024
Bukan Lahan Sawah - lainnya1;19914.54;2024
Bukan Lahan Sawah - Lahan yang tidak diusahakan;647.4;2024
Lahan Bukan Pertanian;19447.98;2024
