Kecamatan,Luas,Produksi,Tahun
Banjarmangu,0,0,2018
Banjarmangu,0,0,2019
Banjarmangu,0,0,2020
Banjarmangu,0,0,2021
Banjarmangu,0,0,2022
Banjarmangu,0,0,2023
Banjarmangu,0,0,2024
Banjarnegara,0,0,2018
Banjarnegara,0,0,2019
Banjarnegara,0,0,2020
Banjarnegara,0,0,2021
Banjarnegara,0,0,2022
Banjarnegara,0,0,2023
Banjarnegara,0,0,2024
Bawang,0,0,2018
Bawang,0,0,2019
Bawang,0,0,2020
Bawang,0,0,2021
Bawang,0,0,2022
Bawang,0,0,2023
Bawang,0,0,2024
Kalibening,0,0,2018
Kalibening,0,0,2019
Kalibening,0,0,2020
Kalibening,0,0,2021
Kalibening,0,0,2022
Kalibening,0,0,2023
Kalibening,0,0,2024
Karangkobar,0,0,2018
Karangkobar,0,0,2019
Karangkobar,0,0,2020
Karangkobar,0,0,2021
Karangkobar,0,0,2022
Karangkobar,0,0,2023
Karangkobar,0,0,2024
Madukara,0,0,2018
Madukara,0,0,2019
Madukara,0,0,2020
Madukara,0,0,2021
Madukara,0,0,2022
Madukara,0,0,2023
Madukara,0,0,2024
Mandiraja,0,0,2018
Mandiraja,0,0,2019
Mandiraja,0,0,2020
Mandiraja,0,0,2021
Mandiraja,0,0,2022
Mandiraja,0,0,2023
Mandiraja,0,0,2024
Pagedongan,3,899.49,2018
Pagedongan,3,1015,2019
Pagedongan,3,1235,2020
Pagedongan,3,1381,2021
Pagedongan,3,1081,2022
Pagedongan,3,1381,2023
Pagedongan,3,0,2024
Pagentan,0,0,2018
Pagentan,0,0,2019
Pagentan,0,0,2020
Pagentan,0,0,2021
Pagentan,0,0,2022
Pagentan,0,0,2023
Pagentan,0,0,2024
Pandanarum,0,0,2018
Pandanarum,0,0,2019
Pandanarum,0,0,2020
Pandanarum,0,0,2021
Pandanarum,0,0,2022
Pandanarum,0,0,2023
Pandanarum,0,0,2024
Pejawaran,0,0,2018
Pejawaran,0,0,2019
Pejawaran,0,0,2020
Pejawaran,0,0,2021
Pejawaran,0,0,2022
Pejawaran,0,0,2023
Pejawaran,0,0,2024
Punggelan,0,0,2018
Punggelan,0,0,2019
Punggelan,0,0,2020
Punggelan,0,0,2021
Punggelan,0,0,2022
Punggelan,0,0,2023
Punggelan,0,0,2024
Purwonegoro,0,0,2018
Purwonegoro,0,0,2019
Purwonegoro,0,0,2020
Purwonegoro,0,0,2021
Purwonegoro,0,0,2022
Purwonegoro,0,0,2023
Purwonegoro,0,0,2024
Purworejo Klampok,0,0,2018
Purworejo Klampok,0,0,2019
Purworejo Klampok,0,0,2020
Purworejo Klampok,0,0,2021
Purworejo Klampok,0,0,2022
Purworejo Klampok,0,0,2023
Purworejo Klampok,0,0,2024
Rakit,0,0,2018
Rakit,0,0,2019
Rakit,0,0,2020
Rakit,0,0,2021
Rakit,0,0,2022
Rakit,0,0,2023
Rakit,0,0,2024
Sigaluh,0,0,2018
Sigaluh,0,0,2019
Sigaluh,0,0,2020
Sigaluh,0,0,2021
Sigaluh,0,0,2022
Sigaluh,0,0,2023
Sigaluh,0,0,2024
Susukan,0,0,2018
Susukan,0,0,2019
Susukan,0,0,2020
Susukan,0,0,2021
Susukan,0,0,2022
Susukan,0,0,2023
Susukan,0,0,2024
Wanadadi,0,0,2018
Wanadadi,0,0,2019
Wanadadi,0,0,2020
Wanadadi,0,0,2021
Wanadadi,0,0,2022
Wanadadi,0,0,2023
Wanadadi,0,0,2024
Wanayasa,0,0,2018
Wanayasa,0,0,2019
Wanayasa,0,0,2020
Wanayasa,0,0,2021
Wanayasa,0,0,2022
Wanayasa,0,0,2023
Wanayasa,0,0,2024
Batur,32,1875.51,2018
Batur,32,2117,2019
Batur,32,2576,2020
Batur,32,2881,2021
Batur,32,2255,2022
Batur,32,2881,2023
Batur,32,3955,2024
J u m l a h,35,2775,2018
J u m l a h,35,3132,2019
J u m l a h,35,3811,2020
J u m l a h,35,4262,2021
J u m l a h,35,3336,2022
J u m l a h,35,4262,2023
J u m l a h,35,3955,2024
