Kecamatan,Luas Perairan Umum Waduk,Produksi Perairan Umum Waduk,Luas Perairan Umum Sungai,Produksi Perairan Umum Sungai,Luas Perairan Telaga/Rawa,Produksi Perairan Telaga/Rawa,Tahun 
Susukan, - , - , 27 ," 31,869 ", - , - ,2018
Purwareja Klampok, - , - , 21 ," 24,163 ", - , - ,2018
Mandiraja, - , - , 75 ," 88,138 ", - , - ,2018
Purwanegara, - , - , 54 ," 58,548 ", - , - ,2018
Bawang, 438 ," 209,934 ", 14 ," 16,029 ", - , - ,2018
Banjarnegara, - , - , 26 ," 30,303 ", - , - ,2018
Pagedongan, - , - , 8 ," 9,478 ", 3 , 899 ,2018
Sigaluh, - , - , 12 ," 13,513 ", - , - ,2018
Madukara, - , - , 12 ," 14,320 ", - , - ,2018
Banjarmangu, - , - , 22 ," 25,619 ", - , - ,2018
Wanadadi, 813 ," 407,520 ", 61 ," 71,681 ", - , - ,2018
Rakit, - , - , 90 ," 48,547 ", - , - ,2018
Punggelan, - , - , 18 ," 19,036 ", - , - ,2018
Karangkobar, - , - , 8 ," 8,877 ", - , - ,2018
Pagentan, - , - , 9 ," 10,301 ", - , - ,2018
Pejawaran, - , - , 7 ," 4,731 ", - , - ,2018
Batur, - , - , 6 ," 2,263 ", 32 ," 1,876 ",2018
Wanayasa, - , - , 16 ," 15,254 ", - , - ,2018
Kalibening, - , - , 15 ," 17,264 ", - , - ,2018
Pandanarum, - , - , 8 ," 9,874 ", - , - ,2018
Susukan, - , - , 27 ," 34,978 ", - , - ,2019
Purwareja Klampok, - , - , 21 ," 26,520 ", - , - ,2019
Mandiraja, - , - , 75 ," 96,736 ", - , - ,2019
Purwanegara, - , - , 54 ," 64,259 ", - , - ,2019
Bawang, 438 ," 230,372 ", 14 ," 17,593 ", - , - ,2019
Banjarnegara, - , - , 26 ," 33,259 ", - , - ,2019
Pagedongan, - , - , 8 ," 10,403 ", 3 ," 1,015 ",2019
Sigaluh, - , - , 12 ," 14,832 ", - , - ,2019
Madukara, - , - , 12 ," 15,717 ", - , - ,2019
Banjarmangu, - , - , 22 ," 28,118 ", - , - ,2019
Wanadadi, 813 ," 447,193 ", 61 ," 78,674 ", - , - ,2019
Rakit, - , - , 90 ," 53,283 ", - , - ,2019
Punggelan, - , - , 18 ," 20,893 ", - , - ,2019
Karangkobar, - , - , 8 ," 9,743 ", - , - ,2019
Pagentan, - , - , 9 ," 11,306 ", - , - ,2019
Pejawaran, - , - , 7 ," 5,193 ", - , - ,2019
Batur, - , - , 6 ," 2,484 ", 32 ," 2,117 ",2019
Wanayasa, - , - , 16 ," 16,742 ", - , - ,2019
Kalibening, - , - , 15 ," 18,948 ", - , - ,2019
Pandanarum, - , - , 8 ," 10,837 ", - , - ,2019
Susukan, - , - , 27 ," 38,896 ", - , - ,2020
Purwareja Klampok, - , - , 21 ," 29,490 ", - , - ,2020
Mandiraja, - , - , 75 ," 107,571 ", - , - ,2020
Purwanegara, - , - , 54 ," 71,457 ", - , - ,2020
Bawang, 438 ," 253,577 ", 14 ," 19,563 ", - , - ,2020
Banjarnegara, - , - , 26 ," 36,987 ", - , - ,2020
Pagedongan, - , - , 8 ," 11,568 ", 3 ," 1,235 ",2020
Sigaluh, - , - , 12 ," 16,493 ", - , - ,2020
Madukara, - , - , 12 ," 17,478 ", - , - ,2020
Banjarmangu, - , - , 22 ," 31,267 ", - , - ,2020
Wanadadi, 813 ," 492,237 ", 61 ," 87,486 ", - , - ,2020
Rakit, - , - , 90 ," 59,251 ", - , - ,2020
Punggelan, - , - , 18 ," 23,233 ", - , - ,2020
Karangkobar, - , - , 8 ," 10,834 ", - , - ,2020
Pagentan, - , - , 9 ," 12,573 ", - , - ,2020
Pejawaran, - , - , 7 ," 5,774 ", - , - ,2020
Batur, - , - , 6 ," 2,762 ", 32 ," 2,576 ",2020
Wanayasa, - , - , 16 ," 18,617 ", - , - ,2020
Kalibening, - , - , 15 ," 21,070 ", - , - ,2020
Pandanarum, - , - , 8 ," 12,051 ", - , - ,2020
Susukan, - , - , 27 ," 36,683 ", - , - ,2021
Purwareja Klampok, - , - , 21 ," 27,813 ", - , - ,2021
Mandiraja, - , - , 75 ," 101,452 ", - , - ,2021
Purwanegara, - , - , 54 ," 67,392 ", - , - ,2021
Bawang, 438 ," 221,220 ", 14 ," 18,450 ", - , - ,2021
Banjarnegara, - , - , 26 ," 34,881 ", - , - ,2021
Pagedongan, - , - , 8 ," 10,910 ", 3 ," 1,381 ",2021
Sigaluh, - , - , 12 ," 15,555 ", - , - ,2021
Madukara, - , - , 12 ," 16,484 ", - , - ,2021
Banjarmangu, - , - , 22 ," 29,488 ", - , - ,2021
Wanadadi, 813 ," 429,426 ", 61 ," 82,509 ", - , - ,2021
Rakit, - , - , 90 ," 55,881 ", - , - ,2021
Punggelan, - , - , 18 ," 21,911 ", - , - ,2021
Karangkobar, - , - , 8 ," 10,218 ", - , - ,2021
Pagentan, - , - , 9 ," 11,857 ", - , - ,2021
Pejawaran, - , - , 7 ," 5,446 ", - , - ,2021
Batur, - , - , 6 ," 2,605 ", 32 ," 2,881 ",2021
Wanayasa, - , - , 16 ," 17,558 ", - , - ,2021
Kalibening, - , - , 15 ," 19,871 ", - , - ,2021
Pandanarum, - , - , 8 ," 11,366 ", - , - ,2021
Susukan, - , - , 27 ," 22,074 ", - , - ,2022
Purwareja Klampok, - , - , 21 ," 16,736 ", - , - ,2022
Mandiraja, - , - , 75 ," 61,048 ", - , - ,2022
Purwanegara, - , - , 54 ," 40,552 ", - , - ,2022
Bawang, 438 ," 156,673 ", 14 ," 11,103 ", - , - ,2022
Banjarnegara, - , - , 26 ," 20,988 ", - , - ,2022
Pagedongan, - , - , 8 ," 6,565 ", 3 ," 1,081 ",2022
Sigaluh, - , - , 12 ," 9,359 ", - , - ,2022
Madukara, - , - , 12 ," 9,918 ", - , - ,2022
Banjarmangu, - , - , 22 ," 17,743 ", - , - ,2022
Wanadadi, 813 ," 304,129 ", 61 ," 49,649 ", - , - ,2022
Rakit, - , - , 90 ," 33,625 ", - , - ,2022
Punggelan, - , - , 18 ," 13,185 ", - , - ,2022
Karangkobar, - , - , 8 ," 6,147 ", - , - ,2022
Pagentan, - , - , 9 ," 7,135 ", - , - ,2022
Pejawaran, - , - , 7 ," 3,278 ", - , - ,2022
Batur, - , - , 6 ," 1,569 ", 32 ," 2,255 ",2022
Wanayasa, - , - , 16 ," 10,565 ", - , - ,2022
Kalibening, - , - , 15 ," 11,957 ", - , - ,2022
Pandanarum, - , - , 8 ," 6,838 ", - , - ,2022
Susukan, - , - , 27 ," 26,755 ", - , - ,2023
Purwareja Klampok, - , - , 21 ," 20,286 ", - , - ,2023
Mandiraja, - , - , 75 ," 73,995 ", - , - ,2023
Purwanegara, - , - , 54 ," 49,153 ", - , - ,2023
Bawang, 438 ," 89,138 ", 14 ," 13,457 ", - , - ,2023
Banjarnegara, - , - , 26 ," 25,441 ", - , - ,2023
Pagedongan, - , - , 8 ," 7,957 ", 3 ," 1,381 ",2023
Sigaluh, - , - , 12 ," 11,345 ", - , - ,2023
Madukara, - , - , 12 ," 12,023 ", - , - ,2023
Banjarmangu, - , - , 22 ," 21,508 ", - , - ,2023
Wanadadi, 813 ," 173,032 ", 61 ," 60,179 ", - , - ,2023
Rakit, - , - , 90 ," 40,757 ", - , - ,2023
Punggelan, - , - , 18 ," 15,981 ", - , - ,2023
Karangkobar, - , - , 8 ," 7,453 ", - , - ,2023
Pagentan, - , - , 9 ," 8,648 ", - , - ,2023
Pejawaran, - , - , 7 ," 3,972 ", - , - ,2023
Batur, - , - , 6 ," 1,900 ", 32 ," 2,881 ",2023
Wanayasa, - , - , 16 ," 12,806 ", - , - ,2023
Kalibening, - , - , 15 ," 14,494 ", - , - ,2023
Pandanarum, - , - , 8 ," 8,290 ", - , - ,2023
Susukan, - , - , 27 , - , - , - ,2024
Purwareja Klampok, - , - , 21 ," 34,109 ", - , - ,2024
Mandiraja, - , - , 75 ," 32,465 ", - , - ,2024
Purwanegara, - , - , 54 ," 45,329 ", - , - ,2024
Bawang, 438 ," 212,914 ", 14 , - , - , - ,2024
Banjarnegara, - , - , 26 , - , - , - ,2024
Pagedongan, - , - , 8 , - , 3 , - ,2024
Sigaluh, - , - , 12 ," 43,309 ", - , - ,2024
Madukara, - , - , 12 , - , - , - ,2024
Banjarmangu, - , - , 22 , - , - , - ,2024
Wanadadi, 813 ," 179,270 ", 61 , - , - , - ,2024
Rakit, - , - , 90 ," 33,606 ", - , - ,2024
Punggelan, - , - , 18 , - , - , - ,2024
Karangkobar, - , - , 8 , - , - , - ,2024
Pagentan, - , - , 9 , - , - , - ,2024
Pejawaran, - , - , 7 ," 102,021 ", - , - ,2024
Batur, - , - , 6 , - , 32 ," 3,955 ",2024
Wanayasa, - , - , 16 , - , - , - ,2024
Kalibening, - , - , 15 ," 67,781 ", - , - ,2024
Pandanarum, - , - , 8 , - , - , - ,2024
