Kecamatan,Jenis Kolam Luas,Produksi,Luas,Tahun
Banjarmangu,0.44,0,0,2018
Banjarmangu,0.44,18210755,,2019
Banjarmangu,0.44,0,0,2020
Banjarmangu,0.44,0,0,2021
Banjarmangu,0.44,0,0,2022
Banjarmangu,0.44,0,0,2023
Banjarmangu,0.44,0,0,2024
Banjarnegara,2.64,0,0,2018
Banjarnegara,2.64,132557353,,2019
Banjarnegara,2.64,0,0,2020
Banjarnegara,2.64,0,0,2021
Banjarnegara,2.64,0,0,2022
Banjarnegara,2.64,0,0,2023
Banjarnegara,2.64,0,0,2024
Bawang,6.98,5620000,2,2018
Bawang,6.98,6595000,2,2019
Bawang,6.98,7225000,2,2020
Bawang,6.98,6000000,1,2021
Bawang,6.98,7703000,1,2022
Bawang,6.98,0,1,2023
Bawang,6.98,6425000,1,2024
Kalibening,0.2,0,0,2018
Kalibening,0.2,635259,,2019
Kalibening,0.2,0,0,2020
Kalibening,0.2,0,0,2021
Kalibening,0.2,0,0,2022
Kalibening,0.2,0,0,2023
Kalibening,0.2,0,0,2024
Karangkobar,0.2,0,0,2018
Karangkobar,0.2,1482271,,2019
Karangkobar,0.2,0,0,2020
Karangkobar,0.2,0,0,2021
Karangkobar,0.2,0,0,2022
Karangkobar,0.2,0,0,2023
Karangkobar,0.2,0,0,2024
Madukara,0.6,0,0,2018
Madukara,0.6,16728484,,2019
Madukara,0.6,0,0,2020
Madukara,0.6,0,0,2021
Madukara,0.6,0,0,2022
Madukara,0.6,0,0,2023
Madukara,0.6,0,0,2024
Mandiraja,5.84,0,0,2018
Mandiraja,5.84,391531223,,2019
Mandiraja,5.84,0,0,2020
Mandiraja,5.84,0,0,2021
Mandiraja,5.84,0,0,2022
Mandiraja,5.84,0,0,2023
Mandiraja,5.84,0,0,2024
Pagedongan,1.98,0,0,2018
Pagedongan,1.98,66066924,,2019
Pagedongan,1.98,0,0,2020
Pagedongan,1.98,0,0,2021
Pagedongan,1.98,0,0,2022
Pagedongan,1.98,0,0,2023
Pagedongan,1.98,0,0,2024
Pagentan,0.25,0,0,2018
Pagentan,0.25,1905777,,2019
Pagentan,0.25,0,0,2020
Pagentan,0.25,0,0,2021
Pagentan,0.25,0,0,2022
Pagentan,0.25,0,0,2023
Pagentan,0.25,0,0,2024
Pandanarum,0,0,0,2018
Pandanarum,,0,0,2020
Pandanarum,0,0,0,2021
Pandanarum,0,,,2022
Pandanarum,0,0,0,2023
Pandanarum,0,0,0,2024
Pejawaran,0.53,0,0,2018
Pejawaran,0.53,1694024,,2019
Pejawaran,0.53,0,0,2020
Pejawaran,0.53,0,0,2021
Pejawaran,0.53,0,0,2022
Pejawaran,0.53,0,0,2023
Pejawaran,0.53,0,0,2024
Punggelan,0.32,0,0,2018
Punggelan,0.32,2329283,,2019
Punggelan,0.32,0,0,2020
Punggelan,0.32,0,0,2021
Punggelan,0.32,0,0,2022
Punggelan,0.32,0,0,2023
Punggelan,0.32,0,0,2024
Purwonegoro,21.65,0,0,2018
Purwonegoro,21.65,166861332,,2019
Purwonegoro,21.65,0,0,2020
Purwonegoro,21.65,0,0,2021
Purwonegoro,21.65,0,0,2022
Purwonegoro,21.65,0,0,2023
Purwonegoro,21.65,0,0,2024
Purworejo Klampok,0.23,0,0,2018
Purworejo Klampok,0.23,23716332,,2019
Purworejo Klampok,0.23,0,0,2020
Purworejo Klampok,0.23,0,0,2021
Purworejo Klampok,0.23,0,0,2022
Purworejo Klampok,0.23,0,0,2023
Purworejo Klampok,0.23,0,0,2024
Rakit,19.6,0,0,2018
Rakit,19.6,785391729,,2019
Rakit,19.6,0,0,2020
Rakit,19.6,0,0,2021
Rakit,19.6,0,0,2022
Rakit,19.6,0,0,2023
Rakit,19.6,0,0,2024
Sigaluh,1.18,0,0,2018
Sigaluh,1.18,13552189,,2019
Sigaluh,1.18,0,0,2020
Sigaluh,1.18,0,0,2021
Sigaluh,1.18,0,0,2022
Sigaluh,1.18,0,0,2023
Sigaluh,1.18,0,0,2024
Susukan,1.66,0,0,2018
Susukan,1.66,21810555,,2019
Susukan,1.66,0,0,2020
Susukan,1.66,0,0,2021
Susukan,1.66,0,0,2022
Susukan,1.66,0,0,2023
Susukan,1.66,0,0,2024
Wanadadi,4.43,0,0,2018
Wanadadi,4.43,72631265,,2019
Wanadadi,4.43,0,0,2020
Wanadadi,4.43,0,0,2021
Wanadadi,4.43,0,0,2022
Wanadadi,4.43,0,0,2023
Wanadadi,4.43,0,0,2024
Wanayasa,0.2,0,0,2018
Wanayasa,0.2,423506,,2019
Wanayasa,0.2,0,0,2020
Wanayasa,0.2,0,0,2021
Wanayasa,0.2,0,0,2022
Wanayasa,0.2,0,0,2023
Wanayasa,0.2,0,0,2024
Batur,0,0,0,2018
Batur,,0,0,2020
Batur,0,0,0,2021
Batur,0,0,0,2022
Batur,0,0,0,2023
Batur,0,0,0,2024
Jumlah,68.93,5620000,2,2018
Jumlah,68.93,6595000,2,2019
Jumlah,68.93,7225000,2,2020
Jumlah,68.93,6000000,1,2021
Jumlah,68.93,7703000,1,2022
Jumlah,68.93,0,1,2023
Jumlah,68.93,6425000,1,2024
