Kecamatan,Mangga (ton) 2017,Durian (ton) 2017,Jeruk Besar (ton) 2017,Pisang (ton) 2017,Pepaya (ton) 2017,Salak (ton) 2017,Jeruk Siam (ton) 2017,Mangga (ton) 2018,Durian (ton) 2018,Jeruk Besar (ton) 2018,Pisang (ton) 2018,Pepaya (ton) 2018,Salak (ton) 2018,Jeruk Siam (ton) 2018,Mangga (ton) 2019,Durian (ton) 2019,Jeruk Besar (ton) 2019,Pisang (ton) 2019,Pepaya (ton) 2019,Salak (ton) 2019,Jeruk Siam (ton) 2019,Mangga (ton) 2020,Durian (ton) 2020,Jeruk Besar (ton) 2020,Pisang (ton) 2020,Pepaya (ton) 2020,Salak (ton) 2020,Jeruk Siam (ton) 2020,Mangga (ton) 2021,Durian (ton) 2021,Jeruk Besar (ton) 2021,Pisang (ton) 2021,Pepaya (ton) 2021,Salak (ton) 2021,Jeruk Siam (ton) 2021,Mangga (ton) 2022,Durian (ton) 2022,Jeruk Besar (ton) 2022,Pisang (ton) 2022,Pepaya (ton) 2022,Salak (ton) 2022,Jeruk Siam (ton) 2022,Mangga (ton) 2023,Durian (ton) 2023,Jeruk Besar (ton) 2023,Pisang (ton) 2023,Pepaya (ton) 2023,Salak (ton) 2023,Jeruk Siam (ton) 2023,Mangga (ton) 2024,Durian (ton) 2024,Jeruk Besar (ton) 2024,Pisang (ton) 2024,Pepaya (ton) 2024,Salak (ton) 2024,Jeruk Siam (ton) 2024,Tahun
Banjarmangu,189.2,1567.8,,3238.8,295.2,123192.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarmangu,,,,,,,,303.3,1267.9,19,3228.9,398.4,129704.2,105.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Banjarmangu,,,,,,,,,,,,,,,333.5,991,22.5,2804.6,228,122291.5,111.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,429.9,4476.7,21.6,1785.8,303.8,95868,129.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.8,2534.6,0,2375.7,317.6,169838.8,97.6,,,,,,,,,,,,,,,,,,,,,,2021
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232.9,1488,0,4618,404,96282,58.3,,,,,,,,,,,,,,,2022
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,145,,30.5,17.2,40100,0,,,,,,,,2023
Banjarmangu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.95,266,0,524,739.5,9230,0,2024
Banjarnegara,0,0.4,,0,4.4,13020.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Banjarnegara,,,,,,,,4,73.2,0,70.9,9.5,3184,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Banjarnegara,,,,,,,,,,,,,,,0,52.8,0,18.4,36.5,892.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,11.9,28,0,48.3,23.1,2880.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,0,46.5,13.9,8620,0,,,,,,,,,,,,,,,,,,,,,,2021
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21.8,0,173.6,8,5798.3,5.9,,,,,,,,,,,,,,,2022
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,54.75,,42.4,7.92,2133.5,1.9,,,,,,,,2023
Banjarnegara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,60,0,68.5,5.2,2494.68,4,2024
Bawang,4.4,51.3,,70.7,55.1,188.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Bawang,,,,,,,,14.5,11.5,0,103.4,120.4,167,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Bawang,,,,,,,,,,,,,,,8.6,12.2,0,92.1,92,45.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Bawang,,,,,,,,,,,,,,,,,,,,,,0,1.7,0,123,102.2,9.9,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,0.8,0,514.2,147.1,34.3,0,,,,,,,,,,,,,,,,,,,,,,2021
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7,0,435.5,8.9,2.5,0,,,,,,,,,,,,,,,2022
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,32.4,,24.57,15,35.02,0,,,,,,,,2023
Bawang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2024
Kalibening,0,0,,147,14.3,5100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Kalibening,,,,,,,,0,0,0,280,8.1,12000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Kalibening,,,,,,,,,,,,,,,0,0,0,308,9.3,12000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Kalibening,,,,,,,,,,,,,,,,,,,,,,0,0,0,896,11.6,14420,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,694,31.9,9840,0,,,,,,,,,,,,,,,,,,,,,,2021
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,210,47.8,9600,0,,,,,,,,,,,,,,,2022
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,1827,27.12,4550,0,,,,,,,,2023
Kalibening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16000,642.5,80880,0,2024
Karangkobar,0,7.5,,4057.1,0,17155.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Karangkobar,,,,,,,,0,0,21.4,2821.8,0,22481.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Karangkobar,,,,,,,,,,,,,,,0,0.3,14.8,935.6,0,12745.1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Karangkobar,,,,,,,,,,,,,,,,,,,,,,0,0.8,4.2,1491.2,0,18855.8,102.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,245,0,9131.1,13.4,,,,,,,,,,,,,,,,,,,,,,2021
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.2,0,11476.2,0,17424.7,0,,,,,,,,,,,,,,,2022
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6.12,,18921.2,0,3388.77,0.45,,,,,,,,2023
Karangkobar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9.5,0,6845.4,0,6186.19,0,2024
Madukara,12.5,209.5,,6.5,90,161633.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Madukara,,,,,,,,14,1090.2,0,84.8,49,104090.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Madukara,,,,,,,,,,,,,,,9.4,412.5,0,75.4,1.7,71349,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Madukara,,,,,,,,,,,,,,,,,,,,,,17.5,4422,0,233.2,39.7,141986.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,222.5,28.4,110122.5,0,,,,,,,,,,,,,,,,,,,,,,2021
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,182.4,0,242.6,41.5,24970.3,0,,,,,,,,,,,,,,,2022
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40.42,,40.04,2.52,10159.76,0,,,,,,,,2023
Madukara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.74,53.82,0,1552.42,1159.8,23640.34,0,2024
Mandiraja,20,379,,884,26.3,44.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Mandiraja,,,,,,,,225,334.2,15,1097.2,40.2,61.1,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Mandiraja,,,,,,,,,,,,,,,1250,4124,2,5537.4,71.5,151.6,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Mandiraja,,,,,,,,,,,,,,,,,,,,,,900,0,0,5955.2,160,62.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,167.6,0,1680.4,229.6,84.5,0,,,,,,,,,,,,,,,,,,,,,,2021
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,0,0,997,126.2,1.3,0,,,,,,,,,,,,,,,2022
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27.5,,349.6,44.03,0,0,,,,,,,,2023
Mandiraja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,34.1,0,73.59,59.62,0.4,0,2024
Pagedongan,0,0,,109,11.6,4859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagedongan,,,,,,,,14.1,0,0,516.9,99.4,4248.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagedongan,,,,,,,,,,,,,,,0,1512,0,3048.8,307.2,972.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagedongan,,,,,,,,,,,,,,,,,,,,,,383.6,0,0,6265.5,256.7,3557.9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33.3,0,4671.2,112.5,214.3,0,,,,,,,,,,,,,,,,,,,,,,2021
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1626.6,0,0,0,,,,,,,,,,,,,,,2022
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,48.5,,0,0,0,0,,,,,,,,2023
Pagedongan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,11.73,0,0,0,1341.1,0,2024
Pagentan,4,53.8,,251.1,22.7,93129.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pagentan,,,,,,,,3.7,15.6,15.7,286.3,14.8,111043,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pagentan,,,,,,,,,,,,,,,0,3.2,8.7,199.8,14.3,111115.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pagentan,,,,,,,,,,,,,,,,,,,,,,0,19.9,17.1,480.3,35.9,78380.9,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,8.9,744.1,18,41960.9,0,,,,,,,,,,,,,,,,,,,,,,2021
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,6.6,6.4,643,52.5,73238.4,0.3,,,,,,,,,,,,,,,2022
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.04,0.84,14.21,3.99,1186.29,0,,,,,,,,2023
Pagentan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,45,7.7,8.19,3.65,11700.31,0.88,2024
Pandanarum,0,0,,87.4,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pandanarum,,,,,,,,0,1.2,0,190.9,0,175.7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pandanarum,,,,,,,,,,,,,,,0,97.1,0,374.3,0,131.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pandanarum,,,,,,,,,,,,,,,,,,,,,,0,1.2,0,212.4,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2.2,0,233.5,0,54.5,0,,,,,,,,,,,,,,,,,,,,,,2021
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.7,0,240,0,72,0,,,,,,,,,,,,,,,2022
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,80,0,0,0,,,,,,,,2023
Pandanarum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,0,2600,0,0,0,2024
Pejawaran,0,0,,758,0,964.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Pejawaran,,,,,,,,0,0,0,1976.1,0,625.7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pejawaran,,,,,,,,,,,,,,,0,0,0,1254.4,0,575.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019
Pejawaran,,,,,,,,,,,,,,,,,,,,,,0,0,0,1711.4,0,354,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020
Pejawaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1623.5,0,276,0,,,,,,,,,,,,,,,,,,,,,,2021
