Kecamatan,Mangga,Durian,Jeruk Besar,Pisang,Pepaya,Salak,Jeruk Siam,Tahun 
Susukan, 150 , 35 , - ," 1,503 ", 752 , 104 , - ,2017
Purwareja Klampok, 46 , 25 , - , 943 , 46 , - , - ,2017
Mandiraja, 20 , 379 , - , 884 , 26 , 45 , - ,2017
Purwanegara," 1,244 "," 1,967 ", - ," 1,115 ", 55 , - , - ,2017
Bawang, 4 , 51 , - , 71 , 55 , 188 , - ,2017
Banjarnegara, - , 0 , - , - , 4 ," 13,020 ", - ,2017
Pagedongan, - , - , - , 109 , 12 ," 4,859 ", - ,2017
Sigaluh, - , 552 , - ," 1,353 ", 142 ," 20,472 ", - ,2017
Madukara, 13 , 210 , - , 7 , 90 ," 161,634 ", - ,2017
Banjarmangu, 189 ," 1,568 ", - ," 3,239 ", 295 ," 123,192 ", - ,2017
Wanadadi, 5 , 81 , - , 499 ," 2,577 "," 6,946 ", - ,2017
Rakit, - , - , - , 252 , 114 , - , - ,2017
Punggelan, 0 , 94 , - , 860 , 79 ," 1,043 ", - ,2017
Karangkobar, - , 8 , - ," 4,057 ", - ," 17,155 ", - ,2017
Pagentan, 4 , 54 , - , 251 , 23 ," 93,130 ", - ,2017
Pejawaran, - , - , - , 758 , - , 965 , - ,2017
Batur, - , - , - , 44 ," 24,620 ", - , - ,2017
Wanayasa, - , - , - , 355 , 7 , 219 , - ,2017
Kalibening, - , - , - , 147 , 14 ," 5,100 ", - ,2017
Pandanarum, - , - , - , 87 , - , 9 , - ,2017
Susukan, - , 550 , - ," 1,143 "," 1,318 ", 145 , - ,2018
Purwareja Klampok, 49 , 52 , - ," 1,248 ", 33 , - , - ,2018
Mandiraja, 225 , 334 , 15 ," 1,097 ", 40 , 61 , 37 ,2018
Purwanegara, 381 ," 1,501 ", 99 ," 1,216 ", 339 , - , - ,2018
Bawang, 15 , 12 , - , 103 , 120 , 167 , - ,2018
Banjarnegara, 4 , 73 , - , 71 , 10 ," 3,184 ", - ,2018
Pagedongan, 14 , - , - , 517 , 99 ," 4,249 ", - ,2018
Sigaluh, - , 788 , - , 883 , 114 ," 4,509 ", - ,2018
Madukara, 14 ," 1,090 ", - , 85 , 49 ," 104,090 ", - ,2018
Banjarmangu, 303 ," 1,268 ", 19 ," 3,229 ", 398 ," 129,704 ", 105 ,2018
