Jenis Tanaman,Produksi (ton),Tahun
Alpukat,234.3,2018
Belimbing,112,2018
Duku,1662.2,2018
Durian,6050.4,2018
Jambu Biji,2856.5,2018
Jambu Air,237.1,2018
Jeruk Siam,255.9,2018
Jeruk Besa (Pomelo),181.6,2018
Jeruk (Tangerine + Pomelo),0,2018
Mangga,1050.9,2018
Manggis,482.4,2018
Nangka,5115.5,2018
Nenas,60,2018
Pepaya,31316.3,2018
Pisang,18010.4,2018
Rambutan,4814,2018
Salak,400216.7,2018
Sawo,149,2018
Markisa,0,2018
Sirsak,164.1,2018
Sukun,91.4,2018
Melinjo,567,2018
Petai,3748.3,2018
Alpukat,326.9,2019
Belimbing,127.4,2019
Duku,1756.7,2019
Durian,9525.2,2019
Jambu Biji,4501.8,2019
Jambu Air,508.5,2019
Jeruk Siam,262.3,2019
Jeruk Besa (Pomelo),180.4,2019
Jeruk (Tangerine + Pomelo),0,2019
Mangga,3077.7,2019
Manggis,561.7,2019
Nangka,4453.4,2019
Nenas,163.1,2019
Pepaya,23070.4,2019
Pisang,20367.1,2019
Rambutan,6941.3,2019
Salak,350011.1,2019
Sawo,156.4,2019
Markisa,0,2019
Sirsak,212.8,2019
Sukun,653.4,2019
Melinjo,1256.4,2019
Petai,5878.2,2019
Alpukat,344.9,2020
Belimbing,158.3,2020
Duku,1999.5,2020
Durian,11684,2020
Jambu Biji,5083.7,2020
Jambu Air,930.8,2020
Jeruk Siam,291.5,2020
Jeruk Besa (Pomelo),721.5,2020
Jeruk (Tangerine + Pomelo),0,2020
Mangga,3088.9,2020
Manggis,572,2020
Nangka,4636.1,2020
Nenas,279.3,2020
Pepaya,30063.5,2020
Pisang,24884.3,2020
Rambutan,7107.4,2020
Salak,376343.8,2020
Sawo,239.8,2020
Markisa,0,2020
Sirsak,245.5,2020
Sukun,552.1,2020
Melinjo,1655.7,2020
Petai,5996.5,2020
Alpukat,279.1,2021
Belimbing,246,2021
Duku,2499.2,2021
Durian,6736.3,2021
Jambu Biji,4061.7,2021
Jambu Air,799.5,2021
Jeruk Siam,242.1,2021
Jeruk (Tangerine + Pomelo),0,2021
Mangga,2486.4,2021
Manggis,925.5,2021
Nangka,10046.7,2021
Nenas,189,2021
Pepaya,26445.3,2021
Pisang,25614,2021
Rambutan,4487.9,2021
Salak,360212.6,2021
Sawo,193.4,2021
Markisa,0,2021
Sirsak,237.4,2021
Sukun,509.9,2021
Melinjo,1044.8,2021
Petai,3627.4,2021
Alpukat,58.8,2022
Belimbing,55.3,2022
Duku,745.9,2022
Durian,12298.3,2022
Jambu Biji,2225.1,2022
Jambu Air,190.7,2022
Jeruk Siam,75.9,2022
Jeruk Besa (Pomelo),743.4,2022
Jeruk (Tangerine + Pomelo),0,2022
Mangga,2807.7,2022
Manggis,48.5,2022
Nangka,7744,2022
Nenas,71,2022
Pepaya,7149.5,2022
Pisang,30646.6,2022
Rambutan,1291.1,2022
Salak,230334.6,2022
Sawo,117.5,2022
Markisa,754.7,2022
Sirsak,143.4,2022
Sukun,134.9,2022
Melinjo,14512,2022
Petai,319292.9,2022
Alpukat,803.03,2023
Belimbing,1.62,2023
Duku,125.54,2023
Durian,290092.81,2023
Jambu Biji,3940.8,2023
Jambu Air,735.45,2023
Jeruk Siam,2.35,2023
Jeruk Besa (Pomelo),25.96,2023
Jeruk (Tangerine + Pomelo),0,2023
Mangga,1575.1,2023
Manggis,40.16,2023
Nangka,539.13,2023
Nenas,18.68,2023
Pepaya,4500.14,2023
Pisang,36129.99,2023
Rambutan,800.48,2023
Salak,1816886.39,2023
Sawo,72.03,2023
Markisa,0,2023
Sirsak,33.81,2023
Sukun,8.9,2023
Melinjo,751.24,2023
Petai,2157314.91,2023
Alpukat,4760.65,2024
Belimbing,117.97,2024
Duku,2074.3,2024
Durian,5412.33,2024
Jambu Biji,14958.31,2024
Jambu Air,435.48,2024
Jeruk Siam,25.08,2024
Jeruk Besa (Pomelo),354.9,2024
Jeruk (Tangerine + Pomelo),0,2024
Mangga,575.52,2024
Manggis,271.12,2024
Nangka,2272.99,2024
Nenas,61.84,2024
Pepaya,12728.13,2024
Pisang,92200.52,2024
Rambutan,4635.36,2024
Salak,199677.28,2024
Sawo,300.42,2024
Markisa,0,2024
Sirsak,364.08,2024
Sukun,6.33,2024
Melinjo,2521.3,2024
Petai,344558.91,2024
