Kecamatan,Sapi,Kerbau,Babi,Kambing,Domba,Tahun
Banjarmangu,52609.2,0,0,7506.52,158.71,2018
Banjarmangu,54300.21,,,3906.34,138.42,2019
Banjarmangu,57682.23,0,0,7189.68,176.84,2020
Banjarmangu,71232.18,0,0,7686.52,171.9,2021
Banjarmangu,68033.57,0,0,7753.07,199.85,2022
Banjarmangu,68634.06,,,4558.78,303.46,2023
Banjarmangu,60975.2,0,0,1653.75,782.25,2024
Banjarnegara,669639.96,0,0,3533.14,1460.15,2018
Banjarnegara,620037,,,3127.33,1213.17,2019
Banjarnegara,596362.86,0,0,4680.72,648.41,2020
Banjarnegara,736452.56,0,0,5004.18,630.31,2021
Banjarnegara,720459.49,0,0,5057.42,648.94,2022
Banjarnegara,726818.61,,,2973.74,985.4,2023
Banjarnegara,619418.8,0,0,4207.5,2878.68,2024
Bawang,50542.41,0,0,3837.92,1999.77,2018
Bawang,50730.3,,,3432.16,1150.13,2019
Bawang,55803.33,0,0,4431.68,545.6,2020
Bawang,68911.91,0,0,4737.93,530.37,2021
Bawang,65713.3,0,0,4804.48,549,2022
Bawang,66293.32,,,2825.02,833.65,2023
Bawang,65065,0,0,4387.5,1647.94,2024
Kalibening,45845.16,0,0,5339.22,5142.27,2018
Kalibening,49790.85,,,9291.67,754.26,2019
Kalibening,41147.91,0,0,3481.4,6072.82,2020
Kalibening,50813.83,0,0,3721.98,5903.31,2021
Kalibening,42284.2,0,0,3761.91,5931.25,2022
Kalibening,42657.42,,,2211.99,9006.53,2023
Kalibening,61718.8,0,0,5805,5141.99,2024
Karangkobar,23298.36,0,0,11660.5,3872.57,2018
Karangkobar,20104.23,,,5024.05,1581.26,2019
Karangkobar,22171.02,0,0,11035.27,2852.36,2020
Karangkobar,27379.14,0,0,11797.86,2772.74,2021
Karangkobar,24180.53,0,0,11864.41,2791.37,2022
Karangkobar,24393.96,,,6976.23,4238.66,2023
Karangkobar,30673.5,0,0,2902.5,2263.31,2024
Madukara,34383.87,0,0,5892.34,454.97,2018
Madukara,31565.52,,,5204.69,451.41,2019
Madukara,30626.07,0,0,4938.78,732.27,2020
Madukara,37820.34,0,0,5280.07,711.83,2021
