Kecamatan,Sapi (Kg),Kerbau (Kg),Babi (Kg),Kambing (Kg),Domba (Kg),Tahun 
Susukan,"16,910", - , - ,"7,518", - ,2018
Purworejo Klampok,"17,474", - , - ,"4,256",11,2018
Mandiraja,"24,801", - , - ,"6,852",317,2018
Purwonegoro,"46,973", - , - ,"6,547",307,2018
Bawang,"50,542", - , - ,"3,838","2,000",2018
Banjarnegara,"669,640", - , - ,"3,533","1,460",2018
Pagedongan,"11,273", - , - ,"3,657",593,2018
Sigaluh,"25,553", - , - ,"3,657",296,2018
Madukara,"34,384", - , - ,"5,892",455,2018
Banjarmangu,"52,609", - , - ,"7,507",159,2018
Wanadadi,"58,810", - , - ,"1,795",85,2018
Rakit,"29,875", - , - ,"3,398",317,2018
Punggelan,"50,355", - , - ,"12,643",677,2018
Karangkobar,"23,298", - , - ,"11,661","3,873",2018
Pagentan,"42,651", - , - ,"9,121","1,227",2018
Pejawaran,"72,338", - , - ,"2,438","2,804",2018
Batur,"76,659", - , - , - ,"6,634",2018
Wanayasa,"209,309", - , - ,"6,186","4,380",2018
Kalibening,"45,845", - , - ,"5,339","5,142",2018
Pandanarum,"24,238", - , - ,"6,818",42,2018
Susukan,"16,534", - , - ,"5,306", - ,2019
Purworejo Klampok,"17,662", - , - ,"3,127",53,2019
Mandiraja,"27,808", - , - ,"4,460",83,2019
Purwonegoro,"45,094", - , - ,"3,127",53,2019
Bawang,"50,730", - , - ,"3,432","1,150",2019
Banjarnegara,"620,037", - , - ,"3,127","1,213",2019
Pagedongan,"15,031", - , - ,"1,716",719,2019
Sigaluh,"29,875", - , - ,"2,597",176,2019
Madukara,"31,566", - , - ,"5,205",451,2019
Banjarmangu,"54,300", - , - ,"3,906",138,2019
Wanadadi,"60,688", - , - ,"2,010",138,2019
Rakit,"26,868", - , - ,"1,648",177,2019
Punggelan,"76,095", - , - ,"10,884",303,2019
Karangkobar,"20,104", - , - ,"5,024","1,581",2019
Pagentan,"45,281", - , - ,"5,284","1,360",2019
Pejawaran,"71,022", - , - ,"1,389","4,054",2019
Batur,"77,786", - , - ,203,"5,451",2019
Wanayasa,"205,552", - , - ,"2,123","5,324",2019
Kalibening,"49,791", - , - ,"9,292",754,2019
Pandanarum,"29,499", - , - ,"4,934",85,2019
Susukan,"18,413", - , - ,"8,043",86,2020
Purworejo Klampok,"14,092", - , - ,"3,314",45,2020
Mandiraja,"34,008", - , - ,"5,899",452,2020
Purwonegoro,"61,252", - , - ,"9,536",545,2020
Bawang,"55,803", - , - ,"4,432",546,2020
Banjarnegara,"596,363", - , - ,"4,681",648,2020
