Kecamatan,Ayam Ras Layer,Ayam Kampung,Tahun
Banjarmangu,5783,56470,2019
Banjarmangu,41265,274903,2020
Banjarmangu,46089,38114,2021
Banjarmangu,0,46612.06,2022
Banjarmangu,928975.46,387011.57,2023
Banjarmangu,75,6370.05,2024
Banjarnegara,5429,38429,2019
Banjarnegara,27858,62286,2020
Banjarnegara,62842,25731,2021
Banjarnegara,2335.34,30054.34,2022
Banjarnegara,202755.91,255488.72,2023
Banjarnegara,2649.74,29329.3,2024
Bawang,5116,38409,2019
Bawang,27811,193040,2020
Bawang,54882,25688,2021
Bawang,2977.06,29219.5,2022
Bawang,649821.08,260332.58,2023
Bawang,4269.63,17283.87,2024
Kalibening,85,52602,2019
Kalibening,30321,262386,2020
Kalibening,16761,28048,2021
Kalibening,0,32906.72,2022
Kalibening,890270.02,285134.27,2023
Kalibening,230.02,5103.09,2024
Karangkobar,3939,60182,2019
Karangkobar,43552,325624,2020
Karangkobar,42272,40214,2021
Karangkobar,0,31237.04,2022
Karangkobar,371713.07,414299.12,2023
Karangkobar,1034.15,7444.19,2024
Madukara,48283,16677,2019
Madukara,12287,51661,2020
Madukara,540454,11350,2021
Madukara,15262.41,32698.01,2022
Madukara,124095.31,110101.92,2023
Madukara,4078.84,12141.23,2024
Mandiraja,23336,88370,2019
Mandiraja,65829,844032,2020
Mandiraja,566440,60804,2021
Mandiraja,4763.3,43133.55,2022
Mandiraja,1791602.28,624744.21,2023
Mandiraja,10651.67,28109.3,2024
Pagedongan,3124,15764,2019
Pagedongan,10311,310685,2020
Pagedongan,68292,9522,2021
Pagedongan,3307.85,42437.85,2022
Pagedongan,3492695.18,89192.35,2023
Pagedongan,3544.67,8036.88,2024
Pagentan,469,52137,2019
Pagentan,37726,413234,2020
Pagentan,0,34847,2021
Pagentan,0,37567.93,2022
Pagentan,720108.76,354581.86,2023
Pagentan,758.87,985.76,2024
Pandanarum,0,26139,2019
Pandanarum,33672,119240,2020
Pandanarum,0,31101,2021
Pandanarum,0,44524.95,2022
Pandanarum,404496.41,318430.48,2023
Pandanarum,470.24,3046.28,2024
Pejawaran,0,8118,2019
Pejawaran,4258,132923,2020
Pejawaran,0,3933,2021
Pejawaran,0,34924.26,2022
Pejawaran,452935.28,30540.46,2023
Pejawaran,144.1,1266.35,2024
Punggelan,10479,40445,2019
Punggelan,34209,293314,2020
Punggelan,222054,31599,2021
Punggelan,6284.91,40211.6,2022
Punggelan,975954.31,320504.39,2023
Punggelan,5954.9,27782.98,2024
Purwonegoro,21320,190255,2019
Purwonegoro,137668,647303,2020
Purwonegoro,228746,127159,2021
Purwonegoro,6086.44,31306.61,2022
Purwonegoro,2181933.17,1327046.98,2023
Purwonegoro,6046.85,43534.75,2024
Purworejo Klampok,44511,63488,2019
Purworejo Klampok,45930,137936,2020
Purworejo Klampok,477620,42424,2021
Purworejo Klampok,6020.28,36872.23,2022
Purworejo Klampok,423491.63,433930.24,2023
Purworejo Klampok,2108.96,27507.96,2024
Rakit,46469,46630,2019
Rakit,28697,413511,2020
Rakit,475945,26507,2021
Rakit,9923.54,43133.55,2022
Rakit,1362218.55,270673.72,2023
Rakit,20571.04,30981.3,2024
Sigaluh,3517,39743,2019
Sigaluh,28761,35417,2020
Sigaluh,37705,26552,2021
Sigaluh,0,35202.54,2022
Sigaluh,115497.45,271142.48,2023
Sigaluh,1113.17,3936.86,2024
Susukan,263,119081,2019
Susukan,95828,138990,2020
Susukan,7543,88513,2021
Susukan,926.2,50090.57,2022
Susukan,470888.06,920361.67,2023
Susukan,555.43,28860.83,2024
Wanadadi,0,16273,2019
Wanadadi,8746,235313,2020
Wanadadi,27654,8066,2021
Wanadadi,2381.65,38959.33,2022
Wanadadi,796723.88,75683.53,2023
Wanadadi,2854.75,5724.21,2024
Wanayasa,58754,193526,2019
Wanayasa,55899,274203,2020
Wanayasa,1715231,51632,2021
Wanayasa,5887.97,14609.75,2022
Wanayasa,775208.18,533563.17,2023
Wanayasa,1029.69,1336.8,2024
Batur,0,2221,2019
Batur,799,0,2020
Batur,0,738,2021
Batur,0,0,2022
Batur,0,6676.29,2023
Batur,0,97.03,2024
Jumlah,280877,1164959,2019
Jumlah,771427,5166001,2020
Jumlah,4590530,712542,2021
Jumlah,66156.96,695702.38,2022
Jumlah,17131384,7289440,2023
Jumlah,68141.71,288879,2024
